market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Utah Jazz,Utah Jazz,Dallas Mavericks,2026-01-08,,,,3.5863592624664307,5.0,-1.4136407375335691,-5.0,,High
TOTAL,Under,Utah Jazz,Dallas Mavericks,2026-01-08,,,,-11.131118774414034,242.5,,,231.36888122558597,High
ML,Indiana Pacers,Charlotte Hornets,Indiana Pacers,2026-01-08,1.0331664836734664,157.8181818181818,0.38787023977433005,,,,,,High
ATS,Indiana Pacers,Charlotte Hornets,Indiana Pacers,2026-01-08,,,,-17.288305282592773,5.0,-12.288305282592772,5.0,,High
TOTAL,Under,Charlotte Hornets,Indiana Pacers,2026-01-08,,,,-7.8329010009765625,232.5,,,224.66709899902344,High
ML,Chicago Bulls,Chicago Bulls,Miami Heat,2026-01-08,1.1329278943221024,215.8181818181818,0.31663788140472077,,,,,,High
ATS,Chicago Bulls,Chicago Bulls,Miami Heat,2026-01-08,,,,12.076625347137451,7.5,4.576625347137451,-7.5,,High
TOTAL,Under,Chicago Bulls,Miami Heat,2026-01-08,,,,-6.512298583984403,237.5,,,230.9877014160156,High
ML,Minnesota Timberwolves,Minnesota Timberwolves,Cleveland Cavaliers,2026-01-08,0.09495010255846131,-140.54545454545453,0.5842781557067271,,,,,,High
TOTAL,Under,Minnesota Timberwolves,Cleveland Cavaliers,2026-01-08,,,,-10.02618408203125,237.5,,,227.47381591796875,High
