date,home_team,visitor_team,h2_total,q3_total,q4_total,h2_spread,h2_home_spread_price,h2_away_spread_price,q3_spread,q3_home_spread_price,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price,h1_total,q1_total,q2_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price
2026-03-14,Philadelphia 76ers,Brooklyn Nets,105.0,53.0,51.5,-1.0,105.0,-125.0,-1.5,-120.0,-110.0,1.0,-115.0,-115.0,,,,,,,,,,,,
2026-03-14,Atlanta Hawks,Milwaukee Bucks,,56.5,53.5,,,,-2.5,-110.0,-110.0,-2.5,,-120.0,118.0,60.0,58.5,-6.0,-115.0,-105.0,-3.5,-105.0,-115.0,-3.0,-110.0,-110.0
2026-03-14,San Antonio Spurs,Charlotte Hornets,,,,,,,,,,,,,112.5,57.0,55.5,-3.5,-110.0,-110.0,-1.5,-115.0,-105.0,-1.5,-115.0,-105.0
2026-03-14,Boston Celtics,Washington Wizards,,58.5,,,,,-5.5,-105.0,-115.0,,,,119.5,60.5,59.0,-12.0,-105.0,-115.0,-6.0,-115.0,-105.0,-5.5,-110.0,-110.0
2026-03-14,Miami Heat,Orlando Magic,,58.5,56.5,,,,-1.5,-105.0,-115.0,-1.5,105.0,-125.0,121.5,61.5,60.0,-2.0,-115.0,-105.0,-1.5,-110.0,-110.0,-1.0,-115.0,-105.0
2026-03-14,Los Angeles Lakers,Denver Nuggets,,63.5,62.0,,,,1.5,-125.0,105.0,1.5,-130.0,110.0,119.0,60.5,59.0,1.5,-110.0,-110.0,1.0,-115.0,-105.0,0.5,-105.0,-115.0
2026-03-14,Los Angeles Clippers,Sacramento Kings,,57.5,,,,,-3.5,-110.0,-110.0,,,,119.0,60.0,59.0,-8.0,-105.0,-115.0,-4.5,-110.0,-110.0,-4.0,-105.0,-115.0
