market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Dallas Mavericks,Denver Nuggets,Dallas Mavericks,2026-03-25,0.033894200997893975,-115.0,0.5348837209302325,-1.5993341849000835,13.0,11.400665815099917,13.0,,Medium
TOTAL,Under,Denver Nuggets,Dallas Mavericks,2026-03-25,0.8626848249371255,-100.0,0.5,-23.773819310454968,245.0,,,221.22618068954503,High
ATS,Brooklyn Nets,Golden State Warriors,Brooklyn Nets,2026-03-25,0.3158656851518311,-110.0,0.5238095238095238,-5.925147887422966,11.5,5.574852112577034,11.5,,High
TOTAL,Over,Golden State Warriors,Brooklyn Nets,2026-03-25,0.6316064794046545,-100.16801633416532,0.5004196882629961,14.432990345448957,215.5,,,229.93299034544896,High
ATS,Indiana Pacers,Indiana Pacers,Los Angeles Lakers,2026-03-25,0.592333105011482,-115.0,0.5348837209302325,12.52570486610481,10.5,2.0257048661048107,-10.5,,High
TOTAL,Under,Indiana Pacers,Los Angeles Lakers,2026-03-25,0.28204977914627827,102.29357741749864,0.49433106713821895,-5.46912910518688,239.0,,,233.53087089481312,High
ML,Los Angeles Clippers,Los Angeles Clippers,Toronto Raptors,2026-03-25,0.07041606185669197,-160.1195737186913,0.6155614182724061,,,,,,High
ATS,Los Angeles Clippers,Los Angeles Clippers,Toronto Raptors,2026-03-25,0.5302372819992541,-110.0,0.5238095238095238,10.16617127158858,-4.0,14.16617127158858,4.0,,High
TOTAL,Over,Los Angeles Clippers,Toronto Raptors,2026-03-25,0.07541731933190365,-100.0,0.5,1.5146045154666297,226.5,,,228.01460451546663,Low
ATS,Memphis Grizzlies,Memphis Grizzlies,San Antonio Spurs,2026-03-25,0.8799951894001533,-105.0,0.5121951219512195,21.42814637540204,16.5,4.92814637540204,-16.5,,High
TOTAL,Under,Memphis Grizzlies,San Antonio Spurs,2026-03-25,0.36565197116044357,-100.28509928582628,0.5007117336408022,-7.653533597590297,234.0,,,226.3464664024097,High
ML,Minnesota Timberwolves,Minnesota Timberwolves,Houston Rockets,2026-03-25,0.11134609264502926,111.8617951963452,0.47200581826149407,,,,,,High
ATS,Minnesota Timberwolves,Minnesota Timberwolves,Houston Rockets,2026-03-25,0.6155342888014097,105.0,0.4878048780487805,9.596723989460486,1.5,8.096723989460486,-1.5,,High
TOTAL,Over,Minnesota Timberwolves,Houston Rockets,2026-03-25,0.018359646641806115,-100.0,0.5,0.3681989704848263,224.0,,,224.36819897048483,Low
ATS,Chicago Bulls,Philadelphia 76ers,Chicago Bulls,2026-03-25,0.14080800984595487,-105.0,0.5121951219512195,-2.5553778118708785,6.5,3.9446221881291215,6.5,,Medium
TOTAL,Under,Philadelphia 76ers,Chicago Bulls,2026-03-25,0.59109702649917,-100.0,0.5,-13.213211190137514,239.5,,,226.2867888098625,High
ATS,Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,2026-03-25,0.44519378679322164,-105.0,0.5121951219512195,-7.72833032050243,12.5,4.77166967949757,12.5,,High
TOTAL,Over,Portland Trail Blazers,Milwaukee Bucks,2026-03-25,0.032417759715463124,-100.0,0.5,0.6502531417751527,226.0,,,226.65025314177515,Low
