date,team_tri,player_id,player_name,_baseline_source,starter_prob,exp_min_mean,exp_min_source,exp_asof_ts
,NYL,4790258,Raquel Carrera,blend_lag1_roll3_roll5_roll10,0.0,2.7,rotations_espn_history,2026-05-25T16:00:00Z
,NYL,4790260,Marine Fauthoux,blend_lag1_roll3_roll5_roll10,,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,3906972,Bridget Carleton,blend_lag1_roll3_roll5_roll10,,23.02,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,5209202,Nyadiew Puoch,blend_lag1_roll3_roll5_roll10,,22.200000000000003,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,5108051,Jordan Harrison,blend_lag1_roll3_roll5_roll10,,19.2,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,5208982,Carla Leite,blend_lag1_roll3_roll5_roll10,,16.693333333333335,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,5108550,Serah Williams,blend_lag1_roll3_roll5_roll10,,15.4,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,4682797,Luisa Geiselsoder,blend_lag1_roll3_roll5_roll10,,15.120000000000001,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,4703794,Sarah Ashlee Barker,blend_lag1_roll3_roll5_roll10,,15.096666666666668,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,5105406,Frieda Bühner,blend_lag1_roll3_roll5_roll10,,12.600000000000001,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,3934218,Megan Gustafson,blend_lag1_roll3_roll5_roll10,,8.846666666666666,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,4398729,Emily Engstler,blend_lag1_roll3_roll5_roll10,,7.493333333333333,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,3056730,Karlie Samuelson,blend_lag1_roll3_roll5_roll10,,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
,POR,5346554,Teja Oblak,blend_lag1_roll3_roll5_roll10,,0.0,baseline:blend_lag1_roll3_roll5_roll10,2026-05-25T16:00:00Z
