market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Los Angeles Clippers,Los Angeles Clippers,Brooklyn Nets,2026-01-25,0.0911271048051846,-289.21863959876924,0.7430749973765742,,,,,,High
ATS,Los Angeles Clippers,Los Angeles Clippers,Brooklyn Nets,2026-01-25,0.36235379695300673,-115.0,0.5348837209302325,7.306663513183594,-8.5,15.806663513183594,8.5,,High
TOTAL,Over,Los Angeles Clippers,Brooklyn Nets,2026-01-25,0.7170829902076475,-100.19261884582784,0.500481083785552,17.239715576171875,210.5,,,227.73971557617188,High
ML,New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,2026-01-25,1.0058456957211923,419.537108372573,0.1924790325627472,,,,,,High
ATS,New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,2026-01-25,0.3506649767430322,-110.0,0.5238095238095238,-6.55284309387207,11.5,4.94715690612793,11.5,,High
TOTAL,Under,San Antonio Spurs,New Orleans Pelicans,2026-01-25,0.5453269351758209,101.9245835878625,0.49523440000799834,-11.575241088867188,239.5,,,227.9247589111328,High
ML,Toronto Raptors,Oklahoma City Thunder,Toronto Raptors,2026-01-25,0.03116930253124417,405.8818005880137,0.19767463443785607,,,,,,Medium
ATS,Oklahoma City Thunder,Oklahoma City Thunder,Toronto Raptors,2026-01-25,0.1852749306392244,-110.0,0.5238095238095238,3.692829132080078,-11.0,14.692829132080078,11.0,,High
TOTAL,Over,Oklahoma City Thunder,Toronto Raptors,2026-01-25,0.27855645247174654,-100.0,0.5,5.7044830322265625,224.5,,,230.20448303222656,High
ML,Minnesota Timberwolves,Minnesota Timberwolves,Golden State Warriors,2026-01-25,0.30627737976056524,120.79772964339344,0.4529032076620908,,,,,,High
ATS,Minnesota Timberwolves,Minnesota Timberwolves,Golden State Warriors,2026-01-25,0.2748741580744465,-110.0,0.5238095238095238,5.205866575241089,1.5,3.705866575241089,-1.5,,High
TOTAL,Over,Minnesota Timberwolves,Golden State Warriors,2026-01-25,0.1704107155729695,-109.77472015153424,0.5232981365544745,4.572357177734403,218.5,,,223.0723571777344,High
ML,Miami Heat,Phoenix Suns,Miami Heat,2026-01-25,0.4504059396060509,170.46466934302717,0.36973405895455863,,,,,,High
ATS,Miami Heat,Phoenix Suns,Miami Heat,2026-01-25,0.3640629822250916,-110.0,0.5238095238095238,-6.79927659034729,5.0,-1.79927659034729,5.0,,High
TOTAL,Over,Phoenix Suns,Miami Heat,2026-01-25,0.0727881061964889,100.69516857838028,0.4982680983720124,1.3868408203125,225.5,,,226.8868408203125,Low
