date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2026-01-06,Indiana Pacers,Cleveland Cavaliers,IND,CLE,116,120,,,-4,236,,
2026-01-06,Washington Wizards,Orlando Magic,WAS,ORL,120,112,,,8,232,,
2026-01-06,Memphis Grizzlies,San Antonio Spurs,MEM,SAS,106,105,,,1,211,,
2026-01-06,Minnesota Timberwolves,Miami Heat,MIN,MIA,122,94,,,28,216,,
2026-01-06,Minnesota Timberwolves,Miami Heat,MIN,MIA,122,94,,,28,216,,
2026-01-06,Minnesota Timberwolves,Miami Heat,MIN,MIA,122,94,,,28,216,,
2026-01-06,Minnesota Timberwolves,Miami Heat,MIN,MIA,122,94,,,28,216,,
2026-01-06,New Orleans Pelicans,Los Angeles Lakers,NOP,LAL,103,111,,,-8,214,,
2026-01-06,Sacramento Kings,Dallas Mavericks,SAC,DAL,98,100,,,-2,198,,
2026-01-06,Sacramento Kings,Dallas Mavericks,SAC,DAL,98,100,,,-2,198,,
2026-01-06,Sacramento Kings,Dallas Mavericks,SAC,DAL,98,100,,,-2,198,,
2026-01-06,Sacramento Kings,Dallas Mavericks,SAC,DAL,98,100,,,-2,198,,
