player,team,plays,ladders
Aaron Gordon,DEN,"[{'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': 120.0, 'edge': 0.0618542612030157, 'ev': 0.1360793746466346, 'ev_pct': 13.607937464663461, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -104.0, 'edge': 0.0163203962842292, 'ev': 0.0320130850190649, 'ev_pct': 3.2013085019064897, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -105.0, 'edge': 0.0139291959016371, 'ev': 0.0271950967603391, 'ev_pct': 2.71950967603391, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 23.5, 'price': -105.0, 'edge': 0.0139291959016371, 'ev': 0.0271950967603391, 'ev_pct': 2.71950967603391, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 26.5, 'price': 105.0, 'edge': 0.0394355836365191, 'ev': 0.0808429464548642, 'ev_pct': 8.08429464548642, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': 130.0, 'edge': 0.0764810974300247, 'ev': 0.175906524089057, 'ev_pct': 17.5906524089057, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': 140.0, 'edge': 0.0423649389854434, 'ev': 0.1016758535650641, 'ev_pct': 10.167585356506411, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 6.5, 'price': 112.0, 'edge': 0.0445481702828814, 'ev': 0.0944421209997088, 'ev_pct': 9.44421209997088, 'book': 'betrivers'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 142.0, 'edge': 0.0539293262126571, 'ev': 0.1305089694346303, 'ev_pct': 13.05089694346303, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 140.0, 'edge': 0.0504858000418582, 'ev': 0.1211659201004597, 'ev_pct': 12.11659201004597, 'book': 'betrivers'}]",[]
Ajay Mitchell,OKC,"[{'market': 'pa', 'side': 'OVER', 'line': 15.5, 'price': 100.0, 'edge': 0.0288441450473967, 'ev': 0.0576882900947934, 'ev_pct': 5.76882900947934, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 13.5, 'price': 130.0, 'edge': 0.0185625406196892, 'ev': 0.0426938434252852, 'ev_pct': 4.26938434252852, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 13.5, 'price': 140.0, 'edge': 0.0362265948043219, 'ev': 0.0869438275303726, 'ev_pct': 8.69438275303726, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 150.0, 'edge': 0.1098601685497266, 'ev': 0.2746504213743167, 'ev_pct': 27.465042137431674, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 116.0, 'edge': 0.0666401856569885, 'ev': 0.1439428010190951, 'ev_pct': 14.39428010190951, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 5.5, 'price': 145.0, 'edge': 0.0443115975439924, 'ev': 0.1085634139827815, 'ev_pct': 10.85634139827815, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 124.0, 'edge': 0.0687270868285025, 'ev': 0.1539486744958457, 'ev_pct': 15.39486744958457, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 123.0, 'edge': 0.0667251649835313, 'ev': 0.148797117913275, 'ev_pct': 14.879711791327498, 'book': 'betrivers'}]",[]
Alex Caruso,OKC,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 146.0, 'edge': 0.0711898464347173, 'ev': 0.1751270222294046, 'ev_pct': 17.51270222294046, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 1.5, 'price': 129.0, 'edge': 0.0540293588754111, 'ev': 0.1237272318246915, 'ev_pct': 12.37272318246915, 'book': 'williamhill_us'}, {'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': 110.0, 'edge': 0.0495562697477317, 'ev': 0.1040681664702366, 'ev_pct': 10.40681664702366, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 8.5, 'price': 135.0, 'edge': 0.0305595370213766, 'ev': 0.0718149120002351, 'ev_pct': 7.18149120002351, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 11.5, 'price': 105.0, 'edge': 0.0543364581720932, 'ev': 0.111389739252791, 'ev_pct': 11.1389739252791, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 11.5, 'price': -101.0, 'edge': 0.0396537740318189, 'ev': 0.0789149364395604, 'ev_pct': 7.891493643956041, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 140.0, 'edge': 0.0446691275292759, 'ev': 0.1072059060702623, 'ev_pct': 10.72059060702623, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 135.0, 'edge': 0.1050971936357463, 'ev': 0.246978405044004, 'ev_pct': 24.6978405044004, 'book': 'betmgm'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 130.0, 'edge': 0.0958464998337112, 'ev': 0.2204469496175358, 'ev_pct': 22.04469496175358, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 122.0, 'edge': 0.0801786580789129, 'ev': 0.1779966209351867, 'ev_pct': 17.79966209351867, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 121.0, 'edge': 0.0781404207465579, 'ev': 0.172690329849893, 'ev_pct': 17.2690329849893, 'book': 'williamhill_us'}]",[]
Ayo Dosunmu,CHI,"[{'market': 'pa', 'side': 'OVER', 'line': 18.5, 'price': -120.0, 'edge': 0.0139376848003227, 'ev': 0.025552422133925, 'ev_pct': 2.5552422133925, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 150.0, 'edge': 0.1131298561682261, 'ev': 0.2828246404205653, 'ev_pct': 28.28246404205653, 'book': 'betmgm'}]",[]
Bam Adebayo,MIA,"[{'market': 'pa', 'side': 'UNDER', 'line': 15.5, 'price': 120.0, 'edge': 0.0849666560740904, 'ev': 0.1869266433629989, 'ev_pct': 18.69266433629989, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': -105.0, 'edge': 0.0358400934036888, 'ev': 0.0699735156929163, 'ev_pct': 6.997351569291629, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': -110.0, 'edge': 0.0242256915453845, 'ev': 0.0462490474957342, 'ev_pct': 4.62490474957342, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 22.5, 'price': 120.0, 'edge': 0.1000308898978099, 'ev': 0.2200679577751817, 'ev_pct': 22.00679577751817, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 23.5, 'price': 100.0, 'edge': 0.0616883075235182, 'ev': 0.1233766150470365, 'ev_pct': 12.33766150470365, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 24.5, 'price': -120.0, 'edge': 0.0226187171860193, 'ev': 0.0414676481743688, 'ev_pct': 4.14676481743688, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 24.5, 'price': -120.0, 'edge': 0.0226187171860193, 'ev': 0.0414676481743688, 'ev_pct': 4.14676481743688, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 11.5, 'price': 120.0, 'edge': 0.0643297413797567, 'ev': 0.1415254310354647, 'ev_pct': 14.152543103546469, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 12.5, 'price': -106.0, 'edge': 0.0233691194906879, 'ev': 0.0454154586328464, 'ev_pct': 4.5415458632846395, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': 125.0, 'edge': 0.0983183947534399, 'ev': 0.2212163881952398, 'ev_pct': 22.12163881952398, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 9.5, 'price': 104.0, 'edge': 0.0525667607665118, 'ev': 0.1072361919636841, 'ev_pct': 10.72361919636841, 'book': 'fanduel'}, {'market': 'threes', 'side': 'UNDER', 'line': 0.5, 'price': 129.0, 'edge': 0.0891797782609006, 'ev': 0.2042216922174624, 'ev_pct': 20.422169221746238, 'book': 'betonlineag'}]",[]
Brandin Podziemski,GSW,"[{'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': 115.0, 'edge': 0.0315969301452333, 'ev': 0.0679333998122516, 'ev_pct': 6.79333998122516, 'book': 'betmgm'}, {'market': 'pa', 'side': 'OVER', 'line': 12.5, 'price': 110.0, 'edge': 0.0313707060159728, 'ev': 0.0658784826335429, 'ev_pct': 6.5878482633542905, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 10.5, 'price': 125.0, 'edge': 0.0283478452106299, 'ev': 0.0637826517239172, 'ev_pct': 6.37826517239172, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': 110.0, 'edge': 0.0430214978625884, 'ev': 0.0903451455114358, 'ev_pct': 9.03451455114358, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 7.5, 'price': 150.0, 'edge': 0.098363817752509, 'ev': 0.2459095443812727, 'ev_pct': 24.59095443812727, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 5.5, 'price': 145.0, 'edge': 0.0541341505640099, 'ev': 0.1326286688818243, 'ev_pct': 13.262866888182431, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 145.0, 'edge': 0.1002494137405159, 'ev': 0.2456110636642642, 'ev_pct': 24.56110636642642, 'book': 'betmgm'}]",[]
Cason Wallace,OKC,"[{'market': 'pa', 'side': 'UNDER', 'line': 7.5, 'price': 145.0, 'edge': 0.0737272531961067, 'ev': 0.1806317703304617, 'ev_pct': 18.06317703304617, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 11.5, 'price': 115.0, 'edge': 0.0382770678381325, 'ev': 0.0822956958519848, 'ev_pct': 8.22956958519848, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 9.5, 'price': 125.0, 'edge': 0.0327267820378752, 'ev': 0.0736352595852193, 'ev_pct': 7.3635259585219295, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 120.0, 'edge': 0.0308144383339439, 'ev': 0.0677917643346766, 'ev_pct': 6.77917643346766, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 119.0, 'edge': 0.0287388883131884, 'ev': 0.0629381654058827, 'ev_pct': 6.293816540588271, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': 115.0, 'edge': 0.0291800955592551, 'ev': 0.0627372054523984, 'ev_pct': 6.27372054523984, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 122.0, 'edge': 0.05955282079634, 'ev': 0.1322072621678748, 'ev_pct': 13.22072621678748, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 115.0, 'edge': 0.044886992177023, 'ev': 0.0965070331805993, 'ev_pct': 9.65070331805993, 'book': 'draftkings'}]",[]
Chet Holmgren,OKC,"[{'market': 'pa', 'side': 'UNDER', 'line': 17.5, 'price': 120.0, 'edge': 0.0321231809176623, 'ev': 0.0706709980188571, 'ev_pct': 7.06709980188571, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': 115.0, 'edge': 0.0313878501595221, 'ev': 0.0674838778429725, 'ev_pct': 6.7483877842972495, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': 110.0, 'edge': 0.0203136530388133, 'ev': 0.0426586713815081, 'ev_pct': 4.26586713815081, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': 125.0, 'edge': 0.0479919586264598, 'ev': 0.1079819069095345, 'ev_pct': 10.79819069095345, 'book': 'bovada'}]",[]
Collin Gillespie,PHX,"[{'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 124.0, 'edge': 0.0550621033374131, 'ev': 0.1233391114758055, 'ev_pct': 12.33391114758055, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 120.0, 'edge': 0.0469452202205301, 'ev': 0.1032794844851662, 'ev_pct': 10.32794844851662, 'book': 'betonlineag'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 119.0, 'edge': 0.0448696701997746, 'ev': 0.0982645777375063, 'ev_pct': 9.82645777375063, 'book': 'draftkings'}, {'market': 'threes', 'side': 'UNDER', 'line': 2.5, 'price': 105.0, 'edge': 0.0677868424217477, 'ev': 0.1389630269645828, 'ev_pct': 13.89630269645828, 'book': 'bovada'}]",[]
Davion Mitchell,MIA,"[{'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': 105.0, 'edge': 0.0426178264518367, 'ev': 0.0873665442262653, 'ev_pct': 8.73665442262653, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': -105.0, 'edge': 0.0182275825493977, 'ev': 0.0355871849773955, 'ev_pct': 3.55871849773955, 'book': 'betmgm'}, {'market': 'pr', 'side': 'OVER', 'line': 10.5, 'price': 115.0, 'edge': 0.0912347567696229, 'ev': 0.1961547270546892, 'ev_pct': 19.61547270546892, 'book': 'betmgm'}, {'market': 'pr', 'side': 'OVER', 'line': 10.5, 'price': 115.0, 'edge': 0.0912347567696229, 'ev': 0.1961547270546892, 'ev_pct': 19.61547270546892, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 9.5, 'price': -106.0, 'edge': 0.0487275693760308, 'ev': 0.094696974447758, 'ev_pct': 9.4696974447758, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.01947783371078, 'ev': 0.039929559107099, 'ev_pct': 3.9929559107098997, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.01947783371078, 'ev': 0.039929559107099, 'ev_pct': 3.9929559107098997, 'book': 'betmgm'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.01947783371078, 'ev': 0.039929559107099, 'ev_pct': 3.9929559107098997, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 109.0, 'edge': 0.0518435656769736, 'ev': 0.1083530522648749, 'ev_pct': 10.83530522648749, 'book': 'betonlineag'}]",[]
