date,home_team,visitor_team,h1_total,h1_spread,h1_home_spread_price,h1_away_spread_price
2026-05-01,Orlando Magic,Detroit Pistons,108.5,1.5,-105,-115
2026-05-01,Toronto Raptors,Cleveland Cavaliers,106.5,1.5,-110,-110
2026-05-01,Houston Rockets,Los Angeles Lakers,106.5,-2.5,-110,-110
