date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2025-12-30,Memphis Grizzlies,Philadelphia 76ers,MEM,PHI,136,139,,,-3,275,,
2025-12-30,Memphis Grizzlies,Philadelphia 76ers,MEM,PHI,136,139,,,-3,275,,
2025-12-30,Memphis Grizzlies,Philadelphia 76ers,MEM,PHI,136,139,,,-3,275,,
2025-12-30,Memphis Grizzlies,Philadelphia 76ers,MEM,PHI,136,139,,,-3,275,,
2025-12-30,Utah Jazz,Boston Celtics,UTA,BOS,119,129,,,-10,248,,
2025-12-30,Los Angeles Lakers,Detroit Pistons,LAL,DET,106,128,,,-22,234,,
2025-12-30,Los Angeles Lakers,Detroit Pistons,LAL,DET,106,128,,,-22,234,,
2025-12-30,Los Angeles Lakers,Detroit Pistons,LAL,DET,106,128,,,-22,234,,
2025-12-30,Los Angeles Lakers,Detroit Pistons,LAL,DET,106,128,,,-22,234,,
2025-12-30,Los Angeles Clippers,Sacramento Kings,LAC,SAC,131,90,,,41,221,,
