date,team,team_tri,player,status
2025-10-22,DEN,DEN,Jaden Ivey,OUT
2025-10-23,POR,POR,Isaac Jones,OUT
2025-10-24,SAS,SAS,Ja'Kobe Walter,OUT
2025-10-24,POR,POR,Domantas Sabonis,OUT
2025-10-24,DET,DET,Moses Moody,OUT
2025-10-24,GSW,GSW,Jae'Sean Tate,OUT
2025-10-24,GSW,GSW,Isaiah Crawford,OUT
2025-10-25,ATL,ATL,Eli John N'Diaye,OUT
2025-10-25,ATL,ATL,Nikola Durisic,OUT
2025-10-25,MIL,MIL,Dejounte Murray,OUT
2025-10-25,MIL,MIL,Kevon Looney,OUT
2025-10-25,MIL,MIL,Yves Missi,OUT
2025-10-25,MIL,MIL,Karlo Matkovic,OUT
2025-10-26,NYK,NYK,Nikola Topic,OUT
2025-10-26,NYK,NYK,Alex Caruso,OUT
2025-10-26,NYK,NYK,Jalen Williams,OUT
2025-10-26,NYK,NYK,Isaiah Joe,OUT
2025-10-26,NOP,NOP,Mitchell Robinson,OUT
2025-10-26,MIN,MIN,Kevon Looney,OUT
2025-10-26,MIN,MIN,Yves Missi,OUT
2025-10-26,MIN,MIN,Karlo Matkovic,OUT
2025-10-26,MIA,MIA,Kevin Porter Jr.,OUT
2025-10-26,MEM,MEM,Tyler Herro,OUT
2025-10-26,MEM,MEM,Terry Rozier,OUT
2025-10-26,NYK,NYK,Kenrich Williams,OUT
2025-10-26,MEM,MEM,Kasparas Jakucionis,OUT
2025-10-26,MIN,MIN,Dejounte Murray,OUT
2025-10-26,PHX,PHX,Scoot Henderson,OUT
2025-10-26,LAL,LAL,Zach Edey,OUT
2025-10-26,TOR,TOR,Isaiah Collier,OUT
2025-10-26,SAC,SAC,Jeremy Sochan,OUT
2025-10-26,SAC,SAC,De'Aaron Fox,OUT
2025-10-26,SAC,SAC,Luke Kornet,OUT
2025-10-26,SAC,SAC,Kelly Olynyk,OUT
2025-10-26,SAC,SAC,Lindy Waters III,OUT
2025-10-26,POR,POR,Keegan Murray,OUT
2025-10-26,NYK,NYK,Thomas Sorber,OUT
2025-10-26,POR,POR,Nique Clifford,OUT
2025-10-26,PHX,PHX,Damian Lillard,OUT
2025-10-26,PHX,PHX,Robert Williams III,OUT
2025-10-26,PHI,PHI,Jalen Green,OUT
2025-10-26,ORL,ORL,Jared McCain,OUT
2025-10-26,ORL,ORL,Paul George,OUT
2025-10-26,ORL,ORL,Trendon Watford,OUT
2025-10-26,OKC,OKC,Moritz Wagner,OUT
2025-10-26,LAL,LAL,Brandon Clarke,OUT
2025-10-26,DAL,DAL,Jaden Ivey,OUT
2025-10-26,LAL,LAL,Ty Jerome,OUT
2025-10-26,CLE,CLE,Daniel Gafford,OUT
2025-10-26,CLE,CLE,Brandon Williams,OUT
2025-10-26,CLE,CLE,Dante Exum,OUT
2025-10-26,CHI,CHI,Max Strus,OUT
2025-10-26,CHI,CHI,Darius Garland,OUT
2025-10-26,CHI,CHI,De'Andre Hunter,OUT
2025-10-26,BKN,BKN,Zach Collins,OUT
2025-10-26,BKN,BKN,Coby White,OUT
2025-10-26,BOS,BOS,Haywood Highsmith,OUT
2025-10-26,BOS,BOS,Drake Powell,OUT
2025-10-26,BOS,BOS,Danny Wolf,OUT
2025-10-26,ATL,ATL,Jayson Tatum,OUT
2025-10-26,TOR,TOR,Georges Niang,OUT
2025-10-26,CLE,CLE,Kyrie Irving,OUT
2025-10-26,DAL,DAL,Marcus Sasser,OUT
2025-10-26,LAL,LAL,Vince Williams Jr.,OUT
2025-10-26,LAC,LAC,LeBron James,OUT
2025-10-26,LAC,LAC,Adou Thiero,OUT
2025-10-26,LAC,LAC,Maxi Kleber,OUT
2025-10-26,IND,IND,Jordan Miller,OUT
2025-10-26,HOU,HOU,Tyrese Haliburton,OUT
2025-10-26,LAL,LAL,Scotty Pippen Jr.,OUT
2025-10-26,HOU,HOU,T.J. McConnell,OUT
2025-10-26,HOU,HOU,Quenton Jackson,OUT
2025-10-26,GSW,GSW,Fred VanVleet,OUT
2025-10-26,GSW,GSW,Dorian Finney-Smith,OUT
2025-10-26,DET,DET,De'Anthony Melton,OUT
2025-10-26,HOU,HOU,Kam Jones,OUT
2025-10-26,UTA,UTA,Bilal Coulibaly,OUT
