date,home_tri,away_tri,home_pts,visitor_pts
2026-01-10,CLE,MIN,146,134
2026-01-10,IND,MIA,123,99
2026-01-10,DET,LAC,92,98
2026-01-10,BOS,SAS,95,100
2026-01-10,CHI,DAL,125,107
2026-01-10,UTA,CHA,95,150
