player_name,player_id,team,injury_status,team_on_slate,playing_today
Jovana Nogic,3906769,PHX,,True,True
Marta Suarez,4704594,PHX,,True,True
Alyssa Thomas,2529140,PHX,,True,True
Sami Whitcomb,887,PHX,,True,True
Peyton Williams,4068104,PHX,,True,True
Kiana Williams,4282168,PHX,,True,True
Sarah Ashlee Barker,4703794,POR,,True,True
Frieda Buhner,5105406,POR,,True,True
Bridget Carleton,3906972,POR,,True,True
Emily Engstler,4398729,POR,,True,True
Luisa Geiselsoder,4682797,POR,,True,True
Megan Gustafson,3934218,POR,,True,True
Jordan Harrison,5108051,POR,,True,True
Haley Jones,4595910,POR,,True,True
Carla Leite,5208982,POR,,True,True
Nyadiew Puoch,5209202,POR,,True,True
Karlie Samuelson,3056730,POR,,True,True
Sug Sutton,4068159,POR,,True,True
Serah Williams,5108550,POR,,True,True
Lexie Brown,3058892,SEA,,False,False
Zia Cooke,4432832,SEA,,False,False
Stefanie Dolson,2529183,SEA,,False,False
Awa Fam,5345325,SEA,,False,False
Natisha Hiedeman,3906753,SEA,,False,False
Mackenzie Holmes,4433643,SEA,,False,False
Jordan Horston,4432830,SEA,,False,False
Flau'jae Johnson,4698736,SEA,,False,False
Ezi Magbegor,4420318,SEA,,False,False
Taina Mair,5106222,SEA,,False,False
Dominique Malonga,5220150,SEA,,False,False
Jade Melbourne,5017726,SEA,,False,False
Katie Lou Samuelson,3917453,SEA,,False,False
Grace VanSlooten,5105731,SEA,,False,False
Julie Allemand,4001679,TOR,,False,False
Maria Conde,3910470,TOR,,False,False
Temi Fagbenle,2569044,TOR,,False,False
Mariella Fasoula,3904479,TOR,,False,False
Isabelle Harrison,2566453,TOR,,False,False
Lexi Held,4399342,TOR,,False,False
Laura Juskaite,5345444,TOR,,False,False
Teonni Key,4434020,TOR,,False,False
Marina Mabrey,3904576,TOR,,False,False
Kia Nurse,3142327,TOR,,False,False
Kiki Rice,4565505,TOR,,False,False
Nyara Sabally,4398768,TOR,,False,False
Brittney Sykes,2988756,TOR,,False,False
Georgia Amoore,4704180,WSH,,False,False
Shakira Austin,4398911,WSH,,False,False
Lauren Betts,5105737,WSH,,False,False
Sonia Citron,4433524,WSH,,False,False
Angela Dugalic,4433411,WSH,,False,False
Alicia Florez,5349415,WSH,,False,False
Rori Harmon,4433523,WSH,,False,False
Kiki Iriafen,4898384,WSH,,False,False
Darianna Littlepage-Buggs,5106145,WSH,,False,False
Cotie McMahon,4583144,WSH,,False,False
Lucy Olsen,4433815,WSH,,False,False
Michaela Onyenwere,4282173,WSH,,False,False
Cassandre Prosper,5122345,WSH,,False,False
Alex Wilson,5278157,WSH,,False,False
