date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-01-06,2026-01-07T01:10:00Z,Minnesota Timberwolves,Miami Heat,-183.72727272727272,153.27272727272728,-4.0,4.0,-110.125,,237.5,-110.5,-108.0,11,11,8,4,oddsapi_consensus
2026-01-06,2026-01-07T01:10:00Z,Memphis Grizzlies,San Antonio Spurs,187.36363636363637,-228.0,6.0,-6.0,-110.55555555555556,,238.5,-114.5,-105.5,11,11,9,4,oddsapi_consensus
2026-01-06,2026-01-07T01:10:00Z,New Orleans Pelicans,Los Angeles Lakers,189.72727272727272,-231.72727272727272,5.5,-5.5,-107.88888888888889,,244.5,-110.66666666666667,-108.66666666666667,11,11,9,9,oddsapi_consensus
2026-01-06,2026-01-07T04:10:00Z,Sacramento Kings,Dallas Mavericks,165.72727272727272,-198.45454545454547,5.0,-5.0,-110.875,,232.5,-110.22222222222223,-109.11111111111111,11,11,8,9,oddsapi_consensus
2026-01-06,2026-01-07T00:10:00Z,Indiana Pacers,Cleveland Cavaliers,193.0909090909091,-236.0,6.5,-6.5,-109.27272727272727,,236.5,-110.77777777777777,-108.55555555555556,11,11,11,9,oddsapi_consensus
2026-01-06,2026-01-07T00:10:00Z,Washington Wizards,Orlando Magic,236.1818181818182,-293.1818181818182,7.5,-7.5,-110.36363636363636,,235.0,-110.14285714285714,-109.0,11,11,11,7,oddsapi_consensus
