player,team,plays,ladders,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Ace Bailey,UTA,[],[],[],,,,[],0.0,0.0
Alex Sarr,WAS,"[{'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': -105.0, 'edge': 0.0843305733285452, 'ev': 0.1646454050700168, 'ev_pct': 16.46454050700168, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': -110.0, 'edge': 0.0727161714702409, 'ev': 0.1388217818977326, 'ev_pct': 13.882178189773258, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -119.0, 'edge': 0.0545207444976764, 'ev': 0.1003364961763961, 'ev_pct': 10.033649617639611, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': 125.0, 'edge': 0.153796338157411, 'ev': 0.3460417608541747, 'ev_pct': 34.60417608541747, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 26.5, 'price': 100.0, 'edge': 0.0989706621891838, 'ev': 0.1979413243783676, 'ev_pct': 19.79413243783676, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -110.0, 'edge': 0.0756080911947161, 'ev': 0.1443427195535489, 'ev_pct': 14.434271955354891, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': 130.0, 'edge': 0.1642436196078321, 'ev': 0.3777603250980139, 'ev_pct': 37.77603250980139, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -114.0, 'edge': 0.0670718402547515, 'ev': 0.1259067878466387, 'ev_pct': 12.59067878466387, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 105.0, 'edge': 0.1110608222068636, 'ev': 0.2276746855240704, 'ev_pct': 22.767468552407042, 'book': 'bovada'}]",[],"[{'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': -105.0, 'edge': 0.0843305733285452, 'ev': 0.1646454050700168, 'ev_pct': 16.46454050700168, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 21.5, 'price': -110.0, 'edge': 0.0727161714702409, 'ev': 0.1388217818977326, 'ev_pct': 13.882178189773258, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 22.5, 'price': -119.0, 'edge': 0.0545207444976764, 'ev': 0.1003364961763961, 'ev_pct': 10.033649617639611, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 25.5, 'price': 125.0, 'edge': 0.153796338157411, 'ev': 0.3460417608541747, 'ev_pct': 34.60417608541747, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 26.5, 'price': 100.0, 'edge': 0.0989706621891838, 'ev': 0.1979413243783676, 'ev_pct': 19.79413243783676, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': -110.0, 'edge': 0.0756080911947161, 'ev': 0.1443427195535489, 'ev_pct': 14.434271955354891, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': 130.0, 'edge': 0.1642436196078321, 'ev': 0.3777603250980139, 'ev_pct': 37.77603250980139, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 10.5, 'price': -114.0, 'edge': 0.0670718402547515, 'ev': 0.1259067878466387, 'ev_pct': 12.59067878466387, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 105.0, 'edge': 0.1110608222068636, 'ev': 0.2276746855240704, 'ev_pct': 22.767468552407042, 'book': 'bovada'}]","{'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': 130.0, 'ev': 0.3777603250980139, 'ev_pct': 37.77603250980139, 'book': 'bovada'}",,,"['EV 37.8%', 'Regular price range (-150 to +150)']",0.25,0.0
Anthony Black,ORL,"[{'market': 'pa', 'side': 'UNDER', 'line': 19.5, 'price': 120.0, 'edge': 0.1454356664052212, 'ev': 0.3199584660914867, 'ev_pct': 31.99584660914867, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -102.0, 'edge': 0.0950411411878773, 'ev': 0.188218730587757, 'ev_pct': 18.8218730587757, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -104.0, 'edge': 0.0901877146687548, 'ev': 0.1769066710810191, 'ev_pct': 17.69066710810191, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -105.0, 'edge': 0.0877965142861627, 'ev': 0.1714122421777463, 'ev_pct': 17.14122421777463, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -110.0, 'edge': 0.0761821124278584, 'ev': 0.1454385782713662, 'ev_pct': 14.54385782713662, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': 125.0, 'edge': 0.155526746559949, 'ev': 0.3499351797598853, 'ev_pct': 34.99351797598853, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': 100.0, 'edge': 0.0999867740030171, 'ev': 0.1999735480060342, 'ev_pct': 19.99735480060342, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -106.0, 'edge': 0.0854236672069006, 'ev': 0.1660120324964296, 'ev_pct': 16.60120324964296, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -106.0, 'edge': 0.0854236672069006, 'ev': 0.1660120324964296, 'ev_pct': 16.60120324964296, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 104.0, 'edge': 0.1098039211278056, 'ev': 0.2239999991007234, 'ev_pct': 22.399999910072342, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.0999999995591781, 'ev': 0.1999999991183563, 'ev_pct': 19.99999991183563, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': -105.0, 'edge': 0.0878048776079586, 'ev': 0.1714285705679192, 'ev_pct': 17.142857056791918, 'book': 'betmgm'}]",[],"[{'market': 'pa', 'side': 'UNDER', 'line': 19.5, 'price': 120.0, 'edge': 0.1454356664052212, 'ev': 0.3199584660914867, 'ev_pct': 31.99584660914867, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -102.0, 'edge': 0.0950411411878773, 'ev': 0.188218730587757, 'ev_pct': 18.8218730587757, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -104.0, 'edge': 0.0901877146687548, 'ev': 0.1769066710810191, 'ev_pct': 17.69066710810191, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -105.0, 'edge': 0.0877965142861627, 'ev': 0.1714122421777463, 'ev_pct': 17.14122421777463, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 20.5, 'price': -110.0, 'edge': 0.0761821124278584, 'ev': 0.1454385782713662, 'ev_pct': 14.54385782713662, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 19.5, 'price': 125.0, 'edge': 0.155526746559949, 'ev': 0.3499351797598853, 'ev_pct': 34.99351797598853, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': 100.0, 'edge': 0.0999867740030171, 'ev': 0.1999735480060342, 'ev_pct': 19.99735480060342, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -106.0, 'edge': 0.0854236672069006, 'ev': 0.1660120324964296, 'ev_pct': 16.60120324964296, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 20.5, 'price': -106.0, 'edge': 0.0854236672069006, 'ev': 0.1660120324964296, 'ev_pct': 16.60120324964296, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 104.0, 'edge': 0.1098039211278056, 'ev': 0.2239999991007234, 'ev_pct': 22.399999910072342, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.0999999995591781, 'ev': 0.1999999991183563, 'ev_pct': 19.99999991183563, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': -105.0, 'edge': 0.0878048776079586, 'ev': 0.1714285705679192, 'ev_pct': 17.142857056791918, 'book': 'betmgm'}]","{'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 104.0, 'ev': 0.2239999991007234, 'ev_pct': 22.399999910072342, 'book': 'draftkings'}",,,"['EV 22.4%', 'Regular price range (-150 to +150)', 'Consensus: 3 books aligned', 'Best line available']",0.5,1.0
Baylor Scheierman,BOS,"[{'market': 'pa', 'side': 'UNDER', 'line': 6.5, 'price': 145.0, 'edge': 0.0599799144191177, 'ev': 0.1469507903268385, 'ev_pct': 14.69507903268385, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 150.0, 'edge': 0.0696215251035796, 'ev': 0.1740538127589491, 'ev_pct': 17.40538127589491, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 150.0, 'edge': 0.1076950578657398, 'ev': 0.2692376446643497, 'ev_pct': 26.923764466434967, 'book': 'betmgm'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 142.0, 'edge': 0.0944719173698721, 'ev': 0.2286220400350904, 'ev_pct': 22.86220400350904, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 141.0, 'edge': 0.0927572985296402, 'ev': 0.223545089456433, 'ev_pct': 22.3545089456433, 'book': 'betonlineag'}]",[],"[{'market': 'pa', 'side': 'UNDER', 'line': 6.5, 'price': 145.0, 'edge': 0.0599799144191177, 'ev': 0.1469507903268385, 'ev_pct': 14.69507903268385, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 150.0, 'edge': 0.0696215251035796, 'ev': 0.1740538127589491, 'ev_pct': 17.40538127589491, 'book': 'bovada'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 150.0, 'edge': 0.1076950578657398, 'ev': 0.2692376446643497, 'ev_pct': 26.923764466434967, 'book': 'betmgm'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 142.0, 'edge': 0.0944719173698721, 'ev': 0.2286220400350904, 'ev_pct': 22.86220400350904, 'book': 'williamhill_us'}, {'market': 'threes', 'side': 'OVER', 'line': 1.5, 'price': 141.0, 'edge': 0.0927572985296402, 'ev': 0.223545089456433, 'ev_pct': 22.3545089456433, 'book': 'betonlineag'}]","{'market': 'ra', 'side': 'UNDER', 'line': 4.5, 'price': 150.0, 'ev': 0.1740538127589491, 'ev_pct': 17.40538127589491, 'book': 'bovada'}",,,"['EV 17.4%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Brandin Podziemski,GSW,"[{'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 135.0, 'edge': 0.0959596968663502, 'ev': 0.2255052876359231, 'ev_pct': 22.550528763592308, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 15.5, 'price': 115.0, 'edge': 0.109891676569181, 'ev': 0.2362671046237391, 'ev_pct': 23.62671046237391, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': -110.0, 'edge': 0.0578659612098465, 'ev': 0.1104713804915252, 'ev_pct': 11.04713804915252, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 15.5, 'price': 130.0, 'edge': 0.1334781691630992, 'ev': 0.3069997890751282, 'ev_pct': 30.699978907512822, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 16.5, 'price': 105.0, 'edge': 0.0883607173528996, 'ev': 0.1811394705734442, 'ev_pct': 18.113947057344422, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 16.5, 'price': 100.0, 'edge': 0.0761655954016801, 'ev': 0.1523311908033602, 'ev_pct': 15.233119080336019, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 115.0, 'edge': 0.0826026652592991, 'ev': 0.1775957303074929, 'ev_pct': 17.75957303074929, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 107.0, 'edge': 0.064627156889453, 'ev': 0.1337782147611678, 'ev_pct': 13.37782147611678, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.059914066280286, 'ev': 0.1228238358745864, 'ev_pct': 12.28238358745864, 'book': 'betmgm'}]",[],"[{'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 135.0, 'edge': 0.0959596968663502, 'ev': 0.2255052876359231, 'ev_pct': 22.550528763592308, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 15.5, 'price': 115.0, 'edge': 0.109891676569181, 'ev': 0.2362671046237391, 'ev_pct': 23.62671046237391, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': -110.0, 'edge': 0.0578659612098465, 'ev': 0.1104713804915252, 'ev_pct': 11.04713804915252, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 15.5, 'price': 130.0, 'edge': 0.1334781691630992, 'ev': 0.3069997890751282, 'ev_pct': 30.699978907512822, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 16.5, 'price': 105.0, 'edge': 0.0883607173528996, 'ev': 0.1811394705734442, 'ev_pct': 18.113947057344422, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 16.5, 'price': 100.0, 'edge': 0.0761655954016801, 'ev': 0.1523311908033602, 'ev_pct': 15.233119080336019, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 115.0, 'edge': 0.0826026652592991, 'ev': 0.1775957303074929, 'ev_pct': 17.75957303074929, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 107.0, 'edge': 0.064627156889453, 'ev': 0.1337782147611678, 'ev_pct': 13.37782147611678, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.059914066280286, 'ev': 0.1228238358745864, 'ev_pct': 12.28238358745864, 'book': 'betmgm'}]","{'market': 'ast', 'side': 'UNDER', 'line': 3.5, 'price': 135.0, 'ev': 0.2255052876359231, 'ev_pct': 22.550528763592308, 'book': 'bovada'}",model 3.0 vs line 3.5 (-0.5),3.0029807242403983,"['EV 22.6%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Brice Sensabaugh,UTA,"[{'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 148.0, 'edge': 0.0942220892746982, 'ev': 0.2336707814012515, 'ev_pct': 23.367078140125148, 'book': 'fanduel'}]",[],"[{'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 148.0, 'edge': 0.0942220892746982, 'ev': 0.2336707814012515, 'ev_pct': 23.367078140125148, 'book': 'fanduel'}]","{'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 148.0, 'ev': 0.2336707814012515, 'ev_pct': 23.367078140125148, 'book': 'fanduel'}",model 1.5 vs line 1.5 (+0.0),1.5487109513653363,"['EV 23.4%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Brook Lopez,LAC,"[{'market': 'ast', 'side': 'UNDER', 'line': 0.5, 'price': 120.0, 'edge': 0.0952193405232275, 'ev': 0.2094825491511004, 'ev_pct': 20.94825491511004, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 7.5, 'price': 135.0, 'edge': 0.166565083874117, 'ev': 0.391427947104175, 'ev_pct': 39.1427947104175, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 8.5, 'price': -105.0, 'edge': 0.0835714950970307, 'ev': 0.163163395189441, 'ev_pct': 16.3163395189441, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 8.5, 'price': -107.0, 'edge': 0.0788584044878638, 'ev': 0.1525578479344654, 'ev_pct': 15.255784793446539, 'book': 'draftkings'}]",[],"[{'market': 'ast', 'side': 'UNDER', 'line': 0.5, 'price': 120.0, 'edge': 0.0952193405232275, 'ev': 0.2094825491511004, 'ev_pct': 20.94825491511004, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 7.5, 'price': 135.0, 'edge': 0.166565083874117, 'ev': 0.391427947104175, 'ev_pct': 39.1427947104175, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 8.5, 'price': -105.0, 'edge': 0.0835714950970307, 'ev': 0.163163395189441, 'ev_pct': 16.3163395189441, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 8.5, 'price': -107.0, 'edge': 0.0788584044878638, 'ev': 0.1525578479344654, 'ev_pct': 15.255784793446539, 'book': 'draftkings'}]","{'market': 'ast', 'side': 'UNDER', 'line': 0.5, 'price': 120.0, 'ev': 0.2094825491511004, 'ev_pct': 20.94825491511004, 'book': 'betmgm'}",model 0.0 vs line 0.5 (-0.5),0.0,"['EV 20.9%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Bruce Brown,DEN,[],[],[],,,,[],0.0,0.0
Cade Cunningham,DET,"[{'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 110.0, 'edge': 0.1223913288613972, 'ev': 0.2570217906089342, 'ev_pct': 25.70217906089342, 'book': 'bovada'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.1107769270030929, 'ev': 0.2270927003563405, 'ev_pct': 22.70927003563405, 'book': 'betmgm'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 102.0, 'edge': 0.1035323001013783, 'ev': 0.2091352462047843, 'ev_pct': 20.91352462047843, 'book': 'fanduel'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 101.0, 'edge': 0.1010693672409281, 'ev': 0.2031494281542656, 'ev_pct': 20.31494281542656, 'book': 'betonlineag'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.0985818050518734, 'ev': 0.1971636101037468, 'ev_pct': 19.71636101037468, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': -102.0, 'edge': 0.0936313100023684, 'ev': 0.1854267119654747, 'ev_pct': 18.54267119654747, 'book': 'williamhill_us'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': -105.0, 'edge': 0.0863866831006539, 'ev': 0.1686597146250861, 'ev_pct': 16.86597146250861, 'book': 'betrivers'}, {'market': 'pa', 'side': 'UNDER', 'line': 31.5, 'price': 110.0, 'edge': 0.1068307352840735, 'ev': 0.2243445440965543, 'ev_pct': 22.43445440965543, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 32.5, 'price': -110.0, 'edge': 0.0634127049300643, 'ev': 0.1210606185028501, 'ev_pct': 12.10606185028501, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 33.5, 'price': -115.0, 'edge': 0.0556828086831772, 'ev': 0.1041026423207225, 'ev_pct': 10.41026423207225, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': 110.0, 'edge': 0.0830524495209955, 'ev': 0.1744101439940906, 'ev_pct': 17.44101439940906, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 12.5, 'price': 150.0, 'edge': 0.1941477047545364, 'ev': 0.4853692618863412, 'ev_pct': 48.53692618863412, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': 105.0, 'edge': 0.1098283095953499, 'ev': 0.2251480346704674, 'ev_pct': 22.51480346704674, 'book': 'bovada'}]",[],"[{'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 110.0, 'edge': 0.1223913288613972, 'ev': 0.2570217906089342, 'ev_pct': 25.70217906089342, 'book': 'bovada'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 105.0, 'edge': 0.1107769270030929, 'ev': 0.2270927003563405, 'ev_pct': 22.70927003563405, 'book': 'betmgm'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 102.0, 'edge': 0.1035323001013783, 'ev': 0.2091352462047843, 'ev_pct': 20.91352462047843, 'book': 'fanduel'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 101.0, 'edge': 0.1010693672409281, 'ev': 0.2031494281542656, 'ev_pct': 20.31494281542656, 'book': 'betonlineag'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': 100.0, 'edge': 0.0985818050518734, 'ev': 0.1971636101037468, 'ev_pct': 19.71636101037468, 'book': 'draftkings'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': -102.0, 'edge': 0.0936313100023684, 'ev': 0.1854267119654747, 'ev_pct': 18.54267119654747, 'book': 'williamhill_us'}, {'market': 'ast', 'side': 'UNDER', 'line': 8.5, 'price': -105.0, 'edge': 0.0863866831006539, 'ev': 0.1686597146250861, 'ev_pct': 16.86597146250861, 'book': 'betrivers'}, {'market': 'pa', 'side': 'UNDER', 'line': 31.5, 'price': 110.0, 'edge': 0.1068307352840735, 'ev': 0.2243445440965543, 'ev_pct': 22.43445440965543, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 32.5, 'price': -110.0, 'edge': 0.0634127049300643, 'ev': 0.1210606185028501, 'ev_pct': 12.10606185028501, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 33.5, 'price': -115.0, 'edge': 0.0556828086831772, 'ev': 0.1041026423207225, 'ev_pct': 10.41026423207225, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 27.5, 'price': 110.0, 'edge': 0.0830524495209955, 'ev': 0.1744101439940906, 'ev_pct': 17.44101439940906, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 12.5, 'price': 150.0, 'edge': 0.1941477047545364, 'ev': 0.4853692618863412, 'ev_pct': 48.53692618863412, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': 105.0, 'edge': 0.1098283095953499, 'ev': 0.2251480346704674, 'ev_pct': 22.51480346704674, 'book': 'bovada'}]","{'market': 'ra', 'side': 'UNDER', 'line': 12.5, 'price': 150.0, 'ev': 0.4853692618863412, 'ev_pct': 48.53692618863412, 'book': 'bovada'}",,,"['EV 48.5%', 'Regular price range (-150 to +150)']",0.0,0.0
Cam Spencer,MEM,"[{'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 140.0, 'edge': 0.1307584647790332, 'ev': 0.3138203154696798, 'ev_pct': 31.38203154696798, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 130.0, 'edge': 0.1126425227500477, 'ev': 0.2590778023251099, 'ev_pct': 25.90778023251099, 'book': 'betrivers'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 125.0, 'edge': 0.1029806870012555, 'ev': 0.2317065457528249, 'ev_pct': 23.17065457528249, 'book': 'betmgm'}]",[],"[{'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 140.0, 'edge': 0.1307584647790332, 'ev': 0.3138203154696798, 'ev_pct': 31.38203154696798, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 130.0, 'edge': 0.1126425227500477, 'ev': 0.2590778023251099, 'ev_pct': 25.90778023251099, 'book': 'betrivers'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 125.0, 'edge': 0.1029806870012555, 'ev': 0.2317065457528249, 'ev_pct': 23.17065457528249, 'book': 'betmgm'}]","{'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 140.0, 'ev': 0.3138203154696798, 'ev_pct': 31.38203154696798, 'book': 'bovada'}",model 5.0 vs line 3.5 (+1.5),5.027215733333334,"['EV 31.4%', 'Regular price range (-150 to +150)', 'Consensus: 3 books aligned', 'Best line available']",0.5,1.0
