market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,2025-12-14,0.19758067521957995,-181.9090909090909,0.6452757175104805,,,,,,High
ATS,Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,2025-12-14,0.35292620139893405,-110.0,0.5238095238095238,6.59423828125,-4.5,11.09423828125,4.5,,High
TOTAL,Over,Atlanta Hawks,Philadelphia 76ers,2025-12-14,0.18053438284646917,-110.0,0.5238095238095238,4.8194580078125,226.0,,,230.8194580078125,High
ML,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,2025-12-14,0.20828054548728703,-116.0909090909091,0.5372318047959613,,,,,,High
ATS,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,2025-12-14,0.07855235809545424,-110.0,0.5238095238095238,-1.9625604152679443,-1.0,-2.9625604152679443,-1.0,,Medium
TOTAL,Under,Phoenix Suns,Los Angeles Lakers,2025-12-14,0.22689343665448014,-110.0,0.5238095238095238,-5.849182128906278,230.0,,,224.15081787109372,High
ATS,Cleveland Cavaliers,Cleveland Cavaliers,Charlotte Hornets,2025-12-14,0.21737915422278886,-110.0,0.5238095238095238,4.227005958557127,-11.0,15.227005958557127,11.0,,High
TOTAL,Under,Cleveland Cavaliers,Charlotte Hornets,2025-12-14,0.23641517823639424,-110.0,0.5238095238095238,-6.063568115234403,231.5,,,225.4364318847656,High
ML,Portland Trail Blazers,Portland Trail Blazers,Golden State Warriors,2025-12-14,0.5328493040122857,159.9090909090909,0.3847499125568381,,,,,,High
ATS,Portland Trail Blazers,Portland Trail Blazers,Golden State Warriors,2025-12-14,0.1969196698284802,-110.0,0.5238095238095238,3.885684013366699,4.5,-0.6143159866333008,-4.5,,High
TOTAL,Under,Portland Trail Blazers,Golden State Warriors,2025-12-14,0.5533351240654754,-110.0,0.5238095238095238,-14.262939453125,236.0,,,221.737060546875,High
ML,Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,2025-12-14,0.6903200374809437,491.45454545454544,0.16907470027666768,,,,,,High
ATS,Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,2025-12-14,0.28900181721739293,-110.0,0.5238095238095238,-5.451529502868652,12.5,7.048470497131348,12.5,,High
TOTAL,Under,Minnesota Timberwolves,Sacramento Kings,2025-12-14,0.2865805801681276,-110.0,0.5238095238095238,-7.2123565673828125,233.5,,,226.2876434326172,High
ML,Chicago Bulls,Chicago Bulls,New Orleans Pelicans,2025-12-14,0.19846229821027683,-187.45454545454547,0.6521189120809614,,,,,,High
ATS,Chicago Bulls,Chicago Bulls,New Orleans Pelicans,2025-12-14,0.3881068166712843,-110.0,0.5238095238095238,7.2489166259765625,-4.5,11.748916625976562,4.5,,High
TOTAL,Under,Chicago Bulls,New Orleans Pelicans,2025-12-14,0.6497878845122274,-110.0,0.5238095238095238,-17.588302612304688,247.0,,,229.4116973876953,High
ML,Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,2025-12-14,0.36518464677994655,-124.72727272727272,0.5550161812297735,,,,,,High
ATS,Milwaukee Bucks,Brooklyn Nets,Milwaukee Bucks,2025-12-14,0.4522963680053884,-110.0,0.5238095238095238,-8.503704071044922,-1.5,-10.003704071044922,-1.5,,High
TOTAL,Over,Brooklyn Nets,Milwaukee Bucks,2025-12-14,0.5257030040550226,-110.0,0.5238095238095238,13.41900634765625,216.5,,,229.91900634765625,High
ML,Indiana Pacers,Indiana Pacers,Washington Wizards,2025-12-14,0.015208475704035385,-401.8181818181818,0.8007246376811594,,,,,,Low
ATS,Indiana Pacers,Indiana Pacers,Washington Wizards,2025-12-14,0.24767670575405787,-110.0,0.5238095238095238,4.7389068603515625,-9.5,14.238906860351562,9.5,,High
TOTAL,Under,Indiana Pacers,Washington Wizards,2025-12-14,0.4028287002404475,-110.0,0.5238095238095238,-10.0390625,235.0,,,224.9609375,High
