date,snapshot_ts,open_snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,open_line,open_price,open_implied_prob,line_move,implied_move,sentiment_strength,sentiment_w,sentiment_applied
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1630217.0,Desmond Bane,ORL,ast,UNDER,3.5,-125,0.5555555555555556,0.8349010598400446,0.9767439463669034,0.279345504284489,0.5028219077120804,fanduel,FanDuel,2026-03-07T20:10:00Z,Minnesota Timberwolves,Orlando Magic,3.5,-125,0.5555555555555556,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1630217.0,Desmond Bane,ORL,ast,UNDER,3.5,-125,0.5555555555555556,0.8349010598400446,0.9767439463669034,0.279345504284489,0.5028219077120804,williamhill_us,Caesars,2026-03-07T20:10:00Z,Minnesota Timberwolves,Orlando Magic,3.5,-125,0.5555555555555556,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1630217.0,Desmond Bane,ORL,ast,UNDER,3.5,-125,0.5555555555555556,0.8349010598400446,0.9767439463669034,0.279345504284489,0.5028219077120804,betmgm,BetMGM,2026-03-07T20:10:00Z,Minnesota Timberwolves,Orlando Magic,3.5,-125,0.5555555555555556,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,110,0.47619047619047616,0.7113164283858837,0.7866137441297328,0.23512595219540755,0.49376449961035584,betmgm,BetMGM,2026-03-08T01:40:00Z,Oklahoma City Thunder,Golden State Warriors,3.5,110,0.47619047619047616,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1630217.0,Desmond Bane,ORL,ast,UNDER,3.5,-128,0.5614035087719298,0.8349010598400446,0.9767439463669034,0.2734975510681148,0.4871675128400794,betonlineag,BetOnline.ag,2026-03-07T20:10:00Z,Minnesota Timberwolves,Orlando Magic,3.5,-128,0.5614035087719298,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,203110.0,Draymond Green,GSW,ast,UNDER,5.5,-118,0.5412844036697247,0.8005754269014462,0.9239352803075211,0.2592910232317215,0.4790291785128413,betmgm,BetMGM,2026-03-08T01:40:00Z,Oklahoma City Thunder,Golden State Warriors,5.5,-118,0.5412844036697247,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1630217.0,Desmond Bane,ORL,ast,UNDER,3.5,-130,0.5652173913043478,0.8349010598400446,0.9767439463669034,0.2696836685356968,0.47713264433238667,draftkings,DraftKings,2026-03-07T20:10:00Z,Minnesota Timberwolves,Orlando Magic,3.5,-130,0.5652173913043478,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1630595.0,Cade Cunningham,DET,ast,UNDER,10.5,-130,0.5652173913043478,0.8253833280569136,0.9621012820851633,0.26016593675256583,0.46029358040838564,fanatics,Fanatics,2026-03-07T23:10:00Z,Detroit Pistons,Brooklyn Nets,10.5,-130,0.5652173913043478,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1630595.0,Cade Cunningham,DET,ast,UNDER,10.5,-130,0.5652173913043478,0.8253833280569136,0.9621012820851633,0.26016593675256583,0.46029358040838564,betmgm,BetMGM,2026-03-07T23:10:00Z,Detroit Pistons,Brooklyn Nets,10.5,-130,0.5652173913043478,0.0,0.0,0.0,0.0,False
2026-03-07,2026-03-07T17:09:32.395755+00:00,2026-03-07T17:09:32.395755+00:00,1641717.0,Cason Wallace,OKC,ast,OVER,3.5,105,0.4878048780487805,0.7113164283858837,0.7866137441297328,0.22351155033710324,0.45819867819106164,betrivers,BetRivers,2026-03-08T01:40:00Z,Oklahoma City Thunder,Golden State Warriors,3.5,105,0.4878048780487805,0.0,0.0,0.0,0.0,False
