date,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,bookmaker
2026-01-15,Dallas Mavericks,Utah Jazz,2026-01-16T01:30:00+00:00,-2800,1100,-22.0,22.0,-105,-125,265.5,-110,-110,bovada
2026-01-15,Portland Trail Blazers,Atlanta Hawks,2026-01-16T03:00:00+00:00,-185,140,-4.0,4.0,-115,-115,228.5,-110,-110,bovada
2026-01-15,Golden State Warriors,New York Knicks,2026-01-16T03:00:00+00:00,-185,140,-3.5,3.5,-115,-115,232.5,-110,-110,bovada
2026-01-15,Los Angeles Lakers,Charlotte Hornets,2026-01-16T03:30:00+00:00,-250,185,-6.0,6.0,-110,-120,242.5,-110,-110,bovada
