date,game_id,home_team,visitor_team,commence_time,prob_home_tip,early_threes_expected,early_threes_prob_ge_1
2025-12-24,0000225004,,,,0.5,1.2,0.6988057880877978
2025-12-24,0000225004,,,,0.5,1.2,0.6988057880877978
2025-12-24,0000225004,,,,0.5,1.2,0.6988057880877978
2025-12-24,0000225004,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500409,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500411,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500412,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500413,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500414,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500415,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500416,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500417,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500418,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500419,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500421,,,,0.5,1.2,0.6988057880877978
2025-12-24,0022500422,,,,0.5,1.2,0.6988057880877978
