event_id,commence_time,home_team,away_team,has_odds
b542245530e737dbd0703796ab0c1257,2026-03-23T23:10:00Z,Detroit Pistons,Los Angeles Lakers,True
ee838160ed85754aa11218f7ec3708b0,2026-03-23T23:10:00Z,Orlando Magic,Indiana Pacers,True
c61d2594de00eb4d12ba96127dc437e5,2026-03-23T23:10:00Z,Miami Heat,San Antonio Spurs,True
49b50074de17e9d2082babc6b09b0d97,2026-03-23T23:10:00Z,Philadelphia 76ers,Oklahoma City Thunder,True
9693d8c4274c9eabbcb9ab22fcf44936,2026-03-23T23:40:00Z,Atlanta Hawks,Memphis Grizzlies,True
20907151ed2de3c55309ff635a0b4f53,2026-03-24T00:10:00Z,Chicago Bulls,Houston Rockets,True
3791f62ad672c74a9eaaf206188b1696,2026-03-24T01:10:00Z,Utah Jazz,Toronto Raptors,True
d6018addbf422198251c0674270b87f3,2026-03-24T01:40:00Z,Dallas Mavericks,Golden State Warriors,True
3cd97096b11e331414ff5b0b6c515f5c,2026-03-24T02:10:00Z,Portland Trail Blazers,Brooklyn Nets,True
9d16ebba2fd9d005cddea05f25e60145,2026-03-24T02:40:00Z,Los Angeles Clippers,Milwaukee Bucks,True
