player,team,plays,ladders
Andrew Nembhard,IND,"[{'market': 'ast', 'side': 'UNDER', 'line': 6.5, 'price': 135.0, 'edge': 0.0543707937533639, 'ev': 0.1277713653204052, 'ev_pct': 12.77713653204052, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 25.5, 'price': 105.0, 'edge': 0.0371433230730132, 'ev': 0.0761438122996771, 'ev_pct': 7.61438122996771, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 25.5, 'price': -102.0, 'edge': 0.0199977060722887, 'ev': 0.0396033002608071, 'ev_pct': 3.96033002608071, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 24.5, 'price': -114.0, 'edge': 0.001617814295623, 'ev': 0.0030369496426606, 'ev_pct': 0.30369496426605996, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 21.5, 'price': 105.0, 'edge': 0.0488518658516796, 'ev': 0.1001463249959433, 'ev_pct': 10.01463249959433, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 20.5, 'price': -111.0, 'edge': 0.01912953247099, 'ev': 0.0363633455079179, 'ev_pct': 3.63633455079179, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 10.5, 'price': 112.0, 'edge': 0.0507118049965223, 'ev': 0.1075090265926275, 'ev_pct': 10.75090265926275, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 10.5, 'price': 101.0, 'edge': 0.0248974803931242, 'ev': 0.0500439355901798, 'ev_pct': 5.00439355901798, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 10.5, 'price': 100.0, 'edge': 0.0224099182040695, 'ev': 0.0448198364081391, 'ev_pct': 4.48198364081391, 'book': 'bovada'}]",[]
Brice Sensabaugh,UTA,"[{'market': 'pa', 'side': 'UNDER', 'line': 12.5, 'price': 140.0, 'edge': 0.0532976943447233, 'ev': 0.127914466427336, 'ev_pct': 12.7914466427336, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 16.5, 'price': 105.0, 'edge': 0.0294078558419556, 'ev': 0.060286104476009, 'ev_pct': 6.0286104476009, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 14.5, 'price': 125.0, 'edge': 0.0197469435161604, 'ev': 0.044430622911361, 'ev_pct': 4.4430622911360995, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 6.5, 'price': 145.0, 'edge': 0.0948405568738428, 'ev': 0.2323593643409149, 'ev_pct': 23.23593643409149, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': 100.0, 'edge': 0.0231035760521001, 'ev': 0.0462071521042002, 'ev_pct': 4.62071521042002, 'book': 'betmgm'}, {'market': 'threes', 'side': 'UNDER', 'line': 1.5, 'price': 148.0, 'edge': 0.0764628995121207, 'ev': 0.1896279907900593, 'ev_pct': 18.96279907900593, 'book': 'fanduel'}]",[]
Brook Lopez,LAC,[],[]
Collin Murray-Boyles,TOR,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 140.0, 'edge': 0.0968611924879997, 'ev': 0.2324668619711994, 'ev_pct': 23.24668619711994, 'book': 'betmgm'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 122.0, 'edge': 0.063077408704216, 'ev': 0.1400318473233596, 'ev_pct': 14.00318473233596, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 122.0, 'edge': 0.063077408704216, 'ev': 0.1400318473233596, 'ev_pct': 14.00318473233596, 'book': 'betonlineag'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 118.0, 'edge': 0.0548122628243912, 'ev': 0.1194907329571729, 'ev_pct': 11.94907329571729, 'book': 'williamhill_us'}, {'market': 'pa', 'side': 'UNDER', 'line': 11.5, 'price': 115.0, 'edge': 0.0284255834372738, 'ev': 0.0611150043901388, 'ev_pct': 6.11150043901388, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 13.5, 'price': 115.0, 'edge': 0.0212311782656464, 'ev': 0.0456470332711397, 'ev_pct': 4.564703327113969, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 16.5, 'price': 125.0, 'edge': 0.0573296214935337, 'ev': 0.1289916483604507, 'ev_pct': 12.89916483604507, 'book': 'bovada'}, {'market': 'ra', 'side': 'UNDER', 'line': 8.5, 'price': 150.0, 'edge': 0.0694904350263114, 'ev': 0.1737260875657788, 'ev_pct': 17.37260875657788, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 10.5, 'price': 120.0, 'edge': 0.0359076709309169, 'ev': 0.078996876048017, 'ev_pct': 7.8996876048017, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 6.5, 'price': 145.0, 'edge': 0.0758361126484251, 'ev': 0.1857984759886416, 'ev_pct': 18.57984759886416, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 8.5, 'price': 150.0, 'edge': 0.064209958929686, 'ev': 0.160524897324215, 'ev_pct': 16.0524897324215, 'book': 'bovada'}]",[]
Collin Sexton,CHA,"[{'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 141.0, 'edge': 0.1074893538575502, 'ev': 0.2590493427966961, 'ev_pct': 25.90493427966961, 'book': 'betonlineag'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 134.0, 'edge': 0.0950766858432225, 'ev': 0.2224794448731407, 'ev_pct': 22.24794448731407, 'book': 'fanduel'}, {'market': 'ast', 'side': 'OVER', 'line': 3.5, 'price': 120.0, 'edge': 0.0678816586481953, 'ev': 0.1493396490260297, 'ev_pct': 14.93396490260297, 'book': 'betmgm'}, {'market': 'ast', 'side': 'UNDER', 'line': 2.5, 'price': 138.0, 'edge': 0.0291733035600965, 'ev': 0.0694324624730297, 'ev_pct': 6.9432462473029695, 'book': 'betrivers'}, {'market': 'pa', 'side': 'OVER', 'line': 15.5, 'price': 115.0, 'edge': 0.0932895831395746, 'ev': 0.2005726037500854, 'ev_pct': 20.05726037500854, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': -104.0, 'edge': 0.0554729772630047, 'ev': 0.1088123784774323, 'ev_pct': 10.88123784774323, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': -115.0, 'edge': 0.0303931779013996, 'ev': 0.0568220282504426, 'ev_pct': 5.68220282504426, 'book': 'bovada'}, {'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': -116.0, 'edge': 0.028239861794595, 'ev': 0.0525845702382115, 'ev_pct': 5.25845702382115, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -105.0, 'edge': 0.0592612520175523, 'ev': 0.1157005396533166, 'ev_pct': 11.57005396533166, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 13.5, 'price': -107.0, 'edge': 0.0545481614083854, 'ev': 0.1055277515096801, 'ev_pct': 10.55277515096801, 'book': 'draftkings'}, {'market': 'ra', 'side': 'OVER', 'line': 5.5, 'price': 135.0, 'edge': 0.132063539886364, 'ev': 0.3103493187329555, 'ev_pct': 31.03493187329555, 'book': 'bovada'}]",[]
Cooper Flagg,DAL,"[{'market': 'ast', 'side': 'OVER', 'line': 5.5, 'price': 125.0, 'edge': 0.0396751780168765, 'ev': 0.0892691505379722, 'ev_pct': 8.92691505379722, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 26.5, 'price': 120.0, 'edge': 0.0967884820618247, 'ev': 0.2129346605360143, 'ev_pct': 21.293466053601428, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': 100.0, 'edge': 0.0588991970987532, 'ev': 0.1177983941975064, 'ev_pct': 11.77983941975064, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 26.5, 'price': -106.0, 'edge': 0.0367708298111627, 'ev': 0.0714602918971653, 'ev_pct': 7.146029189716529, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': -115.0, 'edge': 0.0240154761685207, 'ev': 0.044898498923756, 'ev_pct': 4.4898498923756, 'book': 'draftkings'}, {'market': 'pa', 'side': 'UNDER', 'line': 27.5, 'price': -118.0, 'edge': 0.0176147934290284, 'ev': 0.032542584470578, 'ev_pct': 3.2542584470577998, 'book': 'betmgm'}, {'market': 'pa', 'side': 'UNDER', 'line': 28.5, 'price': -125.0, 'edge': 0.0101626518150585, 'ev': 0.0182927732671055, 'ev_pct': 1.82927732671055, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 28.5, 'price': 115.0, 'edge': 0.0890733276286271, 'ev': 0.1915076544015482, 'ev_pct': 19.15076544015482, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 29.5, 'price': -105.0, 'edge': 0.0491432201456091, 'ev': 0.095946286950951, 'ev_pct': 9.5946286950951, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 29.5, 'price': -110.0, 'edge': 0.0375288182873048, 'ev': 0.0716459258212183, 'ev_pct': 7.16459258212183, 'book': 'betmgm'}, {'market': 'pr', 'side': 'UNDER', 'line': 29.5, 'price': -113.0, 'edge': 0.030821910171946, 'ev': 0.0580979368727832, 'ev_pct': 5.8097936872783205, 'book': 'fanduel'}, {'market': 'pr', 'side': 'UNDER', 'line': 30.5, 'price': -123.0, 'edge': 0.0161918828317478, 'ev': 0.0293560152152828, 'ev_pct': 2.9356015215282802, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 11.5, 'price': 115.0, 'edge': 0.034798886272312, 'ev': 0.0748176054854709, 'ev_pct': 7.48176054854709, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 6.5, 'price': 120.0, 'edge': 0.0453199395671912, 'ev': 0.0997038670478206, 'ev_pct': 9.97038670478206, 'book': 'fanduel'}, {'market': 'reb', 'side': 'UNDER', 'line': 6.5, 'price': 115.0, 'edge': 0.0347491150428783, 'ev': 0.0747105973421883, 'ev_pct': 7.471059734218829, 'book': 'bovada'}]",[]
Craig Porter Jr,CLE,"[{'market': 'pa', 'side': 'OVER', 'line': 10.5, 'price': -102.0, 'edge': 0.0681091705660238, 'ev': 0.1348828671993804, 'ev_pct': 13.488286719938039, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 9.5, 'price': -116.0, 'edge': 0.0441411497973295, 'ev': 0.082193865139855, 'ev_pct': 8.2193865139855, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 9.5, 'price': -128.0, 'edge': 0.0197746780624368, 'ev': 0.0352236452987155, 'ev_pct': 3.5223645298715502, 'book': 'fanduel'}]",[]
Daniel Gafford,DAL,"[{'market': 'pa', 'side': 'UNDER', 'line': 9.5, 'price': 150.0, 'edge': 0.0782325873887533, 'ev': 0.1955814684718834, 'ev_pct': 19.55814684718834, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 10.5, 'price': 110.0, 'edge': 0.0119019073017117, 'ev': 0.0249940053335947, 'ev_pct': 2.49940053335947, 'book': 'bovada'}, {'market': 'pr', 'side': 'UNDER', 'line': 17.5, 'price': 115.0, 'edge': 0.0320728442235005, 'ev': 0.0689566150805262, 'ev_pct': 6.895661508052619, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 9.5, 'price': 125.0, 'edge': 0.0299985385259849, 'ev': 0.0674967116834661, 'ev_pct': 6.749671168346611, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 110.0, 'edge': 0.0327360419162878, 'ev': 0.0687456880242045, 'ev_pct': 6.87456880242045, 'book': 'fanduel'}]",[]
Darius Garland,CLE,"[{'market': 'ast', 'side': 'UNDER', 'line': 6.5, 'price': 135.0, 'edge': 0.0682707152227193, 'ev': 0.1604361807733906, 'ev_pct': 16.04361807733906, 'book': 'bovada'}, {'market': 'pa', 'side': 'UNDER', 'line': 24.5, 'price': 115.0, 'edge': 0.0069591954526022, 'ev': 0.0149622702230947, 'ev_pct': 1.49622702230947, 'book': 'bovada'}, {'market': 'pr', 'side': 'OVER', 'line': 21.5, 'price': 105.0, 'edge': 0.0297771541231011, 'ev': 0.0610431659523572, 'ev_pct': 6.10431659523572, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 115.0, 'edge': 0.0392203969496738, 'ev': 0.0843238534417988, 'ev_pct': 8.43238534417988, 'book': 'williamhill_us'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 110.0, 'edge': 0.0281461998289651, 'ev': 0.0591070196408268, 'ev_pct': 5.91070196408268, 'book': 'betmgm'}, {'market': 'reb', 'side': 'OVER', 'line': 2.5, 'price': 109.0, 'edge': 0.0258677764979102, 'ev': 0.0540636528806324, 'ev_pct': 5.40636528806324, 'book': 'draftkings'}]",[]
Day'Ron Sharpe,BKN,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 100.0, 'edge': 0.0383218678099698, 'ev': 0.0766437356199396, 'ev_pct': 7.66437356199396, 'book': 'betmgm'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': 140.0, 'edge': 0.0986591327485275, 'ev': 0.236781918596466, 'ev_pct': 23.6781918596466, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': 116.0, 'edge': 0.0523628364522312, 'ev': 0.1131037267368194, 'ev_pct': 11.31037267368194, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 7.5, 'price': 113.0, 'edge': 0.0458422313400768, 'ev': 0.0976439527543635, 'ev_pct': 9.76439527543635, 'book': 'betonlineag'}]",[]
