date,home_team,visitor_team,h1_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q4_spread,q4_home_spread_price,q3_away_spread_price,q4_away_spread_price
2026-04-20,Cleveland Cavaliers,Toronto Raptors,108.5,54.5,54.0,58.5,57.5,-5.0,-110,-110,-2.5,-110,-110,-2.5,-105,-115,-1.5,-120,-1.5,-120,,
2026-04-20,New York Knicks,Atlanta Hawks,111.5,56.5,55.5,54.5,51.5,-3.0,-110,-110,-1.5,-110,-110,-1.5,-110,-110,-1.5,-110,-1.5,-105,-110.0,-115.0
2026-04-20,Denver Nuggets,Minnesota Timberwolves,112.5,57.0,56.0,60.5,56.5,-3.5,-115,-105,-2.0,-105,-115,-2.0,-105,-115,-1.5,-120,-1.5,-105,,-115.0
