date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2025-11-12,Charlotte Hornets,Milwaukee Bucks,CHA,MIL,,,,,,0.0,,
2025-11-12,Detroit Pistons,Chicago Bulls,DET,CHI,,,,,,0.0,,
2025-11-12,New York Knicks,Orlando Magic,NYK,ORL,,,,,,0.0,,
2025-11-12,Boston Celtics,Memphis Grizzlies,BOS,MEM,,,,,,0.0,,
2025-11-12,Miami Heat,Cleveland Cavaliers,MIA,CLE,,,,,,0.0,,
2025-11-12,Houston Rockets,Washington Wizards,HOU,WAS,,,,,,0.0,,
2025-11-12,New Orleans Pelicans,Portland Trail Blazers,NOP,POR,,,,,,0.0,,
2025-11-12,San Antonio Spurs,Golden State Warriors,SAS,GSW,,,,,,0.0,,
2025-11-12,Dallas Mavericks,Phoenix Suns,DAL,PHX,,,,,,0.0,,
2025-11-12,Oklahoma City Thunder,Los Angeles Lakers,OKC,LAL,,,,,,0.0,,
2025-11-12,Sacramento Kings,Atlanta Hawks,SAC,ATL,,,,,,0.0,,
2025-11-12,Los Angeles Clippers,Denver Nuggets,LAC,DEN,,,,,,0.0,,
