game_id,expected_threes_0_3,prob_ge_1
0022501171,1.2302586226315018,0.7077830060204997
0022501172,1.2718761739923263,0.7196947732478842
0022501173,1.2759267350559962,0.720827870296685
0022501174,1.1611892632419383,0.6868864151079012
0022501175,1.1536637471604885,0.6845211851640584
0022501176,1.0507808285646776,0.6503353856296284
0022501177,1.2269002895501633,0.7067999943062092
0022501178,1.12836772683359,0.6764390344959093
0022501179,1.267399238079849,0.7184370514425279
0022501180,1.1790330506645257,0.6924239947290304
0022501181,1.2990442463897696,0.7272076092071054
0022501182,1.2618963376874295,0.7168833676194681
0022501183,1.2158920343048458,0.703554543202572
0022501184,1.16041912367128,0.6866451810660477
0022501185,1.1173525821716188,0.6728552620035674
