date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,n,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90,pra_p10,pra_p50,pra_p90
2026-05-14,,DAL,MIN,home,DAL,2000,4594527,Dulcy Fankam Mendjiadeu,scenario,medium,555,0.0,4.0,8.0,1.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,7.0,12.0
2026-05-14,,DAL,MIN,home,DAL,2000,4594527,Dulcy Fankam Mendjiadeu,scenario,blowout,930,0.0,4.0,8.100000000000023,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,8.0,13.0
2026-05-14,,DAL,MIN,home,DAL,2000,4336633,Li Yueru,scenario,close,515,0.0,2.0,5.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,8.0
2026-05-14,,DAL,MIN,home,DAL,2000,4336633,Li Yueru,scenario,medium,555,0.0,2.0,5.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,8.0
2026-05-14,,DAL,MIN,home,DAL,2000,4336633,Li Yueru,scenario,blowout,930,0.0,2.0,6.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,9.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529205,Kayla McBride,scenario,close,515,9.0,16.0,24.0,2.0,4.0,7.0,1.0,2.0,4.0,0.0,1.0,3.0,15.0,22.0,31.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529205,Kayla McBride,scenario,medium,555,8.0,16.0,24.0,2.0,4.0,6.600000000000023,0.0,2.0,4.0,0.0,1.0,3.0,14.0,22.0,30.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529205,Kayla McBride,scenario,blowout,930,7.0,14.0,21.0,2.0,4.0,6.0,0.0,2.0,4.0,0.0,1.0,3.0,12.900000000000006,19.0,27.0
2026-05-14,,DAL,MIN,away,MIN,2000,4433791,Olivia Miles,scenario,close,515,6.0,13.0,20.0,3.4000000000000057,6.0,10.0,1.0,2.0,5.0,0.0,1.0,2.0,14.0,22.0,29.600000000000023
2026-05-14,,DAL,MIN,away,MIN,2000,4433791,Olivia Miles,scenario,medium,555,6.0,12.0,19.0,3.0,6.0,9.0,1.0,2.0,5.0,0.0,1.0,2.0,14.0,21.0,29.0
2026-05-14,,DAL,MIN,away,MIN,2000,4433791,Olivia Miles,scenario,blowout,930,5.0,11.0,18.0,3.0,6.0,9.0,0.0,2.0,4.0,0.0,1.0,2.0,12.0,19.0,27.0
2026-05-14,,DAL,MIN,away,MIN,2000,3917450,Napheesa Collier,scenario,close,515,4.0,10.0,16.0,2.0,4.0,6.0,0.0,1.0,2.6000000000000227,0.0,1.0,2.0,9.0,15.0,22.0
2026-05-14,,DAL,MIN,away,MIN,2000,3917450,Napheesa Collier,scenario,medium,555,4.0,9.0,16.0,2.0,4.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,9.0,15.0,22.0
2026-05-14,,DAL,MIN,away,MIN,2000,3917450,Napheesa Collier,scenario,blowout,930,4.0,9.0,16.0,2.0,4.0,7.0,0.0,1.0,2.1000000000000227,0.0,1.0,2.0,8.0,14.0,22.0
2026-05-14,,DAL,MIN,away,MIN,2000,2987891,Courtney Williams,scenario,close,515,4.0,10.0,17.0,4.0,7.0,10.0,2.0,4.0,7.0,0.0,1.0,2.0,14.0,21.0,29.0
2026-05-14,,DAL,MIN,away,MIN,2000,2987891,Courtney Williams,scenario,medium,555,4.0,10.0,16.600000000000023,3.0,7.0,10.0,2.0,4.0,7.0,0.0,1.0,2.0,14.0,21.0,29.0
2026-05-14,,DAL,MIN,away,MIN,2000,2987891,Courtney Williams,scenario,blowout,930,4.0,9.0,15.0,3.0,6.0,10.0,2.0,4.0,6.100000000000023,0.0,1.0,2.0,12.900000000000006,19.0,26.0
2026-05-14,,DAL,MIN,away,MIN,2000,5345322,Emma Cechova,scenario,close,515,2.0,8.0,14.0,2.0,5.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,13.0,20.0
2026-05-14,,DAL,MIN,away,MIN,2000,5345322,Emma Cechova,scenario,medium,555,2.0,7.0,12.600000000000023,2.0,4.0,7.600000000000023,0.0,1.0,2.0,0.0,0.0,1.0,7.0,12.0,19.0
2026-05-14,,DAL,MIN,away,MIN,2000,5345322,Emma Cechova,scenario,blowout,930,2.0,7.0,12.0,2.0,4.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,12.0,19.0
2026-05-14,,DAL,MIN,away,MIN,2000,4873358,Antonia Delaere,scenario,close,515,2.0,7.0,13.0,1.0,3.0,6.0,1.0,2.0,4.0,0.0,1.0,2.0,8.0,13.0,20.0
2026-05-14,,DAL,MIN,away,MIN,2000,4873358,Antonia Delaere,scenario,medium,555,2.0,7.0,12.0,1.0,3.0,6.0,1.0,2.0,4.0,0.0,1.0,2.0,7.0,13.0,19.0
2026-05-14,,DAL,MIN,away,MIN,2000,4873358,Antonia Delaere,scenario,blowout,930,2.0,6.0,12.0,1.0,3.0,5.0,0.0,2.0,4.0,0.0,0.0,2.0,6.0,11.0,18.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529130,Natasha Howard,scenario,close,515,3.0,7.0,13.0,3.0,5.0,8.0,0.0,2.0,4.0,0.0,0.0,1.0,9.0,15.0,21.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529130,Natasha Howard,scenario,medium,555,2.0,7.0,12.600000000000023,2.0,5.0,8.0,0.0,2.0,3.0,0.0,0.0,1.0,8.0,13.0,21.0
2026-05-14,,DAL,MIN,away,MIN,2000,2529130,Natasha Howard,scenario,blowout,930,2.0,6.0,11.0,2.0,5.0,8.0,0.0,2.0,3.0,0.0,0.0,1.0,7.0,12.0,19.0
2026-05-14,,DAL,MIN,away,MIN,2000,3054590,Nia Coffey,scenario,close,515,2.0,6.0,12.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,5.0,10.0,15.0
2026-05-14,,DAL,MIN,away,MIN,2000,3054590,Nia Coffey,scenario,medium,555,2.0,6.0,12.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,10.0,16.0
2026-05-14,,DAL,MIN,away,MIN,2000,3054590,Nia Coffey,scenario,blowout,930,2.0,6.0,11.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,9.0,15.0
2026-05-14,,DAL,MIN,away,MIN,2000,4280850,Maya Caldwell,scenario,close,515,2.0,6.0,11.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,2.0,5.0,10.0,16.0
2026-05-14,,DAL,MIN,away,MIN,2000,4280850,Maya Caldwell,scenario,medium,555,2.0,5.0,10.600000000000023,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,2.0,5.0,10.0,16.0
2026-05-14,,DAL,MIN,away,MIN,2000,4280850,Maya Caldwell,scenario,blowout,930,1.0,5.0,10.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,9.0,16.0
2026-05-14,,DAL,MIN,away,MIN,2000,5345478,Eliska Hamzova,scenario,close,515,1.0,5.0,10.0,1.0,3.0,5.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,9.0,15.0
2026-05-14,,DAL,MIN,away,MIN,2000,5345478,Eliska Hamzova,scenario,medium,555,1.0,5.0,9.0,1.0,3.0,5.0,0.0,2.0,3.0,0.0,0.0,2.0,5.0,9.0,14.0
2026-05-14,,DAL,MIN,away,MIN,2000,5345478,Eliska Hamzova,scenario,blowout,930,0.9000000000000057,5.0,10.0,1.0,2.0,5.0,0.0,1.0,3.0,0.0,0.0,2.0,4.0,9.0,15.0
2026-05-14,,DAL,MIN,away,MIN,2000,4596309,Liatu King,scenario,close,515,0.0,4.0,9.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,8.0,13.0
2026-05-14,,DAL,MIN,away,MIN,2000,4596309,Liatu King,scenario,medium,555,0.0,4.0,8.0,1.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,8.0,13.0
2026-05-14,,DAL,MIN,away,MIN,2000,4596309,Liatu King,scenario,blowout,930,0.0,4.0,8.0,1.0,3.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,8.0,13.0
2026-05-14,,POR,NYL,home,POR,2000,5209202,Nyadiew Puoch,scenario,close,235,5.0,11.0,18.0,2.0,5.0,8.0,0.0,2.0,4.0,0.0,1.0,3.0,12.0,18.0,26.0
2026-05-14,,POR,NYL,home,POR,2000,5209202,Nyadiew Puoch,scenario,medium,335,5.0,11.0,17.0,2.0,5.0,7.0,0.0,2.0,3.0,0.0,1.0,3.0,11.0,17.0,24.0
2026-05-14,,POR,NYL,home,POR,2000,5209202,Nyadiew Puoch,scenario,blowout,1430,4.0,9.0,15.0,2.0,4.0,7.0,0.0,1.0,3.0,0.0,1.0,2.0,9.0,15.0,22.0
2026-05-14,,POR,NYL,home,POR,2000,4595910,Haley Jones,scenario,close,235,5.0,10.0,17.0,5.0,8.0,12.0,1.0,2.0,4.0,0.0,0.0,2.0,14.0,21.0,29.0
2026-05-14,,POR,NYL,home,POR,2000,4595910,Haley Jones,scenario,medium,335,4.0,9.0,16.0,5.0,8.0,12.0,0.0,2.0,4.0,0.0,0.0,2.0,13.0,20.0,27.0
2026-05-14,,POR,NYL,home,POR,2000,4595910,Haley Jones,scenario,blowout,1430,3.0,8.0,14.0,4.0,7.0,11.0,0.0,2.0,4.0,0.0,0.0,1.0,11.0,17.0,25.0
2026-05-14,,POR,NYL,home,POR,2000,3906972,Bridget Carleton,scenario,close,235,4.400000000000002,10.0,16.0,2.400000000000002,5.0,8.0,0.0,2.0,4.0,0.0,1.0,3.0,11.0,17.0,24.0
2026-05-14,,POR,NYL,home,POR,2000,3906972,Bridget Carleton,scenario,medium,335,4.0,9.0,15.0,2.0,5.0,8.0,0.0,1.0,4.0,0.0,1.0,2.0,10.0,16.0,23.600000000000023
2026-05-14,,POR,NYL,home,POR,2000,3906972,Bridget Carleton,scenario,blowout,1430,3.0,8.0,14.0,2.0,5.0,8.0,0.0,1.0,3.0,0.0,1.0,2.0,8.0,14.0,21.0
2026-05-14,,POR,NYL,home,POR,2000,5208982,Carla Leite,scenario,close,235,4.400000000000002,10.0,16.0,2.0,4.0,6.0,1.0,2.0,5.0,0.0,1.0,2.0,9.0,16.0,23.0
2026-05-14,,POR,NYL,home,POR,2000,5208982,Carla Leite,scenario,medium,335,4.0,9.0,15.600000000000023,1.0,3.0,6.0,1.0,2.0,4.0,0.0,1.0,2.0,9.0,14.0,22.0
2026-05-14,,POR,NYL,home,POR,2000,5208982,Carla Leite,scenario,blowout,1430,3.0,8.0,14.0,1.0,3.0,5.0,0.0,2.0,4.0,0.0,1.0,2.0,7.0,13.0,19.0
2026-05-14,,POR,NYL,home,POR,2000,5108051,Jordan Harrison,scenario,close,235,4.0,9.0,15.0,3.0,5.0,8.0,1.0,3.0,6.0,0.0,1.0,2.0,12.0,18.0,24.599999999999994
2026-05-14,,POR,NYL,home,POR,2000,5108051,Jordan Harrison,scenario,medium,335,2.0,7.0,13.0,2.0,5.0,8.0,1.0,3.0,5.0,0.0,0.0,1.0,10.0,15.0,22.0
2026-05-14,,POR,NYL,home,POR,2000,5108051,Jordan Harrison,scenario,blowout,1430,2.0,6.0,12.0,2.0,4.0,7.0,1.0,2.0,4.0,0.0,0.0,1.0,8.0,13.0,20.0
2026-05-14,,POR,NYL,home,POR,2000,4682797,Luisa Geiselsoder,scenario,close,235,2.400000000000002,7.0,14.0,2.0,4.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,7.0,13.0,20.0
2026-05-14,,POR,NYL,home,POR,2000,4682797,Luisa Geiselsoder,scenario,medium,335,3.0,7.0,14.0,2.0,4.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,7.0,13.0,19.0
2026-05-14,,POR,NYL,home,POR,2000,4682797,Luisa Geiselsoder,scenario,blowout,1430,2.0,6.0,12.0,2.0,4.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,6.0,11.0,18.0
2026-05-14,,POR,NYL,home,POR,2000,5108550,Serah Williams,scenario,close,235,2.0,7.0,12.0,3.400000000000002,7.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,15.0,21.0
2026-05-14,,POR,NYL,home,POR,2000,5108550,Serah Williams,scenario,medium,335,2.0,7.0,12.0,4.0,7.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,15.0,21.0
2026-05-14,,POR,NYL,home,POR,2000,5108550,Serah Williams,scenario,blowout,1430,2.0,6.0,12.0,4.0,7.0,10.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,14.0,21.0
2026-05-14,,POR,NYL,home,POR,2000,5105406,Frieda Bühner,scenario,close,235,2.0,6.0,12.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,1.0,2.0,5.400000000000002,10.0,16.0
2026-05-14,,POR,NYL,home,POR,2000,5105406,Frieda Bühner,scenario,medium,335,2.0,6.0,12.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0,10.0,17.0
2026-05-14,,POR,NYL,home,POR,2000,5105406,Frieda Bühner,scenario,blowout,1430,2.0,6.0,11.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,9.0,15.0
2026-05-14,,POR,NYL,home,POR,2000,4703794,Sarah Ashlee Barker,scenario,close,235,1.0,4.0,9.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,0.0,1.5999999999999943,5.0,10.0,15.0
2026-05-14,,POR,NYL,home,POR,2000,4703794,Sarah Ashlee Barker,scenario,medium,335,2.0,5.0,9.600000000000023,1.3999999999999986,3.0,7.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,10.0,16.0
2026-05-14,,POR,NYL,home,POR,2000,4703794,Sarah Ashlee Barker,scenario,blowout,1430,1.0,4.0,9.0,1.0,4.0,6.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,10.0,15.0
2026-05-14,,POR,NYL,home,POR,2000,4068159,Sug Sutton,scenario,close,235,2.0,5.0,10.0,1.0,2.0,4.0,0.0,2.0,3.5999999999999943,0.0,0.0,2.0,5.0,9.0,15.0
2026-05-14,,POR,NYL,home,POR,2000,4068159,Sug Sutton,scenario,medium,335,1.0,4.0,10.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,0.0,2.0,5.0,9.0,14.0
2026-05-14,,POR,NYL,home,POR,2000,4068159,Sug Sutton,scenario,blowout,1430,0.0,4.0,9.0,0.0,2.0,4.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,8.0,13.0
2026-05-14,,POR,NYL,home,POR,2000,3934218,Megan Gustafson,scenario,close,235,0.0,3.0,8.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,10.0
2026-05-14,,POR,NYL,home,POR,2000,3934218,Megan Gustafson,scenario,medium,335,0.0,3.0,7.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.3999999999999986,6.0,10.600000000000023
2026-05-14,,POR,NYL,home,POR,2000,3934218,Megan Gustafson,scenario,blowout,1430,0.0,3.0,7.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,10.0
2026-05-14,,POR,NYL,away,NYL,2000,2998928,Breanna Stewart,scenario,close,235,9.0,16.0,25.599999999999994,5.0,9.0,12.0,1.0,2.0,4.0,0.0,1.0,3.0,19.0,28.0,38.0
2026-05-14,,POR,NYL,away,NYL,2000,2998928,Breanna Stewart,scenario,medium,335,10.0,17.0,26.0,5.0,9.0,12.0,1.0,2.0,4.0,0.0,2.0,4.0,20.0,28.0,37.0
2026-05-14,,POR,NYL,away,NYL,2000,2998928,Breanna Stewart,scenario,blowout,1430,11.0,19.0,27.0,5.0,9.0,12.0,1.0,2.0,5.0,0.0,2.0,4.0,22.0,30.0,40.0
2026-05-14,,POR,NYL,away,NYL,2000,2999101,Jonquel Jones,scenario,close,235,8.0,13.0,21.599999999999994,5.0,8.0,12.0,1.0,2.0,5.0,0.0,1.0,3.0,17.0,24.0,32.599999999999994
2026-05-14,,POR,NYL,away,NYL,2000,2999101,Jonquel Jones,scenario,medium,335,7.0,14.0,22.0,5.0,9.0,13.0,1.0,2.0,4.600000000000023,0.0,1.0,3.0,17.0,25.0,35.0
2026-05-14,,POR,NYL,away,NYL,2000,2999101,Jonquel Jones,scenario,blowout,1430,9.0,16.0,24.0,6.0,9.0,13.0,1.0,2.0,5.0,0.0,2.0,3.0,19.900000000000006,28.0,36.0
2026-05-14,,POR,NYL,away,NYL,2000,4337216,Han Xu,scenario,close,235,4.0,10.0,16.0,1.0,3.0,6.0,0.0,2.0,3.0,0.0,0.0,2.0,9.0,15.0,21.0
