date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-01-11,2026-01-12T00:10:00Z,Oklahoma City Thunder,Miami Heat,-832.0,559.9090909090909,-14.0,14.0,-108.5,,233.5,-110.6,-108.2,11,11,6,5,oddsapi_consensus
2026-01-11,2026-01-12T01:10:00Z,Denver Nuggets,Milwaukee Bucks,109.72727272727273,-130.54545454545453,2.0,-2.0,-110.625,,220.5,-110.16666666666667,-108.83333333333333,11,11,8,6,oddsapi_consensus
2026-01-11,2026-01-12T01:40:00Z,Golden State Warriors,Atlanta Hawks,-223.63636363636363,184.0909090909091,-6.0,6.0,-109.11111111111111,,235.5,-110.125,-109.125,11,11,9,8,oddsapi_consensus
2026-01-11,2026-01-12T02:10:00Z,Sacramento Kings,Houston Rockets,476.27272727272725,-666.4545454545455,13.5,-13.5,-110.5,,222.5,-109.85714285714286,-109.28571428571429,11,11,10,7,oddsapi_consensus
2026-01-11,2026-01-12T00:10:00Z,Minnesota Timberwolves,San Antonio Spurs,-141.9090909090909,119.54545454545455,-2.5,2.5,-110.1,,235.0,-109.4,-109.4,11,11,10,5,oddsapi_consensus
2026-01-11,2026-01-11T20:40:00Z,Memphis Grizzlies,Brooklyn Nets,-277.27272727272725,224.0909090909091,-7.5,7.5,-109.45454545454545,,220.5,-110.0,-109.25,11,11,11,8,oddsapi_consensus
2026-01-11,2026-01-11T23:10:00Z,Toronto Raptors,Philadelphia 76ers,148.27272727272728,-176.72727272727272,4.5,-4.5,-113.0,,222.0,-109.5,-109.5,11,11,7,6,oddsapi_consensus
2026-01-11,2026-01-12T01:10:00Z,Phoenix Suns,Washington Wizards,-863.0,574.0,-14.0,14.0,-111.0,,230.0,-110.0,-110.0,11,11,7,5,oddsapi_consensus
2026-01-11,2026-01-11T20:10:00Z,Orlando Magic,New Orleans Pelicans,-254.72727272727272,207.1818181818182,-6.5,6.5,-110.18181818181819,,234.5,-108.83333333333333,-111.16666666666667,11,11,11,6,oddsapi_consensus
2026-01-11,2026-01-11T23:10:00Z,Portland Trail Blazers,New York Knicks,157.9090909090909,-188.0909090909091,4.5,-4.5,-107.8,,230.0,-109.4,-109.4,11,11,10,5,oddsapi_consensus
