date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time
2025-10-14,1641708.0,Amen Thompson,HOU,ast,OVER,5.5,175,0.36363636363636365,0.4696031965431292,0.10596683290676556,0.29140879049360535,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1626164.0,Devin Booker,PHX,ast,OVER,5.5,-160,0.6153846153846154,0.7127697802147892,0.09738516483017379,0.1582508928490325,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,1628392.0,Isaiah Hartenstein,OKC,ast,OVER,5.5,900,0.1,0.1932874498846897,0.0932874498846897,0.9328744988468971,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1626164.0,Devin Booker,PHX,ast,OVER,7.5,215,0.31746031746031744,0.4057445472656276,0.08828422980531014,0.27809532388672686,bovada,Bovada,2025-10-15T02:00:00+00:00
2025-10-14,201142.0,Kevin Durant,PHX,ast,OVER,3.5,140,0.4166666666666667,0.5007653709683859,0.08409870430171923,0.2018368903241261,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,ast,OVER,11.5,975,0.09302325581395349,0.17438521395523554,0.08136195814128205,0.874641050018782,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1630581.0,Josh Giddey,CHI,ast,OVER,3.5,-1000,0.9090909090909091,0.9881828665784947,0.07909195748758568,0.08700115323634422,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,201142.0,Kevin Durant,PHX,ast,OVER,5.5,625,0.13793103448275862,0.21241159869412096,0.07448056421136234,0.5399840905323771,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1627750.0,Jamal Murray,DEN,ast,OVER,7.5,750,0.11764705882352941,0.1909591238091246,0.0733120649855952,0.6231525523775592,bovada,Bovada,2025-10-15T01:00:00+00:00
2025-10-14,1641708.0,Amen Thompson,HOU,ast,OVER,3.5,-230,0.696969696969697,0.7653850547500792,0.06841535778038221,0.09816116551098325,bovada,Bovada,2025-10-15T00:00:00+00:00
2025-10-14,1642263.0,Reed Sheppard,HOU,ast,OVER,3.5,140,0.4166666666666667,0.4819537591122628,0.0652870924455961,0.15668902186943068,bovada,Bovada,2025-10-15T00:00:00+00:00
