date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,bookmaker,home_tri,away_tri,prob_home_tip,early_threes_expected,early_threes_prob_ge_1
2026-05-14,0401856909,Portland Fire,New York Liberty,2026-05-15T02:00:00Z,461.8045818750234,-461.8045818750232,11.5,-11.5,,,176.5,101.49669905981304,-101.49669905981304,11,oddsapi_consensus,POR,NYL,0.5,0.0,0.0
2026-05-14,0401856908,Dallas Wings,Minnesota Lynx,2026-05-15T00:00:00Z,-156.16148422167797,156.161484221678,-4.0,4.0,,,178.0,-100.17094017094018,100.17094017094016,11,oddsapi_consensus,DAL,MIN,0.5,0.0,0.0
