date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2025-11-28,Atlanta Hawks,Cleveland Cavaliers,ATL,CLE,130,123,,,7,253,,
2025-11-28,Brooklyn Nets,Philadelphia 76ers,BKN,PHI,103,115,,,-12,218,,
2025-11-28,Charlotte Hornets,Chicago Bulls,CHA,CHI,123,116,,,7,239,,
2025-11-28,Detroit Pistons,Orlando Magic,DET,ORL,109,112,,,-3,221,,
2025-11-28,Indiana Pacers,Washington Wizards,IND,WAS,119,86,,,33,205,,
2025-11-28,New York Knicks,Milwaukee Bucks,NYK,MIL,118,109,,,9,227,,
2025-11-28,Oklahoma City Thunder,Phoenix Suns,OKC,PHX,123,119,,,4,242,,
2025-11-28,Denver Nuggets,San Antonio Spurs,DEN,SAS,136,139,,,-3,275,,
2025-11-28,Utah Jazz,Sacramento Kings,UTA,SAC,128,119,,,9,247,,
2025-11-28,Los Angeles Lakers,Dallas Mavericks,LAL,DAL,129,119,,,10,248,,
2025-11-28,Los Angeles Clippers,Memphis Grizzlies,LAC,MEM,107,112,,,-5,219,,
