date,home_team,visitor_team,h1_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price
2026-02-09,Charlotte Hornets,Detroit Pistons,114.5,58.0,57.0,54.5,54.0,1.0,-105,-115,0.5,-110,-110.0,0.5,-110,-110.0,1.5,-135.0,115.0,1.5,-140.0,120.0
2026-02-09,Brooklyn Nets,Chicago Bulls,106.0,53.5,52.5,57.5,54.5,2.0,-110,-110,1.0,-110,-110.0,1.0,-110,-110.0,1.5,-115.0,-105.0,1.5,-135.0,115.0
2026-02-09,Orlando Magic,Milwaukee Bucks,113.0,57.0,55.5,54.0,51.5,-6.0,-115,-105,-3.5,-105,-115.0,-3.0,-110,-110.0,-2.5,-115.0,-105.0,-2.5,-110.0,-110.0
2026-02-09,Miami Heat,Utah Jazz,117.0,59.0,58.0,61.5,61.0,-4.0,-110,-110,-2.0,-110,-110.0,-2.0,-110,-110.0,-1.5,-120.0,,-1.5,-110.0,-110.0
2026-02-09,Minnesota Timberwolves,Atlanta Hawks,121.5,61.5,60.5,58.0,55.5,-4.5,-105,-115,-2.0,-115,-105.0,-2.0,-115,-105.0,-1.5,-120.0,,-1.5,-110.0,-110.0
2026-02-09,New Orleans Pelicans,Sacramento Kings,118.5,59.5,58.5,56.0,54.5,-4.0,-110,-110,-2.0,-110,-110.0,-2.0,-110,-110.0,-2.5,,-120.0,-1.5,,-120.0
2026-02-09,Denver Nuggets,Cleveland Cavaliers,116.0,58.5,57.0,62.5,59.5,0.5,-115,-105,0.5,-120,,0.5,-120,,-1.5,120.0,-140.0,1.5,-135.0,115.0
2026-02-09,Golden State Warriors,Memphis Grizzlies,114.0,57.5,56.0,54.0,51.5,-5.0,-110,-110,-2.5,-110,-110.0,-2.5,-110,-110.0,-2.5,-110.0,-110.0,-1.5,-115.0,-105.0
2026-02-09,Los Angeles Lakers,Oklahoma City Thunder,108.0,54.5,52.5,58.5,55.5,3.5,-110,-110,2.0,-115,-105.0,2.0,-115,-105.0,1.5,-110.0,-110.0,1.5,-110.0,-110.0
2026-02-09,Portland Trail Blazers,Philadelphia 76ers,118.0,59.5,58.5,55.0,53.5,1.5,-110,-110,0.5,-105,-115.0,0.5,-105,-115.0,1.5,-130.0,110.0,1.5,-135.0,115.0
