market,side,home,away,ev,date,edge
ML,Cleveland Cavaliers,Cleveland Cavaliers,Detroit Pistons,0.03759566484340765,2025-10-14,
ML,Houston Rockets,New Orleans Pelicans,Houston Rockets,0.07555816934337539,2025-10-14,
ATS,Houston Rockets,New Orleans Pelicans,Houston Rockets,,2025-10-14,-2.3429731518852854
ML,Milwaukee Bucks,Milwaukee Bucks,Oklahoma City Thunder,0.2746906607602495,2025-10-14,
ATS,Milwaukee Bucks,Milwaukee Bucks,Oklahoma City Thunder,,2025-10-14,4.294216949751782
TOTAL,Over,Milwaukee Bucks,Oklahoma City Thunder,,2025-10-14,3.5138834754343122
ML,Chicago Bulls,Denver Nuggets,Chicago Bulls,0.19552358575746165,2025-10-14,
ATS,Chicago Bulls,Denver Nuggets,Chicago Bulls,,2025-10-14,-4.115807408766058
ML,Portland Trail Blazers,Portland Trail Blazers,Golden State Warriors,0.027843420842736832,2025-10-14,
ATS,Portland Trail Blazers,Portland Trail Blazers,Golden State Warriors,,2025-10-14,1.4446868524152197
TOTAL,Under,Portland Trail Blazers,Golden State Warriors,,2025-10-14,-12.545835416074965
ML,Phoenix Suns,Phoenix Suns,Los Angeles Lakers,0.5365967646786041,2025-10-14,
ATS,Phoenix Suns,Phoenix Suns,Los Angeles Lakers,,2025-10-14,4.614318369900934
