market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,2026-01-04,0.0176472834614807,-110.0,0.5238095238095238,-0.9953694343566886,5.0,4.004630565643311,5.0,,Low
TOTAL,Under,Los Angeles Lakers,Memphis Grizzlies,2026-01-04,0.5273877069443995,-106.25,0.5151515151515151,-12.727859497070312,240.5,,,227.7721405029297,High
ML,Washington Wizards,Washington Wizards,Minnesota Timberwolves,2026-01-04,0.310356094962819,516.25,0.16227180527383367,,,,,,High
ATS,Washington Wizards,Washington Wizards,Minnesota Timberwolves,2026-01-04,0.037339534610492775,-110.0,0.5238095238095238,1.3070793151855487,13.5,-12.192920684814451,-13.5,,Low
TOTAL,Under,Washington Wizards,Minnesota Timberwolves,2026-01-04,0.730768475913609,-114.0,0.5327102803738317,-22.69825744628909,245.5,,,222.8017425537109,High
ML,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,2026-01-04,0.04646455796746518,305.72727272727275,0.24647098364328926,,,,,,High
ATS,Phoenix Suns,Phoenix Suns,Oklahoma City Thunder,2026-01-04,-0.007134863462693264,-109.75,0.5232419547079857,0.5870466232299805,9.5,-8.91295337677002,-9.5,,Low
TOTAL,Under,Phoenix Suns,Oklahoma City Thunder,2026-01-04,0.06539756763544391,-109.66666666666669,0.5230524642289348,-2.3043670654296875,229.5,,,227.1956329345703,Medium
ML,Sacramento Kings,Sacramento Kings,Milwaukee Bucks,2026-01-04,0.05128165687842601,201.63636363636363,0.33152501506931886,,,,,,High
ATS,Sacramento Kings,Sacramento Kings,Milwaukee Bucks,2026-01-04,0.14446657862994616,-108.4,0.5201535508637236,2.89435076713562,6.0,-3.10564923286438,-6.0,,Medium
TOTAL,Over,Sacramento Kings,Milwaukee Bucks,2026-01-04,0.05078008687359259,-109.22222222222224,0.5220392989909719,1.951919555664091,227.5,,,229.4519195556641,Low
ML,New Orleans Pelicans,Miami Heat,New Orleans Pelicans,2026-01-04,0.04926487468730156,315.0,0.24096385542168675,,,,,,High
ATS,New Orleans Pelicans,Miami Heat,New Orleans Pelicans,2026-01-04,-0.05056028881100966,-115.0,0.5348837209302325,-0.23583412170410156,9.5,9.264165878295898,9.5,,Low
TOTAL,Under,Miami Heat,New Orleans Pelicans,2026-01-04,2.4218479542651794,-41.0,0.2907801418439716,-41.21928405761719,271.5,,,230.2807159423828,High
