date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2025-12-23,Charlotte Hornets,Washington Wizards,CHA,WAS,126,109,,,17,235,,
2025-12-23,Philadelphia 76ers,Brooklyn Nets,PHI,BKN,106,114,,,-8,220,,
2025-12-23,Atlanta Hawks,Chicago Bulls,ATL,CHI,123,126,,,-3,249,,
2025-12-23,Cleveland Cavaliers,New Orleans Pelicans,CLE,NOP,141,118,,,23,259,,
2025-12-23,Indiana Pacers,Milwaukee Bucks,IND,MIL,94,111,,,-17,205,,
2025-12-23,Miami Heat,Toronto Raptors,MIA,TOR,91,112,,,-21,203,,
2025-12-23,Dallas Mavericks,Denver Nuggets,DAL,DEN,131,130,,,1,261,,
2025-12-23,Minnesota Timberwolves,New York Knicks,MIN,NYK,115,104,,,11,219,,
2025-12-23,San Antonio Spurs,Oklahoma City Thunder,SAS,OKC,130,110,,,20,240,,
2025-12-23,Phoenix Suns,Los Angeles Lakers,PHX,LAL,132,108,,,24,240,,
2025-12-23,Utah Jazz,Memphis Grizzlies,UTA,MEM,128,137,,,-9,265,,
2025-12-23,Portland Trail Blazers,Orlando Magic,POR,ORL,106,110,,,-4,216,,
2025-12-23,Sacramento Kings,Detroit Pistons,SAC,DET,127,136,,,-9,263,,
2025-12-23,Los Angeles Clippers,Houston Rockets,LAC,HOU,128,108,,,20,236,,
