player,team,plays,ladders,model
Aaron Wiggins,OKC,[],[],"{'pts': 14.725257, 'reb': 4.1102133, 'ast': 2.3714855, 'threes': 1.6805601, 'stl': 0.68323, 'blk': 0.59953964, 'tov': 1.2209407, 'pra': 21.206955}"
Ace Bailey,UTA,[],[],"{'pts': 13.436982, 'reb': 3.1188638, 'ast': 2.6060808, 'threes': 1.1421528, 'stl': 1.1894225, 'blk': 0.47414678, 'tov': 1.1872146, 'pra': 19.161926}"
Adem Bona,PHI,[],[],"{'pts': 12.022084, 'reb': 5.3346987, 'ast': 1.9722834, 'threes': 0.9672213, 'stl': 0.69678724, 'blk': 0.798127, 'tov': 1.1259365, 'pra': 19.329067}"
Al Horford,GSW,[],[],"{'pts': 11.923761, 'reb': 3.9622347, 'ast': 3.308844, 'threes': 1.1749887, 'stl': 1.2819673, 'blk': 0.66132605, 'tov': 1.2388992, 'pra': 19.19484}"
Alex Caruso,OKC,[],[],"{'pts': 8.316802, 'reb': 4.5669584, 'ast': 1.5609455, 'threes': 0.42612225, 'stl': 0.8734368, 'blk': 0.063225806, 'tov': 1.9174899, 'pra': 14.444706}"
Alijah Martin,TOR,[],[],"{'pts': 11.695557, 'reb': 4.212267, 'ast': 2.0274837, 'threes': 0.7965428, 'stl': 0.89859825, 'blk': 0.47765356, 'tov': 1.671231, 'pra': 17.935307}"
Amari Williams,BOS,[],[],"{'pts': 10.927244, 'reb': 4.189395, 'ast': 1.9872105, 'threes': 0.88707846, 'stl': 0.89256173, 'blk': 0.53321826, 'tov': 1.5725181, 'pra': 17.10385}"
Andre Drummond,PHI,[],[],"{'pts': 9.163693, 'reb': 5.6986046, 'ast': 2.0018992, 'threes': 0.5459559, 'stl': 0.91166925, 'blk': 0.821265, 'tov': 1.3762169, 'pra': 16.864197}"
Ariel Hukporti,NYK,[],[],"{'pts': 11.018346, 'reb': 4.52219, 'ast': 1.6278062, 'threes': 1.0171828, 'stl': 0.91300565, 'blk': 0.68984646, 'tov': 1.466511, 'pra': 17.168343}"
Asa Newell,ATL,[],[],"{'pts': 10.982981, 'reb': 4.5583725, 'ast': 1.7232621, 'threes': 0.6141185, 'stl': 1.1001544, 'blk': 0.26803887, 'tov': 1.8538175, 'pra': 17.264616}"
Ben Saraf,BKN,[],[],"{'pts': 11.526334, 'reb': 4.1747026, 'ast': 3.0363781, 'threes': 0.48637563, 'stl': 1.1929325, 'blk': 0.0, 'tov': 2.330979, 'pra': 18.737415}"
Blake Hinson,UTA,[],[],"{'pts': 13.430296, 'reb': 2.9545753, 'ast': 1.7161362, 'threes': 1.9596634, 'stl': 0.7124348, 'blk': 0.50833607, 'tov': 0.8710275, 'pra': 18.101007}"
Bogdan Bogdanović,LAC,[],[],"{'pts': 12.248753, 'reb': 4.1123943, 'ast': 3.0137982, 'threes': 1.1186049, 'stl': 0.7633807, 'blk': 0.35589924, 'tov': 1.5341272, 'pra': 19.374945}"
Brandin Podziemski,GSW,[],[],"{'pts': 17.557526, 'reb': 5.16142, 'ast': 2.9244013, 'threes': 2.3132002, 'stl': 0.8523575, 'blk': 0.6458099, 'tov': 1.5336996, 'pra': 25.643345}"
Brice Sensabaugh,UTA,[],[],"{'pts': 13.697673, 'reb': 4.141653, 'ast': 2.7112832, 'threes': 1.3111782, 'stl': 1.0241036, 'blk': 0.001152277, 'tov': 2.2106225, 'pra': 20.550608}"
Brook Lopez,LAC,[],[],"{'pts': 10.167947, 'reb': 4.209853, 'ast': 1.6980546, 'threes': 0.3746968, 'stl': 1.3736644, 'blk': 0.26071143, 'tov': 2.0532799, 'pra': 16.075855}"
Brooks Barnhizer,OKC,[],[],"{'pts': 11.442206, 'reb': 3.84925, 'ast': 2.0178053, 'threes': 1.2300985, 'stl': 0.80247605, 'blk': 0.5897282, 'tov': 1.1971709, 'pra': 17.309261}"
Bruce Brown,DEN,[],[],"{'pts': 8.351777, 'reb': 3.8497083, 'ast': 1.6250954, 'threes': 0.7933648, 'stl': 1.1352432, 'blk': 0.07063097, 'tov': 1.6464753, 'pra': 13.826581}"
Buddy Boeheim,OKC,[],[],"{'pts': 10.930928, 'reb': 3.467501, 'ast': 2.1097467, 'threes': 0.8184822, 'stl': 0.94882476, 'blk': 0.44289333, 'tov': 1.5061182, 'pra': 16.508175}"
Caleb Love,POR,[],[],"{'pts': 13.928559, 'reb': 3.2554042, 'ast': 3.098276, 'threes': 1.7249477, 'stl': 1.0182009, 'blk': 0.0, 'tov': 2.2434907, 'pra': 20.28224}"
Cam Christie,LAC,[],[],"{'pts': 9.989071, 'reb': 4.1889343, 'ast': 2.337156, 'threes': 0.48026484, 'stl': 0.9618385, 'blk': 0.3052212, 'tov': 1.7933958, 'pra': 16.515162}"
Cam Spencer,MEM,[],[],"{'pts': 14.08026, 'reb': 4.500579, 'ast': 4.1715374, 'threes': 1.309783, 'stl': 1.2748759, 'blk': 0.0, 'tov': 2.5744035, 'pra': 22.752377}"
Cameron Payne,PHI,[],[],"{'pts': 14.93052, 'reb': 3.291054, 'ast': 3.2670298, 'threes': 1.6435497, 'stl': 0.89783096, 'blk': 0.43593532, 'tov': 1.2885342, 'pra': 21.488605}"
Carter Bryant,SAS,[],[],"{'pts': 7.2001066, 'reb': 4.3762875, 'ast': 0.90977454, 'threes': 1.1387522, 'stl': 0.7930485, 'blk': 0.6289084, 'tov': 1.2101103, 'pra': 12.486169}"
Cason Wallace,OKC,[],[],"{'pts': 12.485253, 'reb': 3.596822, 'ast': 2.8095741, 'threes': 1.5743096, 'stl': 1.1555929, 'blk': 0.06495303, 'tov': 1.908795, 'pra': 18.89165}"
Charles Bassey,PHI,[],[],"{'pts': 11.206714, 'reb': 6.154354, 'ast': 1.3506672, 'threes': 0.8217632, 'stl': 1.0961357, 'blk': 0.69499767, 'tov': 1.8181467, 'pra': 18.711737}"
