date,game_id,home_team,visitor_team,commence_time,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,bookmaker,home_tri,away_tri,prob_home_tip,early_threes_expected,early_threes_prob_ge_1,first_basket_top5
2026-02-22,0022500826,Phoenix Suns,Portland Trail Blazers,2026-02-23T01:10:00Z,139.200098379661,-139.200098379661,3.5,-3.5,180,-245,222.5,-100.43591347517386,100.43591347517386,11,oddsapi_consensus,PHX,POR,0.5,1.339484157014723,0.7380192253245418,POR: Deni Avdija (11.1%); PHX: Devin Booker (11.0%); POR: Toumani Camara (10.9%); PHX: Dillon Brooks (10.1%); PHX: Grayson Allen (9.8%)
2026-02-22,0022500823,Los Angeles Lakers,Boston Celtics,2026-02-22T23:40:00Z,107.97678716829674,-107.97678716829674,1.5,-1.5,-115,-105,229.0,-101.55732331874736,101.5573233187474,11,oddsapi_consensus,LAL,BOS,0.5,1.231665588975701,0.7081938564021273,LAL: Luka Dončić (11.4%); BOS: Derrick White (10.9%); BOS: Jaylen Brown (10.9%); LAL: Austin Reaves (10.7%); LAL: LeBron James (10.7%)
2026-02-22,0022500824,Minnesota Timberwolves,Philadelphia 76ers,2026-02-23T00:10:00Z,-314.2403262561999,314.24032625619986,-9.5,9.5,-115,-105,239.5,100.579273590917,-100.57927359091696,11,oddsapi_consensus,MIN,PHI,0.5,1.195904510896792,0.697569721053142,PHI: Tyrese Maxey (11.6%); MIN: Anthony Edwards (10.7%); PHI: VJ Edgecombe (10.7%); MIN: Julius Randle (10.1%); PHI: Kelly Oubre Jr. (9.8%)
2026-02-22,0022500820,Golden State Warriors,Denver Nuggets,2026-02-22T20:40:00Z,223.3933637510615,-223.3933637510615,7.0,-7.0,-110,-110,227.5,100.21226915729144,-100.21226915729144,11,oddsapi_consensus,GSW,DEN,0.5,1.294194917340671,0.7258815364591702,DEN: Jamal Murray (11.8%); DEN: Nikola Jokić (11.3%); GSW: Stephen Curry (10.4%); GSW: Jimmy Butler III (10.3%); DEN: Peyton Watson (10.1%)
2026-02-22,0022500819,Milwaukee Bucks,Toronto Raptors,2026-02-22T20:40:00Z,143.69150637450494,-143.69150637450502,3.5,-3.5,175,-240,219.5,100.72490032620514,-100.72490032620514,11,oddsapi_consensus,MIL,TOR,0.5,1.1515044989918994,0.6838392521445344,TOR: Scottie Barnes (11.1%); TOR: Brandon Ingram (11.0%); MIL: Kevin Porter Jr. (10.9%); TOR: Immanuel Quickley (10.5%); MIL: Ryan Rollins (10.4%)
2026-02-22,0022500818,Atlanta Hawks,Brooklyn Nets,2026-02-22T20:40:00Z,-333.19233301576577,333.1923330157658,-9.5,9.5,-110,-110,228.0,-100.0,-100.0,11,oddsapi_consensus,ATL,BKN,0.5,1.283761422150665,0.7230065507941137,ATL: Jalen Johnson (11.8%); ATL: Dyson Daniels (11.1%); ATL: Nickeil Alexander-Walker (10.9%); BKN: Michael Porter Jr. (10.9%); ATL: Onyeka Okongwu (10.5%)
2026-02-22,0022500817,Oklahoma City Thunder,Cleveland Cavaliers,2026-02-22T18:10:00Z,176.84167174415407,-176.84167174415404,3.5,-3.5,-110,-120,240.5,-102.6260461877178,102.6260461877178,8,oddsapi_consensus,OKC,CLE,0.5,1.2693624496854186,0.7189892768458084,CLE: Donovan Mitchell (11.1%); CLE: Evan Mobley (11.0%); OKC: Shai Gilgeous-Alexander (11.0%); CLE: James Harden (10.5%); CLE: Darius Garland (10.0%)
2026-02-22,0022500822,Washington Wizards,Charlotte Hornets,2026-02-22T23:10:00Z,450.3965678820555,-450.3965678820555,11.5,-11.5,-105,-115,225.5,-100.2890674683471,100.28906746834711,11,oddsapi_consensus,WAS,CHA,0.5,1.2604848832323852,0.7164834792416697,CHA: Miles Bridges (11.0%); CHA: Kon Knueppel (11.0%); WAS: CJ McCollum (10.6%); CHA: Brandon Miller (10.5%); WAS: Kyshawn George (10.3%)
2026-02-22,0022500821,Indiana Pacers,Dallas Mavericks,2026-02-22T22:10:00Z,118.8041390805071,-118.80413908050711,2.0,-2.0,-110,-110,233.5,-101.5721211128138,101.57212111281385,11,oddsapi_consensus,IND,DAL,0.5,1.11041297030972,0.6705771088926749,DAL: Cooper Flagg (11.0%); IND: Pascal Siakam (10.9%); IND: Andrew Nembhard (10.3%); IND: Bennedict Mathurin (10.2%); DAL: Anthony Davis (10.0%)
2026-02-22,0022500825,Chicago Bulls,New York Knicks,2026-02-23T01:10:00Z,367.1755370114717,-367.1755370114717,10.0,-10.0,-115,-105,233.5,-100.62102158049991,100.62102158049991,11,oddsapi_consensus,CHI,NYK,0.5,1.2936051725617508,0.7257198288480684,NYK: Jalen Brunson (10.9%); NYK: Mikal Bridges (10.8%); NYK: OG Anunoby (10.4%); CHI: Josh Giddey (10.1%); CHI: Anfernee Simons (9.9%)
2026-02-22,0022500827,Los Angeles Clippers,Orlando Magic,2026-02-23T02:10:00Z,-117.4137651350216,117.41376513502154,-2.0,2.0,-115,-105,215.5,101.2272019202868,-101.2272019202868,11,oddsapi_consensus,LAC,ORL,0.5,1.1093507291024052,0.6702269964040726,LAC: James Harden (11.2%); ORL: Paolo Banchero (10.9%); ORL: Desmond Bane (10.7%); LAC: Kawhi Leonard (10.4%); ORL: Franz Wagner (10.0%)
