date,home_team,visitor_team,h1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price,h2_total,h2_spread,h2_home_spread_price,h2_away_spread_price
2026-01-21,Milwaukee Bucks,Oklahoma City Thunder,113.0,57.0,58.5,56.0,22.0,-115.0,-115.0,2.5,-120.0,-110.0,2.5,-120,-110,0.0,-110.0,-120.0,,,,
2026-01-21,Sacramento Kings,Toronto Raptors,111.5,55.5,58.5,,-7.0,-115.0,-115.0,-2.5,-120.0,-110.0,3.0,-120,-110,,,,,,,
