date,game_id,player_id,player_name,team_abbr,pts,reb,ast,threes,pra
2025-10-04,0012500026,1630560,Cam Thomas,BKN,8.0,2.0,4.0,0.0,14.0
2025-10-04,0012500026,1642879,Ben Saraf,BKN,9.0,0.0,6.0,1.0,15.0
2025-10-04,0012500026,1642849,Nolan Traore,BKN,7.0,2.0,2.0,1.0,11.0
2025-10-04,0012500026,1630533,Ziaire Williams,BKN,7.0,2.0,2.0,1.0,11.0
2025-10-04,0012500026,1631213,Tyrese Martin,BKN,3.0,3.0,2.0,1.0,8.0
2025-10-04,0012500026,1630549,Day'Ron Sharpe,BKN,7.0,5.0,1.0,1.0,13.0
2025-10-04,0012500026,1641730,Noah Clowney,BKN,13.0,4.0,2.0,2.0,19.0
2025-10-04,0012500026,1641723,Kobe Bufkin,BKN,8.0,4.0,1.0,2.0,13.0
2025-10-04,0012500026,1642874,Danny Wolf,BKN,5.0,5.0,5.0,0.0,15.0
2025-10-04,0012500026,1630592,Jalen Wilson,BKN,8.0,2.0,1.0,2.0,11.0
2025-10-04,0012500026,1631166,Drew Timme,BKN,4.0,5.0,1.0,0.0,10.0
2025-10-04,0012500026,1641727,Dariq Whitehead,BKN,2.0,0.0,0.0,0.0,2.0
2025-10-04,0012500026,1630623,Tyson Etienne,BKN,3.0,1.0,0.0,1.0,4.0
2025-10-04,0012500026,1630604,E.J. Liddell,BKN,0.0,1.0,0.0,0.0,1.0
2025-10-04,0012500026,196295493,Yovel Zoosman,HAP,6.0,1.0,0.0,2.0,7.0
2025-10-04,0012500026,196295491,Austin Wiley,HAP,14.0,11.0,0.0,0.0,25.0
2025-10-04,0012500026,196295482,Khadeen Carrington,HAP,13.0,2.0,2.0,0.0,17.0
2025-10-04,0012500026,196295483,Jared Harper,HAP,9.0,1.0,4.0,1.0,14.0
2025-10-04,0012500026,196295488,Roy Paretsky,HAP,2.0,2.0,0.0,0.0,4.0
2025-10-04,0012500026,196295487,Nimrod Levi,HAP,7.0,3.0,1.0,0.0,11.0
2025-10-04,0012500026,1630676,Justin Smith,HAP,16.0,7.0,2.0,0.0,25.0
2025-10-04,0012500026,196295484,Roi Huber,HAP,6.0,0.0,5.0,1.0,11.0
