player_id,player_name,team,injury_status,team_on_slate,playing_today
2544,LeBron James,LAL,DAY-TO-DAY,False,False
101108,Chris Paul,TOR,DAY-TO-DAY,True,True
200768,Kyle Lowry,PHI,NAN,False,False
200782,P.J. Tucker,NYK,,True,True
201142,Kevin Durant,HOU,DAY-TO-DAY,False,False
201143,Al Horford,GSW,DAY-TO-DAY,False,False
201144,Mike Conley,MIN,DAY-TO-DAY,True,True
201145,Jeff Green,HOU,,False,False
201566,Russell Westbrook,SAC,,False,False
201567,Kevin Love,UTA,DAY-TO-DAY,False,False
201569,Eric Gordon,PHI,OUT,False,False
201572,Brook Lopez,LAC,DAY-TO-DAY,True,True
201587,Nicolas Batum,LAC,DAY-TO-DAY,True,True
201599,DeAndre Jordan,NOP,DAY-TO-DAY,False,False
201935,James Harden,CLE,OUT,False,False
201939,Stephen Curry,GSW,OUT,False,False
201942,DeMar DeRozan,SAC,DAY-TO-DAY,False,False
201949,James Johnson,IND,,True,True
201950,Jrue Holiday,POR,DAY-TO-DAY,False,False
201959,Taj Gibson,CHA,,False,False
201988,Patty Mills,LAC,,True,True
202066,Garrett Temple,TOR,DAY-TO-DAY,True,True
202331,Paul George,PHI,DAY-TO-DAY,False,False
202681,Kyrie Irving,DAL,OUT,False,False
202684,Tristan Thompson,CLE,,False,False
202685,Jonas Valančiūnas,DEN,,False,False
202687,Bismack Biyombo,SAS,,False,False
202691,Klay Thompson,DAL,DAY-TO-DAY,False,False
202692,Alec Burks,MIA,,True,True
202693,Markieff Morris,LAL,,False,False
202695,Kawhi Leonard,LAC,DAY-TO-DAY,True,True
202696,Nikola Vučević,BOS,,True,True
202699,Tobias Harris,DET,DAY-TO-DAY,False,False
202704,Reggie Jackson,,,False,False
202709,Cory Joseph,ORL,,False,False
202710,Jimmy Butler III,GSW,OUT,False,False
203076,Anthony Davis,WAS,OUT,True,False
203078,Bradley Beal,LAC,OUT,True,False
203081,Damian Lillard,POR,OUT,False,False
203083,Andre Drummond,PHI,DAY-TO-DAY,False,False
203084,Harrison Barnes,SAS,,False,False
203109,Jae Crowder,SAC,,False,False
203110,Draymond Green,GSW,DAY-TO-DAY,False,False
203114,Khris Middleton,DAL,DAY-TO-DAY,False,False
203458,Alex Len,LAL,,False,False
203468,CJ McCollum,ATL,DAY-TO-DAY,False,False
203471,Dennis Schröder,CLE,,False,False
203482,Kelly Olynyk,SAS,DAY-TO-DAY,False,False
203484,Kentavious Caldwell-Pope,MEM,DAY-TO-DAY,False,False
203486,Mason Plumlee,CHA,,False,False
203497,Rudy Gobert,MIN,DAY-TO-DAY,True,True
203500,Steven Adams,HOU,OUT,False,False
203501,Tim Hardaway Jr.,DEN,DAY-TO-DAY,False,False
203507,Giannis Antetokounmpo,MIL,OUT,False,False
203552,Seth Curry,GSW,OUT,False,False
203897,Zach LaVine,SAC,OUT,False,False
203901,Elfrid Payton,NOP,,False,False
203903,Jordan Clarkson,NYK,,True,True
203914,Gary Harris,MIL,OUT,False,False
203915,Spencer Dinwiddie,DAL,,False,False
203924,Jerami Grant,POR,DAY-TO-DAY,False,False
203926,Doug McDermott,SAC,DAY-TO-DAY,False,False
203932,Aaron Gordon,DEN,OUT,False,False
203935,Marcus Smart,LAL,DAY-TO-DAY,False,False
203937,Kyle Anderson,MEM,DAY-TO-DAY,False,False
203939,Dwight Powell,DAL,DAY-TO-DAY,False,False
203944,Julius Randle,MIN,DAY-TO-DAY,True,True
203952,Andrew Wiggins,MIA,DAY-TO-DAY,True,True
203954,Joel Embiid,PHI,DAY-TO-DAY,False,False
203957,Danté Exum,WAS,,True,True
203967,Dario Šarić,SAC,,False,False
203991,Clint Capela,HOU,DAY-TO-DAY,False,False
203992,Bogdan Bogdanović,LAC,,True,True
203994,Jusuf Nurkić,UTA,,False,False
203995,Vasilije Micic,PHX,,False,False
203999,Nikola Jokić,DEN,,False,False
204001,Kristaps Porziņģis,GSW,,False,False
204060,Joe Ingles,MIN,DAY-TO-DAY,True,True
204456,T.J. McConnell,IND,DAY-TO-DAY,True,True
1626143,Jahlil Okafor,,,False,False
1626145,Tyus Jones,DAL,DAY-TO-DAY,False,False
1626153,Delon Wright,NYK,,True,True
1626156,D'Angelo Russell,WAS,OUT,True,False
1626157,Karl-Anthony Towns,NYK,DAY-TO-DAY,True,True
1626158,Richaun Holmes,WAS,,True,True
1626162,Kelly Oubre Jr.,PHI,DAY-TO-DAY,False,False
1626164,Devin Booker,PHX,OUT,False,False
1626166,Cameron Payne,NYK,,True,True
1626167,Myles Turner,MIL,DAY-TO-DAY,False,False
1626168,Trey Lyles,SAC,,False,False
1626171,Bobby Portis,MIL,DAY-TO-DAY,False,False
1626172,Kevon Looney,NOP,DAY-TO-DAY,False,False
1626179,Terry Rozier,MIA,OUT,True,False
1626181,Norman Powell,MIA,DAY-TO-DAY,True,True
1626192,Pat Connaughton,CHA,DAY-TO-DAY,False,False
1626196,Josh Richardson,,,False,False
1626204,Larry Nance Jr.,CLE,,False,False
1626220,Royce O'Neale,PHX,DAY-TO-DAY,False,False
1627732,Ben Simmons,LAC,,True,True
