market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Milwaukee Bucks,Milwaukee Bucks,Orlando Magic,2026-03-08,0.5083864915429834,-115.0,0.5348837209302325,10.394471168518066,6.0,4.394471168518066,-6.0,,High
TOTAL,Over,Milwaukee Bucks,Orlando Magic,2026-03-08,0.42058240820225934,-100.4343105320304,0.5010834236186349,8.939834594726562,216.5,,,225.43983459472656,High
ATS,Washington Wizards,New Orleans Pelicans,Washington Wizards,2026-03-08,0.4663642010953254,-110.0,0.5238095238095238,-8.791072130203247,11.5,2.708927869796753,11.5,,High
TOTAL,Under,New Orleans Pelicans,Washington Wizards,2026-03-08,0.817568931027167,100.32873115128174,0.4991795207073081,-21.188308715820312,244.5,,,223.3116912841797,High
ATS,Indiana Pacers,Portland Trail Blazers,Indiana Pacers,2026-03-08,0.5302687372072367,-110.0,0.5238095238095238,-10.16688084602356,8.5,-1.6668808460235596,8.5,,High
TOTAL,Under,Portland Trail Blazers,Indiana Pacers,2026-03-08,0.5636542927251392,100.15915963711603,0.499602417302799,-12.420333862304688,236.5,,,224.0796661376953,High
ATS,Dallas Mavericks,Toronto Raptors,Dallas Mavericks,2026-03-08,0.4414387617482308,-115.0,0.5348837209302325,-8.905814170837402,9.5,0.5941858291625977,9.5,,High
TOTAL,Under,Toronto Raptors,Dallas Mavericks,2026-03-08,0.38724681179120735,-100.0,0.5,-8.098358154296875,230.5,,,222.40164184570312,High
ATS,Sacramento Kings,Sacramento Kings,Chicago Bulls,2026-03-08,-0.011288200083330924,-110.0,0.5238095238095238,0.538503885269165,2.0,-1.461496114730835,-2.0,,Low
TOTAL,Under,Sacramento Kings,Chicago Bulls,2026-03-08,0.4649436644168279,-100.0,0.5,-9.924896240234403,236.0,,,226.0751037597656,High
ATS,Miami Heat,Miami Heat,Detroit Pistons,2026-03-08,0.1464715539084559,-110.0,0.5238095238095238,3.056714653968811,1.5,1.556714653968811,-1.5,,High
TOTAL,Under,Miami Heat,Detroit Pistons,2026-03-08,0.004850005269169344,-100.1819174094961,0.5004543802253726,-0.11557006835934658,231.0,,,230.88442993164065,Low
ATS,Houston Rockets,San Antonio Spurs,Houston Rockets,2026-03-08,0.5327197392731402,-105.0,0.5121951219512195,-9.472418069839478,6.0,-3.472418069839477,6.0,,High
TOTAL,Over,San Antonio Spurs,Houston Rockets,2026-03-08,0.24421885466627957,-100.0,0.5,4.976409912109347,222.5,,,227.47640991210935,High
ML,Los Angeles Lakers,Los Angeles Lakers,New York Knicks,2026-03-08,0.04937125732290737,111.30735072832611,0.4732443034060283,,,,,,High
ATS,Los Angeles Lakers,Los Angeles Lakers,New York Knicks,2026-03-08,0.27270356895528214,-105.0,0.5121951219512195,4.684571266174316,1.5,3.1845712661743164,-1.5,,High
TOTAL,Over,Los Angeles Lakers,New York Knicks,2026-03-08,0.035332268381312204,100.4903323859234,0.49877716700828356,0.657928466796875,221.5,,,222.15792846679688,Low
