date,home_tri,away_tri,home_pts,visitor_pts
2025-11-24,IND,DET,117,122
2025-11-24,TOR,CLE,110,99
2025-11-24,BKN,NYK,100,113
2025-11-24,MIA,DAL,106,102
2025-11-24,MEM,DEN,115,125
2025-11-24,MIL,POR,103,115
2025-11-24,NOP,CHI,143,130
2025-11-24,PHX,HOU,92,114
2025-11-24,GSW,UTA,134,117
2025-11-24,SAC,MIN,117,112
