date,game_id,home_team,visitor_team,tip_prob_home,tip_outcome_home,tip_brier,tip_logloss,first_basket_top1_name,first_basket_top1_prob,first_basket_actual_name,first_basket_hit_top1,first_basket_hit_top5,first_basket_prob_actual,early_threes_expected,early_threes_prob_ge_1,early_threes_actual,early_threes_error,early_threes_brier_ge1
2026-02-09,0022500761,CHA,DET,0.558675234584189,0.0,0.3121180177376986,0.8179742450521398,Cade Cunningham,0.1343547714771614,Robinson,False,True,0.0944340605350909,2.1839745661722283,0.8874068687165457,4,1.8160254338277717,0.012677213212213169
2026-02-09,0022500762,BKN,CHI,0.528914526862897,0.0,0.27975057672660214,0.7527157298010346,Michael Porter Jr.,0.1189055829265379,Buzelis,False,False,,2.30578968875641,0.9003199466525871,4,1.69421031124359,0.009936113035343086
2026-02-09,0022500763,MIA,UTA,0.4989468252310973,0.0,0.24894793440819116,0.6910430462661543,Lauri Markkanen,0.1249865646426592,Jackson Jr.,False,False,,2.1987570418758207,0.8890590323239342,6,3.8012429581241793,0.012307898308901867
2026-02-09,0022500764,ORL,MIL,0.528914526862897,1.0,0.22192152300080822,0.6369284351068337,Paolo Banchero,0.1151577826234451,Green,False,False,0.092042493443078,2.150180488218012,0.8835368643473865,5,2.849819511781988,0.013563661966039043
2026-02-09,0022500765,MIN,ATL,0.5880202757439793,1.0,0.16972729319806684,0.530993849120232,Jalen Johnson,0.1162458732071424,Edwards,False,True,0.1144994074037025,2.252854080423778,0.8949011644305592,5,2.747145919576222,0.01104576523805235
2026-02-09,0022500766,NOP,SAC,0.528914526862897,0.0,0.27975057672660214,0.7527157298010346,Keegan Murray,0.1276137353740976,DeRozan,False,True,0.1091505086805202,2.01370016003593,0.8665061887689086,1,-1.0137001600359299,0.01782059763700226
2026-02-09,0022500767,DEN,CLE,0.528914526862897,1.0,0.22192152300080822,0.6369284351068337,Jamal Murray,0.1206050078390807,Allen,False,False,,2.231494168315562,0.8926321154665913,6,3.768505831684438,0.011527862629179389
2026-02-09,0022500768,GSW,MEM,0.5139432076643498,1.0,0.23625120537562141,0.6656425105569335,Stephen Curry,0.1194133947191957,Coward,False,False,,2.3588313363679605,0.9054693668192186,6,3.6411686636320395,0.008936040609559442
2026-02-09,0022500769,LAL,OKC,0.5139432076643498,1.0,0.23625120537562141,0.6656425105569335,Luka Dončić,0.1267267010698763,Wallace,False,False,0.0784649423157335,2.150842293362931,0.883613914750766,4,1.8491577066370688,0.013545720839641963
2026-02-09,0022500770,POR,PHI,0.558675234584189,1.0,0.1947675485693206,0.5821869503579392,Tyrese Maxey,0.1347782966742949,Avdija,False,True,0.1110685525394819,2.264825207059146,0.8961518151158869,7,4.735174792940854,0.01078444550372493
2026-02-09,0022500761,CHA,DET,0.558675234584189,0.0,0.3121180177376986,0.8179742450521398,Cade Cunningham,0.1343547714771614,Robinson,False,True,0.0944340605350909,2.1839745661722283,0.8874068687165457,4,1.8160254338277717,0.012677213212213169
2026-02-09,0022500762,BKN,CHI,0.528914526862897,0.0,0.27975057672660214,0.7527157298010346,Michael Porter Jr.,0.1189055829265379,Buzelis,False,False,,2.30578968875641,0.9003199466525871,4,1.69421031124359,0.009936113035343086
2026-02-09,0022500763,MIA,UTA,0.4989468252310973,0.0,0.24894793440819116,0.6910430462661543,Lauri Markkanen,0.1249865646426592,Jackson Jr.,False,False,,2.1987570418758207,0.8890590323239342,6,3.8012429581241793,0.012307898308901867
2026-02-09,0022500764,ORL,MIL,0.528914526862897,1.0,0.22192152300080822,0.6369284351068337,Paolo Banchero,0.1151577826234451,Green,False,False,0.092042493443078,2.150180488218012,0.8835368643473865,5,2.849819511781988,0.013563661966039043
2026-02-09,0022500765,MIN,ATL,0.5880202757439793,1.0,0.16972729319806684,0.530993849120232,Jalen Johnson,0.1162458732071424,Edwards,False,True,0.1144994074037025,2.252854080423778,0.8949011644305592,5,2.747145919576222,0.01104576523805235
2026-02-09,0022500766,NOP,SAC,0.528914526862897,0.0,0.27975057672660214,0.7527157298010346,Keegan Murray,0.1276137353740976,DeRozan,False,True,0.1091505086805202,2.01370016003593,0.8665061887689086,1,-1.0137001600359299,0.01782059763700226
2026-02-09,0022500767,DEN,CLE,0.528914526862897,1.0,0.22192152300080822,0.6369284351068337,Jamal Murray,0.1206050078390807,Allen,False,False,,2.231494168315562,0.8926321154665913,6,3.768505831684438,0.011527862629179389
2026-02-09,0022500768,GSW,MEM,0.5139432076643498,1.0,0.23625120537562141,0.6656425105569335,Stephen Curry,0.1194133947191957,Coward,False,False,,2.3588313363679605,0.9054693668192186,6,3.6411686636320395,0.008936040609559442
2026-02-09,0022500769,LAL,OKC,0.5139432076643498,1.0,0.23625120537562141,0.6656425105569335,Luka Dončić,0.1267267010698763,Wallace,False,False,0.0784649423157335,2.150842293362931,0.883613914750766,4,1.8491577066370688,0.013545720839641963
2026-02-09,0022500770,POR,PHI,0.558675234584189,1.0,0.1947675485693206,0.5821869503579392,Tyrese Maxey,0.1347782966742949,Avdija,False,True,0.1110685525394819,2.264825207059146,0.8961518151158869,7,4.735174792940854,0.01078444550372493
