market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Portland Trail Blazers,Portland Trail Blazers,Detroit Pistons,2025-12-22,0.8738365900302427,200.63636363636363,0.33262775929845784,,,,,,High
ATS,Portland Trail Blazers,Portland Trail Blazers,Detroit Pistons,2025-12-22,,,,7.398986339569092,6.0,1.3989863395690918,-6.0,,High
TOTAL,Under,Portland Trail Blazers,Detroit Pistons,2025-12-22,,,,-6.9902801513671875,234.5,,,227.5097198486328,High
ML,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,2025-12-22,1.0605664835197588,758.6363636363636,0.11646373742721017,,,,,,High
ATS,Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,2025-12-22,,,,-5.331088066101074,15.5,10.168911933898926,15.5,,High
TOTAL,Over,Oklahoma City Thunder,Memphis Grizzlies,2025-12-22,,,,2.482421875,229.5,,,231.982421875,Medium
ML,Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,2025-12-22,1.8465122184797524,-28.375,0.22103213242453748,,,,,,High
ATS,Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,2025-12-22,,,,-2.753352642059326,1.0,-1.7533526420593262,1.0,,Medium
TOTAL,Under,New Orleans Pelicans,Dallas Mavericks,2025-12-22,,,,-15.118515014648409,241.0,,,225.8814849853516,High
ML,Utah Jazz,Denver Nuggets,Utah Jazz,2025-12-22,0.5620570774406062,575.0,0.14814814814814814,,,,,,High
ATS,Utah Jazz,Denver Nuggets,Utah Jazz,2025-12-22,,,,-2.7128047943115234,13.5,10.787195205688477,13.5,,Medium
TOTAL,Under,Denver Nuggets,Utah Jazz,2025-12-22,,,,-12.161041259765597,248.5,,,236.3389587402344,High
ML,Orlando Magic,Golden State Warriors,Orlando Magic,2025-12-22,0.018750073661901845,185.54545454545453,0.35020694046482015,,,,,,Low
ATS,Orlando Magic,Golden State Warriors,Orlando Magic,2025-12-22,,,,-2.896233081817627,5.5,2.603766918182373,5.5,,Medium
TOTAL,Under,Golden State Warriors,Orlando Magic,2025-12-22,,,,-7.60333251953125,228.0,,,220.39666748046875,High
ML,Cleveland Cavaliers,Cleveland Cavaliers,Charlotte Hornets,2025-12-22,0.029731993634195153,-401.3636363636364,0.800543970988214,,,,,,Medium
ATS,Cleveland Cavaliers,Cleveland Cavaliers,Charlotte Hornets,2025-12-22,,,,6.218239784240724,-9.0,15.218239784240724,9.0,,High
TOTAL,Under,Cleveland Cavaliers,Charlotte Hornets,2025-12-22,,,,-13.224273681640653,238.5,,,225.27572631835935,High
ML,Indiana Pacers,Boston Celtics,Indiana Pacers,2025-12-22,0.5859788184674537,355.27272727272725,0.2196485623003195,,,,,,High
ATS,Indiana Pacers,Boston Celtics,Indiana Pacers,2025-12-22,,,,-6.8840882778167725,10.0,3.1159117221832275,10.0,,High
TOTAL,Under,Boston Celtics,Indiana Pacers,2025-12-22,,,,-3.0582427978515625,224.5,,,221.44175720214844,Medium
