player,team,plays,ladders,model
Kon Knueppel,CHA,[],[],"{'pts': 13.29873655218827, 'reb': 3.1506555375972165, 'ast': 3.109584300440837, 'threes': 2.758945083618164, 'pra': 18.374064925731822}"
Lachlan Olbrich,CHI,[],[],"{'pts': 10.494741439819336, 'reb': 4.952267646789551, 'ast': 2.482861042022705, 'threes': 0.6979259252548218, 'pra': 18.08913230895996}"
Mark Sears,MIL,[],[],"{'pts': 13.4551362991333, 'reb': 4.278464794158936, 'ast': 2.469645023345948, 'threes': 1.3937931060791016, 'pra': 20.36250686645508}"
Maxime Raynaud,SAC,[],[],"{'pts': 14.757565749870553, 'reb': 8.404945373535156, 'ast': 1.7920371294021606, 'threes': 0.5029792668563979, 'pra': 26.209719249180385}"
Micah Peavy,NOP,[],[],"{'pts': 8.88025951385498, 'reb': 4.007174968719482, 'ast': 1.4292546510696411, 'threes': 1.0967978239059448, 'pra': 14.475951194763184}"
Miles Kelly,DAL,[],[],"{'pts': 10.989548683166504, 'reb': 4.79226541519165, 'ast': 2.291128873825073, 'threes': 0.8448363542556763, 'pra': 18.23220443725586}"
Mohamed Diawara,NYK,[],[],"{'pts': 12.50617504119873, 'reb': 3.8556466102600098, 'ast': 2.0399227142333984, 'threes': 1.592897891998291, 'pra': 18.561004638671875}"
Moussa Cisse,DAL,[],[],"{'pts': 9.974298477172852, 'reb': 5.262340545654297, 'ast': 2.3312642574310303, 'threes': 0.551937997341156, 'pra': 17.72716522216797}"
Myron Gardner,MIA,[],[],"{'pts': 11.975708961486816, 'reb': 4.222537994384766, 'ast': 2.4643828868865967, 'threes': 0.9490703344345092, 'pra': 18.82189178466797}"
Nigel Hayes-Davis,PHX,[],[],"{'pts': 11.482707977294922, 'reb': 4.653504371643066, 'ast': 2.2288384437561035, 'threes': 0.8280355930328369, 'pra': 18.52431297302246}"
Noah Penda,ORL,[],[],"{'pts': 10.341753959655762, 'reb': 5.873870849609375, 'ast': 1.6234055757522583, 'threes': 1.5333948135375977, 'pra': 17.998291015625}"
Nolan Traore,BKN,[],[],"{'pts': 12.765008926391602, 'reb': 4.09369707107544, 'ast': 2.9413020610809326, 'threes': 1.3702348470687866, 'pra': 19.95927047729492}"
Ryan Kalkbrenner,CHA,[],[],"{'pts': 10.497757658555829, 'reb': 5.81951379776001, 'ast': 1.9774464468217328, 'threes': 0.381720333671524, 'pra': 17.595047537575166}"
Ryan Nembhard,DAL,[],[],"{'pts': 12.43494987487793, 'reb': 3.491986989974976, 'ast': 5.011989116668701, 'threes': 1.8521032333374023, 'pra': 21.09818649291992}"
Saddiq Bey,NOP,[],[],"{'pts': 16.94778833891216, 'reb': 5.462965384773586, 'ast': 1.299293814723156, 'threes': 1.1425871088896673, 'pra': 23.11395323205776}"
