player_id,player_name,team_ls,team_box,team_on_slate,injury_status,match
1630173,Precious Achiuwa,NYK,,True,,False
203500,Steven Adams,HOU,,False,,False
1628389,Bam Adebayo,MIA,,False,,False
1630534,Ochai Agbaji,TOR,TOR,True,,True
1630583,Santi Aldama,MEM,,False,,False
1641725,Trey Alexander,NOP,DEN,True,,False
1629638,Nickeil Alexander-Walker,ATL,MIN,True,,False
1628960,Grayson Allen,PHX,,False,,False
1628386,Jarrett Allen,CLE,CLE,True,,True
1630631,Jose Alvarado,NOP,NOP,True,,True
203937,Kyle Anderson,UTA,,False,,False
203507,Giannis Antetokounmpo,MIL,,False,,False
1630175,Cole Anthony,MIL,ORL,False,,False
1628384,OG Anunoby,NYK,NYK,True,,True
1642379,Taran Armstrong,GSW,,False,,False
1630166,Deni Avdija,POR,POR,True,,True
1629028,Deandre Ayton,LAL,POR,True,,False
1630542,Marcus Bagley,,,False,,False
1628963,Marvin Bagley III,WAS,,False,,False
1631116,Patrick Baldwin Jr.,LAC,,False,,False
1630163,LaMelo Ball,CHA,CHA,True,,True
1628366,Lonzo Ball,CLE,,True,,False
1628964,Mo Bamba,,,False,,False
1631094,Paolo Banchero,ORL,,True,,False
1630217,Desmond Bane,ORL,,True,,False
1630625,Dalano Banton,POR,POR,True,,True
1631230,Dominick Barlow,PHI,,False,,False
203084,Harrison Barnes,SAS,,False,,False
1630567,Scottie Barnes,TOR,,True,,False
1629628,RJ Barrett,TOR,TOR,True,,True
1629646,Charles Bassey,SAS,,False,,False
1641734,Emoni Bates,CLE,,True,,False
1642419,Jamison Battle,TOR,TOR,True,,True
201587,Nicolas Batum,LAC,,False,,False
1641878,Damion Baugh,CHA,,True,,False
203078,Bradley Beal,LAC,,False,,False
1627736,Malik Beasley,DET,DET,True,,True
1630699,MarJon Beauchamp,NYK,,True,,False
1641736,Reece Beekman,BKN,,True,,False
1629048,Goga Bitadze,ORL,ORL,True,,True
202687,Bismack Biyombo,SAS,,False,,False
1641710,Anthony Black,ORL,ORL,True,,True
203992,Bogdan Bogdanović,LAC,,False,,False
1629626,Bol Bol,PHX,,False,,False
1641737,Adem Bona,PHI,,False,,False
1626164,Devin Booker,PHX,,False,,False
1630527,Brandon Boston,NOP,NOP,True,,True
1628449,Chris Boucher,BOS,TOR,True,,False
1631123,Jamaree Bouyea,MIL,,False,,False
1628396,Tony Bradley,IND,,True,,False
1631103,Malaki Branham,WAS,,False,,False
1631128,Christian Braun,DEN,DEN,True,,True
1641779,Jalen Bridges,PHX,,False,,False
1628969,Mikal Bridges,NYK,NYK,True,,True
1628970,Miles Bridges,CHA,CHA,True,,True
1629052,Oshae Brissett,,,False,,False
1627763,Malcolm Brogdon,WAS,,False,,False
1628415,Dillon Brooks,PHX,,False,,False
1631232,Keion Brooks Jr.,NOP,,True,,False
1628971,Bruce Brown,DEN,,True,,False
1627759,Jaylen Brown,BOS,BOS,True,,True
1641738,Kobe Brown,LAC,,False,,False
1629650,Moses Brown,,,False,,False
1628973,Jalen Brunson,NYK,NYK,True,,True
1628418,Thomas Bryant,CLE,,True,,False
1641723,Kobe Bufkin,ATL,ATL,True,,True
202692,Alec Burks,MIA,,False,,False
1630215,Jared Butler,PHI,,False,,False
202710,Jimmy Butler III,GSW,,False,,False
1641824,Matas Buzelis,CHI,CHI,True,,True
1631288,Jamal Cain,ORL,NOP,True,,False
203484,Kentavious Caldwell-Pope,MEM,ORL,False,,False
1641739,Toumani Camara,POR,POR,True,,True
203991,Clint Capela,HOU,ATL,False,,False
1642382,Branden Carlson,OKC,,True,,False
1642267,Bub Carrington,WAS,,False,,False
1642269,Devin Carter,SAC,,True,,False
1628975,Jevon Carter,CHI,CHI,True,,True
1628976,Wendell Carter Jr.,ORL,ORL,True,,True
1630618,D.J. Carton,,TOR,False,,False
1627936,Alex Caruso,OKC,OKC,True,,True
