date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90
2026-03-26,,CHA,NYK,home,CHA,2000,1630544,Tre Mann,quarter,q1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630544,Tre Mann,quarter,q2,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630544,Tre Mann,quarter,q3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630544,Tre Mann,quarter,q4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641810,Antonio Reeves,quarter,q1,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641810,Antonio Reeves,quarter,q2,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641810,Antonio Reeves,quarter,q3,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641810,Antonio Reeves,quarter,q4,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630214,Xavier Tillman,quarter,q1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630214,Xavier Tillman,quarter,q2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630214,Xavier Tillman,quarter,q3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1630214,Xavier Tillman,quarter,q4,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641790,PJ Hall,quarter,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641790,PJ Hall,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641790,PJ Hall,quarter,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641790,PJ Hall,quarter,q4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1642275,Tidjane Salaün,quarter,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1642275,Tidjane Salaün,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1642275,Tidjane Salaün,quarter,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1642275,Tidjane Salaün,quarter,q4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641809,Drew Peterson,quarter,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641809,Drew Peterson,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641809,Drew Peterson,quarter,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641809,Drew Peterson,quarter,q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641787,Tosan Evbuomwan,quarter,q1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641787,Tosan Evbuomwan,quarter,q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641787,Tosan Evbuomwan,quarter,q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,home,CHA,2000,1641787,Tosan Evbuomwan,quarter,q4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628384,OG Anunoby,quarter,q1,0.0,4.0,9.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628384,OG Anunoby,quarter,q2,0.0,5.0,9.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628384,OG Anunoby,quarter,q3,0.0,4.0,9.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628384,OG Anunoby,quarter,q4,0.0,4.0,9.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1626157,Karl-Anthony Towns,quarter,q1,0.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1626157,Karl-Anthony Towns,quarter,q2,0.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1626157,Karl-Anthony Towns,quarter,q3,0.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1626157,Karl-Anthony Towns,quarter,q4,0.0,4.0,8.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628973,Jalen Brunson,quarter,q1,0.0,4.0,8.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628973,Jalen Brunson,quarter,q2,0.0,4.0,8.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628973,Jalen Brunson,quarter,q3,0.0,3.0,8.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628973,Jalen Brunson,quarter,q4,0.0,3.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642885,Mohamed Diawara,quarter,q1,0.0,3.0,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642885,Mohamed Diawara,quarter,q2,0.0,3.0,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642885,Mohamed Diawara,quarter,q3,0.0,3.0,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
2026-03-26,,CHA,NYK,away,NYK,2000,1642885,Mohamed Diawara,quarter,q4,0.0,3.0,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628969,Mikal Bridges,quarter,q1,0.0,3.0,7.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628969,Mikal Bridges,quarter,q2,0.0,3.0,7.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0
2026-03-26,,CHA,NYK,away,NYK,2000,1628969,Mikal Bridges,quarter,q3,0.0,3.0,7.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0
