player,team,plays,ladders,model
AJ Green,MIL,[],[],"{'pts': 10.429, 'reb': 2.1503701, 'ast': 1.2701156, 'threes': 2.1566417, 'pra': 14.560626}"
Aaron Nesmith,IND,[],[],"{'pts': 10.200853, 'reb': 3.6709242, 'ast': 1.4513248, 'threes': 1.5341688, 'pra': 16.034245}"
Al Horford,GSW,[],[],"{'pts': 11.029501, 'reb': 4.113964, 'ast': 1.9642248, 'threes': 1.4454856, 'pra': 17.81883}"
Alex Sarr,WAS,[],[],"{'pts': 16.747349, 'reb': 7.2750897, 'ast': 3.789168, 'threes': 1.164026, 'pra': 28.522749}"
Alperen Sengun,HOU,[],[],"{'pts': 21.019287, 'reb': 6.234203, 'ast': 5.974694, 'threes': 1.7519826, 'pra': 33.939323}"
Amen Thompson,HOU,[],[],"{'pts': 16.78759, 'reb': 5.40848, 'ast': 4.738613, 'threes': 1.3962948, 'pra': 27.645824}"
Anthony Black,ORL,[],[],"{'pts': 13.495779, 'reb': 3.886382, 'ast': 1.2243576, 'threes': 2.2674012, 'pra': 19.31766}"
Ausar Thompson,DET,[],[],"{'pts': 16.761774, 'reb': 7.1962814, 'ast': 3.924306, 'threes': 1.128547, 'pra': 28.593502}"
Ben Sheppard,IND,[],[],"{'pts': 8.114695, 'reb': 5.8261123, 'ast': 2.0911334, 'threes': 0.5984945, 'pra': 16.743082}"
Bobby Portis,MIL,[],[],"{'pts': 13.327586, 'reb': 5.6990976, 'ast': 1.9502006, 'threes': 1.5337036, 'pra': 21.688025}"
Brandin Podziemski,GSW,[],[],"{'pts': 12.225406, 'reb': 4.0876217, 'ast': 3.4679844, 'threes': 1.2604119, 'pra': 20.492153}"
Buddy Hield,GSW,[],[],"{'pts': 11.750804, 'reb': 4.09226, 'ast': 1.9758513, 'threes': 1.6194645, 'pra': 18.530056}"
CJ McCollum,WAS,[],[],"{'pts': 13.28069, 'reb': 4.3154783, 'ast': 3.14011, 'threes': 2.0169652, 'pra': 21.44742}"
Cade Cunningham,DET,[],[],"{'pts': 22.377476, 'reb': 5.117659, 'ast': 6.591641, 'threes': 2.1598003, 'pra': 34.79791}"
Cam Whitmore,WAS,[],[],"{'pts': 13.0606575, 'reb': 4.94032, 'ast': 2.6244738, 'threes': 0.96813107, 'pra': 21.336592}"
Cole Anthony,MIL,[],[],"{'pts': 14.182488, 'reb': 5.008732, 'ast': 4.93779, 'threes': 1.4400413, 'pra': 24.84015}"
Collin Sexton,CHA,[],[],"{'pts': 19.398037, 'reb': 4.386848, 'ast': 4.2035036, 'threes': 2.200446, 'pra': 28.699532}"
Cooper Flagg,DAL,[],[],"{'pts': 12.971698, 'reb': 5.20155, 'ast': 3.3070421, 'threes': 0.8077712, 'pra': 22.191431}"
Corey Kispert,WAS,[],[],"{'pts': 10.839186, 'reb': 4.4306617, 'ast': 2.6153572, 'threes': 0.9847405, 'pra': 18.596344}"
D'Angelo Russell,DAL,[],[],"{'pts': 16.55772, 'reb': 4.6301117, 'ast': 5.2815456, 'threes': 1.6441923, 'pra': 27.180521}"
DeMar DeRozan,SAC,[],[],"{'pts': 15.033981, 'reb': 4.55387, 'ast': 3.8148746, 'threes': 1.0236329, 'pra': 24.113865}"
Derrick White,BOS,[],[],"{'pts': 14.007213, 'reb': 3.5827794, 'ast': 3.8059702, 'threes': 1.8913559, 'pra': 22.107101}"
Desmond Bane,ORL,[],[],"{'pts': 16.230387, 'reb': 4.4585094, 'ast': 3.1899142, 'threes': 1.4924369, 'pra': 24.58995}"
Donte DiVincenzo,MIN,[],[],"{'pts': 15.022118, 'reb': 2.874732, 'ast': 3.630703, 'threes': 2.438265, 'pra': 22.238695}"
Draymond Green,GSW,[],[],"{'pts': 12.034016, 'reb': 4.491293, 'ast': 4.890746, 'threes': 1.8306018, 'pra': 22.127195}"
Franz Wagner,ORL,[],[],"{'pts': 15.920675, 'reb': 4.9408145, 'ast': 2.1685605, 'threes': 1.8518795, 'pra': 23.741192}"
Gary Trent Jr.,MIL,[],[],"{'pts': 12.971783, 'reb': 2.5890813, 'ast': 2.908494, 'threes': 2.0058072, 'pra': 19.1805}"
Giannis Antetokounmpo,MIL,[],[],"{'pts': 29.399559, 'reb': 10.44342, 'ast': 6.0662913, 'threes': 1.7732593, 'pra': 46.62041}"
