date,home_tri,away_tri,home_pts,visitor_pts
2026-01-29,PHI,SAC,113,111
2026-01-29,WAS,MIL,109,99
2026-01-29,CHI,MIA,113,116
2026-01-29,ATL,HOU,86,104
2026-01-29,DAL,CHA,121,123
2026-01-29,DEN,BKN,107,103
2026-01-29,PHX,DET,114,96
2026-01-29,MIN,OKC,123,111
