event_id,commence_time,home_team,away_team,has_odds
e735f6e9e8e98e8b92c380f09760ec3f,2026-03-10T23:10:00Z,Philadelphia 76ers,Memphis Grizzlies,True
abc7626b6e289bd9003f66cd3df84349,2026-03-10T23:40:00Z,Atlanta Hawks,Dallas Mavericks,True
9421796c001c679383541d472b15be1f,2026-03-10T23:40:00Z,Brooklyn Nets,Detroit Pistons,True
565b25ab007865785e752c67dfb61e99,2026-03-10T23:40:00Z,Miami Heat,Washington Wizards,True
e989d01a7b748cf7e0c892b5259ea99d,2026-03-11T00:10:00Z,San Antonio Spurs,Boston Celtics,True
f9792224d24b63aa28a24224ea099225,2026-03-11T00:10:00Z,Houston Rockets,Toronto Raptors,True
133cc0d0b8283948b909c38cc93d2d62,2026-03-11T00:10:00Z,Milwaukee Bucks,Phoenix Suns,True
25729251b2eb774717c748181096b0be,2026-03-11T02:10:00Z,Portland Trail Blazers,Charlotte Hornets,True
c248f3294c1e35f27919ab0f49322752,2026-03-11T02:10:00Z,Golden State Warriors,Chicago Bulls,True
eacde0007a133dae3e1eee3630c04a60,2026-03-11T02:10:00Z,Sacramento Kings,Indiana Pacers,True
4df738bb19716e5b1ea6f389fa1fd60d,2026-03-11T03:10:00Z,Los Angeles Lakers,Minnesota Timberwolves,True
