date,game_id,player_id,player_name,team_abbr,pts,reb,ast,threes,stl,blk,tov,pra
2026-04-15,0052500101,1626162,Kelly Oubre Jr.,PHI,19.0,3.0,1.0,5.0,1.0,0.0,2.0,23.0
2026-04-15,0052500101,202331,Paul George,PHI,16.0,5.0,5.0,1.0,2.0,0.0,0.0,26.0
2026-04-15,0052500101,1641737,Adem Bona,PHI,2.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0
2026-04-15,0052500101,1642845,VJ Edgecombe,PHI,19.0,11.0,1.0,1.0,1.0,0.0,4.0,31.0
2026-04-15,0052500101,1630178,Tyrese Maxey,PHI,31.0,2.0,6.0,3.0,1.0,1.0,3.0,39.0
2026-04-15,0052500101,203083,Andre Drummond,PHI,14.0,10.0,2.0,2.0,3.0,3.0,0.0,26.0
2026-04-15,0052500101,1629656,Quentin Grimes,PHI,4.0,4.0,2.0,0.0,0.0,1.0,0.0,10.0
2026-04-15,0052500101,1631230,Dominick Barlow,PHI,4.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0
2026-04-15,0052500101,1630532,Franz Wagner,ORL,12.0,4.0,3.0,0.0,0.0,0.0,0.0,19.0
2026-04-15,0052500101,1631094,Paolo Banchero,ORL,18.0,5.0,4.0,0.0,0.0,1.0,6.0,27.0
2026-04-15,0052500101,1628976,Wendell Carter Jr.,ORL,5.0,11.0,1.0,0.0,1.0,2.0,0.0,17.0
2026-04-15,0052500101,1630217,Desmond Bane,ORL,34.0,3.0,3.0,4.0,0.0,1.0,5.0,40.0
2026-04-15,0052500101,1630591,Jalen Suggs,ORL,4.0,6.0,4.0,1.0,3.0,0.0,1.0,14.0
2026-04-15,0052500101,1631288,Jamal Cain,ORL,5.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0
2026-04-15,0052500101,1641783,Tristan da Silva,ORL,4.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0
2026-04-15,0052500101,1641710,Anthony Black,ORL,13.0,6.0,3.0,1.0,0.0,0.0,1.0,22.0
2026-04-15,0052500101,1629048,Goga Bitadze,ORL,2.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0
2026-04-15,0052500131,202695,Kawhi Leonard,LAC,21.0,7.0,3.0,1.0,0.0,0.0,5.0,31.0
2026-04-15,0052500131,1627884,Derrick Jones Jr.,LAC,13.0,2.0,1.0,1.0,3.0,1.0,0.0,16.0
2026-04-15,0052500131,201572,Brook Lopez,LAC,17.0,5.0,1.0,1.0,2.0,1.0,0.0,23.0
2026-04-15,0052500131,1627739,Kris Dunn,LAC,7.0,3.0,10.0,1.0,3.0,0.0,1.0,20.0
2026-04-15,0052500131,1629636,Darius Garland,LAC,21.0,5.0,8.0,2.0,1.0,0.0,2.0,34.0
2026-04-15,0052500131,1628381,John Collins,LAC,11.0,9.0,0.0,1.0,2.0,1.0,3.0,20.0
2026-04-15,0052500131,1631097,Bennedict Mathurin,LAC,23.0,3.0,2.0,5.0,3.0,0.0,4.0,28.0
2026-04-15,0052500131,1641757,Jordan Miller,LAC,5.0,2.0,2.0,1.0,1.0,0.0,1.0,9.0
2026-04-15,0052500131,1642920,Kobe Sanders,LAC,3.0,0.0,3.0,1.0,0.0,0.0,1.0,6.0
2026-04-15,0052500131,1630611,Gui Santos,GSW,20.0,6.0,5.0,2.0,1.0,0.0,5.0,31.0
2026-04-15,0052500131,203110,Draymond Green,GSW,7.0,6.0,9.0,1.0,4.0,0.0,3.0,22.0
2026-04-15,0052500131,204001,Kristaps Porziņģis,GSW,20.0,5.0,5.0,3.0,1.0,2.0,1.0,30.0
2026-04-15,0052500131,1641764,Brandin Podziemski,GSW,17.0,7.0,2.0,2.0,1.0,1.0,4.0,26.0
2026-04-15,0052500131,201939,Stephen Curry,GSW,35.0,1.0,4.0,7.0,1.0,0.0,3.0,40.0
2026-04-15,0052500131,1627780,Gary Payton II,GSW,6.0,3.0,1.0,0.0,2.0,0.0,0.0,10.0
2026-04-15,0052500131,1629001,De'Anthony Melton,GSW,7.0,5.0,3.0,0.0,2.0,0.0,2.0,15.0
2026-04-15,0052500131,201143,Al Horford,GSW,14.0,3.0,0.0,4.0,0.0,0.0,2.0,17.0
