date,home_team,visitor_team,h1_total,q2_total,q3_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q3_away_spread_price,q1_total,q1_spread,q1_home_spread_price,q1_away_spread_price,q4_total,q4_spread,q4_home_spread_price,q4_away_spread_price
2026-03-31,Orlando Magic,Phoenix Suns,118.0,69.0,55.0,-8.0,-115,-115,-1.0,-115,-115.0,1.5,-120.0,-110.0,,,,,,,,
2026-03-31,Brooklyn Nets,Charlotte Hornets,101.0,52.5,,17.5,-110,-120,5.0,-120,-110.0,,,,48.0,13.0,-115.0,-115.0,,,,
2026-03-31,Milwaukee Bucks,Dallas Mavericks,119.0,59.0,56.5,1.5,-110,-110,0.5,-105,-115.0,-1.5,125.0,-145.0,60.0,1.0,-115.0,-105.0,55.5,1.5,-130.0,110.0
2026-03-31,Houston Rockets,New York Knicks,112.5,55.5,53.5,0.5,-115,-105,0.5,-120,,-1.5,125.0,-145.0,56.5,0.5,-120.0,,53.0,1.5,-140.0,120.0
2026-03-31,Detroit Pistons,Toronto Raptors,107.0,54.0,57.5,-2.0,-105,-115,-1.0,-110,-110.0,-1.5,110.0,-130.0,54.5,-1.0,-105.0,-115.0,55.5,-1.5,120.0,-140.0
2026-03-31,Los Angeles Lakers,Cleveland Cavaliers,114.0,56.5,61.5,-1.0,-110,-110,-0.5,-110,-110.0,-1.5,115.0,-135.0,58.0,-0.5,-110.0,-110.0,58.5,-1.5,120.0,-140.0
2026-03-31,Los Angeles Clippers,Portland Trail Blazers,116.5,57.5,55.5,-2.5,-110,-110,-1.5,-105,-115.0,-1.5,-105.0,-115.0,59.0,-1.0,-115.0,-105.0,55.5,-1.5,110.0,-130.0
