date,team_tri,player_id,player_name,starter_prob,is_starter,exp_min_mean,exp_min_sd,exp_min_cap,exp_asof_ts,exp_min_source,lag1_min,roll3_min,roll5_min,roll10_min
2026-05-21,MIN,5345322,Emma Cechova,0.2,False,13.406260910043057,8.0,23.40626091004306,2026-05-20T15:20:55Z,props_features+league_status,24.0,12.0,12.0,12.0
2026-05-21,MIN,4280850,Maya Caldwell,0.08,False,11.094301563287946,8.0,21.094301563287946,2026-05-20T15:20:55Z,props_features+league_status,15.0,6.666666666666667,11.0,17.0
2026-05-21,MIN,4596309,Liatu King,0.08,False,10.430195120058961,4.822818330680999,16.45871803341021,2026-05-20T15:20:55Z,props_features+league_status,10.0,13.333333333333334,11.0,10.1
2026-05-21,MIN,3054590,Nia Coffey,0.08,False,10.091935296171302,5.977889785931691,17.564297528585914,2026-05-20T15:20:55Z,props_features+league_status,17.0,10.0,9.2,8.6
2026-05-21,NYL,2999101,Jonquel Jones,0.92,True,28.157518053299455,8.0,37.35751805329946,2026-05-20T15:20:55Z,props_features+league_status,21.0,22.333333333333332,24.8,24.4
2026-05-21,NYL,2998928,Breanna Stewart,0.86,True,28.016790774723777,8.0,37.216790774723776,2026-05-20T15:20:55Z,props_features+league_status,18.0,21.666666666666668,25.0,27.3
2026-05-21,NYL,4066533,Sabrina Ionescu,0.8,True,26.846743972851698,8.0,36.0467439728517,2026-05-20T15:20:55Z,props_features+league_status,16.0,22.666666666666668,27.4,19.0
2026-05-21,NYL,4595823,Alex Fowler,0.74,True,21.953455457805944,5.656854249492381,28.458837844722183,2026-05-20T15:20:55Z,props_features+league_status,15.0,19.0,19.0,19.0
2026-05-21,NYL,4337216,Han Xu,0.68,True,21.712208694533352,4.949747468305833,27.404418283085057,2026-05-20T15:20:55Z,props_features+league_status,15.0,18.5,18.5,18.5
2026-05-21,NYL,2327695,Rebekah Gardner,0.2,False,14.667803206973645,8.0,24.667803206973645,2026-05-20T15:20:55Z,props_features+league_status,23.0,15.0,11.8,13.6
2026-05-21,NYL,4038379,Marine Johannes,0.2,False,14.542354890071895,8.0,24.542354890071895,2026-05-20T15:20:55Z,props_features+league_status,29.0,13.0,10.0,12.6
2026-05-21,NYL,5345320,Pauline Astier,0.2,False,12.737829100792899,8.0,22.7378291007929,2026-05-20T15:20:55Z,props_features+league_status,22.0,11.0,11.0,11.0
2026-05-21,NYL,4683006,Leonie Fiebich,0.08,False,12.55769818421603,8.0,22.55769818421603,2026-05-20T15:20:55Z,props_features+league_status,0.0,9.333333333333334,18.0,21.9
2026-05-21,NYL,2566110,Julie Vanloo,0.08,False,10.264245621371249,6.344331297447283,18.194659743180353,2026-05-20T15:20:55Z,props_features+league_status,9.0,13.666666666666666,10.4,8.9
2026-05-21,NYL,3102133,Rebecca Allen,0.08,False,8.543352043360086,8.0,18.543352043360088,2026-05-20T15:20:55Z,props_features+league_status,0.0,7.333333333333333,12.8,12.7
2026-05-21,PHX,2529140,Alyssa Thomas,0.92,True,30.66836524766578,8.0,39.86836524766578,2026-05-20T15:20:55Z,props_features+league_status,33.0,29.0,31.2,34.7
2026-05-21,PHX,3906769,Jovana Nogic,0.86,True,29.981687880089527,3.0,33.43168788008953,2026-05-20T15:20:55Z,props_features+league_status,31.0,31.0,31.0,31.0
2026-05-21,PHX,2998938,Kahleah Copper,0.8,True,29.68831867610156,8.0,38.88831867610156,2026-05-20T15:20:55Z,props_features+league_status,34.0,27.666666666666668,30.0,32.4
2026-05-21,PHX,869,DeWanna Bonner,0.74,True,26.91259466913843,8.0,36.11259466913843,2026-05-20T15:20:55Z,props_features+league_status,33.0,26.666666666666668,26.8,25.9
2026-05-21,PHX,5274110,Monique Akoa Makani,0.68,True,25.34903352700472,3.06224657434771,28.870617087504588,2026-05-20T15:20:55Z,props_features+league_status,29.0,27.0,25.6,23.5
2026-05-21,PHX,4068042,Natasha Mack,0.2,False,13.632985781990516,8.0,23.632985781990516,2026-05-20T15:20:55Z,props_features+league_status,30.0,15.0,14.2,14.1
2026-05-21,PHX,4704594,Marta Suarez,0.2,False,10.881516587677723,4.5,16.506516587677723,2026-05-20T15:20:55Z,props_features+league_status,14.0,14.0,14.0,14.0
2026-05-21,PHX,3919496,Valeriane Ayayi,0.2,False,9.327014218009477,4.5,14.952014218009477,2026-05-20T15:20:55Z,props_features+league_status,12.0,12.0,12.0,12.0
2026-05-21,PHX,887,Sami Whitcomb,0.08,False,8.790710900473933,8.0,18.790710900473933,2026-05-20T15:20:55Z,props_features+league_status,0.0,10.0,13.8,19.9
2026-05-21,PHX,5345524,Noemie Brochant,0.08,False,8.549763033175353,4.5,14.174763033175353,2026-05-20T15:20:55Z,props_features+league_status,11.0,11.0,11.0,11.0
2026-05-21,PHX,4688629,Shay Ciezki,0.08,False,6.218009478672984,4.5,11.843009478672984,2026-05-20T15:20:55Z,props_features+league_status,8.0,8.0,8.0,8.0
2026-05-21,TOR,5345444,Laura Juskaite,0.92,True,26.928883267371173,4.58257569495584,32.198845316570385,2026-05-20T15:20:55Z,props_features+league_status,25.0,24.0,24.0,24.0
2026-05-21,TOR,3904576,Marina Mabrey,0.86,True,26.12769335197831,8.0,35.32769335197831,2026-05-20T15:20:55Z,props_features+league_status,21.0,19.0,25.4,28.2
2026-05-21,TOR,2988756,Brittney Sykes,0.8,True,25.697424693711774,8.0,34.89742469371177,2026-05-20T15:20:55Z,props_features+league_status,35.0,17.333333333333332,20.4,23.1
2026-05-21,TOR,2569044,Temi Fagbenle,0.74,True,23.40884053724235,8.0,32.60884053724235,2026-05-20T15:20:55Z,props_features+league_status,15.0,18.666666666666668,24.2,24.5
2026-05-21,TOR,4565505,Kiki Rice,0.68,True,22.774565187556338,3.0550504633038935,26.287873220355813,2026-05-20T15:20:55Z,props_features+league_status,21.0,20.333333333333332,20.333333333333332,20.333333333333332
2026-05-21,TOR,4001679,Julie Allemand,0.2,False,18.136565788448774,8.0,28.136565788448774,2026-05-20T15:20:55Z,props_features+league_status,21.0,14.333333333333334,21.4,25.5
2026-05-21,TOR,3142327,Kia Nurse,0.2,False,14.243376273650869,8.0,24.243376273650867,2026-05-20T15:20:55Z,props_features+league_status,9.0,14.0,19.6,19.2
2026-05-21,TOR,4434020,Teonni Key,0.2,False,13.234470454267262,6.6583281184793925,21.5573806023665,2026-05-20T15:20:55Z,props_features+league_status,9.0,16.333333333333332,16.333333333333332,16.333333333333332
2026-05-21,TOR,4398768,Nyara Sabally,0.08,False,11.640992733652576,8.0,21.640992733652574,2026-05-20T15:20:55Z,props_features+league_status,28.0,12.666666666666666,9.0,5.8
2026-05-21,TOR,4399342,Lexi Held,0.08,False,9.498551552490923,8.0,19.498551552490923,2026-05-20T15:20:55Z,props_features+league_status,6.0,17.0,11.6,5.8
2026-05-21,TOR,3910470,Maria Conde,0.08,False,8.308636159629675,8.0,18.308636159629675,2026-05-20T15:20:55Z,props_features+league_status,20.0,6.666666666666667,6.666666666666667,6.666666666666667
