date,home_tri,away_tri,home_pts,visitor_pts
2026-03-13,DET,MEM,126,110
2026-03-13,IND,NYK,92,101
2026-03-13,TOR,PHX,122,115
2026-03-13,DAL,CLE,105,138
2026-03-13,HOU,NOP,107,105
2026-03-13,GSW,MIN,117,127
2026-03-13,POR,UTA,124,114
2026-03-13,LAC,CHI,119,108
