date,home_team,visitor_team,h1_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price
2026-05-10,Philadelphia 76ers,New York Knicks,110.0,56.0,54.5,53.5,51.5,0.5,-110,-110,0.5,-115,-105,0.5,-115,-105,1.5,-120,1.5,-130,110.0
2026-05-10,Minnesota Timberwolves,San Antonio Spurs,111.5,56.0,55.5,54.5,52.5,2.5,-110,-110,1.5,-115,-105,1.0,-105,-115,1.5,-120,1.5,-120,
