date,home_team,visitor_team,h1_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_away_spread_price,q4_spread,q4_away_spread_price,q3_home_spread_price,q4_home_spread_price
2026-03-06,Boston Celtics,Dallas Mavericks,115.5,58.5,57.0,55.5,54.0,-8.5,-115,-105,-4.5,-110,-110,-4.5,-105,-115,-4.5,-120.0,-3.5,-120.0,,
2026-03-06,Charlotte Hornets,Miami Heat,118.5,59.5,58.5,56.5,55.0,-4.0,-110,-110,-2.5,-115,-105,-2.0,-110,-110,-2.5,-115.0,-1.5,-115.0,-105.0,-105.0
2026-03-06,Houston Rockets,Portland Trail Blazers,113.0,57.0,56.0,54.5,51.5,-3.5,-105,-115,-1.5,-115,-105,-1.5,-115,-105,-1.5,-110.0,-1.5,-125.0,-110.0,105.0
2026-03-06,Phoenix Suns,New Orleans Pelicans,116.0,59.0,57.5,56.5,53.5,-3.0,-110,-110,-1.5,-115,-105,-1.5,-110,-110,-1.5,-110.0,-1.5,-120.0,-110.0,
2026-03-06,Denver Nuggets,New York Knicks,118.5,60.0,58.5,56.5,,0.5,-110,-110,0.5,-115,-105,0.5,-115,-105,1.5,120.0,,,-140.0,
2026-03-06,San Antonio Spurs,Los Angeles Clippers,108.5,55.0,53.5,58.5,55.5,-4.0,-105,-115,-2.5,-110,-110,-2.0,-110,-110,-1.5,-110.0,-1.5,-115.0,-110.0,-105.0
2026-03-06,Los Angeles Lakers,Indiana Pacers,116.0,58.0,57.5,,,-5.5,-110,-110,-3.0,-105,-115,-2.5,-115,-105,,,,,,
