date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,18.5,-121,0.5475113122171946,0.8582079650591714,0.3106966528419768,0.567470746099809,draftkings,DraftKings,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1642345.0,Oso Ighodaro,PHX,pts,OVER,5.5,102,0.49504950495049505,0.8055869290929855,0.3105374241424904,0.6272855967678307,draftkings,DraftKings,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,201144.0,Mike Conley,MIN,pts,OVER,5.5,-125,0.5555555555555556,0.8660130547978018,0.3104574992422462,0.5588234986360432,fanduel,FanDuel,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,201144.0,Mike Conley,MIN,pts,OVER,5.5,-125,0.5555555555555556,0.8660130547978018,0.3104574992422462,0.5588234986360432,fanatics,Fanatics,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,201144.0,Mike Conley,MIN,pts,OVER,6.5,-112,0.5283018867924528,0.8350728010497684,0.3067709142573156,0.580673516272776,betrivers,BetRivers,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,201144.0,Mike Conley,MIN,pts,OVER,5.5,-128,0.5614035087719298,0.8660130547978018,0.304609546025872,0.5425857538585844,draftkings,DraftKings,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,18.5,-125,0.5555555555555556,0.8582079650591714,0.3026524095036158,0.5447743371065086,bovada,Bovada,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,19.5,-110,0.5238095238095238,0.8261267778096846,0.30231725400016074,0.5771511212730341,betmgm,BetMGM,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,19.5,-110,0.5238095238095238,0.8261267778096846,0.30231725400016074,0.5771511212730341,williamhill_us,Caesars,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,19.5,-110,0.5238095238095238,0.8261267778096846,0.30231725400016074,0.5771511212730341,betrivers,BetRivers,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
