date,home_tri,away_tri,home_pts,visitor_pts
2026-03-10,PHI,MEM,139,129
2026-03-10,BKN,DET,100,138
2026-03-10,MIA,WSH,150,129
2026-03-10,ATL,DAL,124,112
2026-03-10,HOU,TOR,113,99
2026-03-10,MIL,PHX,114,129
2026-03-10,SA,BOS,125,116
2026-03-10,GSW,CHI,124,130
2026-03-10,POR,CHA,101,103
2026-03-10,SAC,IND,114,109
2026-03-10,LAL,MIN,120,106
