market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Orlando Magic,Cleveland Cavaliers,Orlando Magic,2026-01-26,0.29135434345118427,217.74444295567488,0.31471832857183885,,,,,,High
ATS,Orlando Magic,Cleveland Cavaliers,Orlando Magic,2026-01-26,0.15244825228331949,-105.0,0.5121951219512195,-2.739133358001709,6.5,3.760866641998291,6.5,,Medium
TOTAL,Under,Cleveland Cavaliers,Orlando Magic,2026-01-26,,,,-2.1763763427734375,226.5,,,224.32362365722656,Medium
ML,Portland Trail Blazers,Boston Celtics,Portland Trail Blazers,2026-01-26,0.3012380178131363,271.3789691597031,0.26926672834022886,,,,,,High
ATS,Portland Trail Blazers,Boston Celtics,Portland Trail Blazers,2026-01-26,0.054048595625796225,-110.0,0.5238095238095238,-1.5722532272338867,8.0,6.427746772766113,8.0,,Medium
TOTAL,Under,Boston Celtics,Portland Trail Blazers,2026-01-26,,,,-7.275909423828125,224.5,,,217.22409057617188,High
ML,Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,2026-01-26,0.3812566100938285,238.22174107229304,0.29566402113288615,,,,,,High
ATS,Golden State Warriors,Minnesota Timberwolves,Golden State Warriors,2026-01-26,0.19146527985930828,-110.0,0.5238095238095238,-3.795228958129883,7.5,3.704771041870117,7.5,,High
TOTAL,Under,Minnesota Timberwolves,Golden State Warriors,2026-01-26,,,,-9.447738647460966,232.5,,,223.05226135253903,High
ML,Indiana Pacers,Atlanta Hawks,Indiana Pacers,2026-01-26,0.5469870865404115,193.4785275384688,0.34074043112708513,,,,,,High
ATS,Indiana Pacers,Atlanta Hawks,Indiana Pacers,2026-01-26,0.3647220596727536,-110.0,0.5238095238095238,-6.811472654342651,5.5,-1.3114726543426514,5.5,,High
TOTAL,Under,Atlanta Hawks,Indiana Pacers,2026-01-26,,,,-2.0545349121093466,233.5,,,231.44546508789065,Medium
ML,Chicago Bulls,Chicago Bulls,Los Angeles Lakers,2026-01-26,0.19749572421307837,105.5103235867029,0.48659356014205746,,,,,,High
ATS,Chicago Bulls,Chicago Bulls,Los Angeles Lakers,2026-01-26,0.25232713123851536,-105.0,0.5121951219512195,4.347592830657959,1.0,3.347592830657959,-1.0,,High
TOTAL,Under,Chicago Bulls,Los Angeles Lakers,2026-01-26,,,,-7.453598022460966,234.5,,,227.04640197753903,High
ML,Memphis Grizzlies,Houston Rockets,Memphis Grizzlies,2026-01-26,0.9639820345395692,376.06315635887137,0.2100561630621481,,,,,,High
ATS,Memphis Grizzlies,Houston Rockets,Memphis Grizzlies,2026-01-26,0.3469609903809021,-110.0,0.5238095238095238,-6.485203742980957,10.0,3.514796257019043,10.0,,High
TOTAL,Over,Houston Rockets,Memphis Grizzlies,2026-01-26,,,,5.859405517578068,224.5,,,230.35940551757807,High
ML,Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,2026-01-26,0.08774596236804355,119.9230950840597,0.4547044045636848,,,,,,High
ATS,Philadelphia 76ers,Charlotte Hornets,Philadelphia 76ers,2026-01-26,0.10216889477013513,-105.0,0.5121951219512195,-1.9494390487670898,2.0,0.0505609512329101,2.0,,Medium
TOTAL,Under,Charlotte Hornets,Philadelphia 76ers,2026-01-26,,,,-5.1842498779296875,228.0,,,222.8157501220703,High
