date,snapshot_ts,open_snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,open_line,open_price,open_implied_prob,line_move,implied_move,sentiment_strength,sentiment_w,sentiment_applied
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T22:13:48.180596+00:00,203114.0,Khris Middleton,DAL,ast,UNDER,2.5,138,0.42016806722689076,0.8500174947015511,0.9999999999999902,0.4298494274746603,1.0230416373896916,fanduel,FanDuel,2026-03-07T00:10:00Z,Boston Celtics,Dallas Mavericks,2.5,138,0.42016806722689076,0.0,0.0,0.0,0.0,False
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T19:40:53.330597+00:00,203114.0,Khris Middleton,DAL,ast,UNDER,2.5,119,0.45662100456621,0.8470236096929107,0.9999999999999902,0.39040260512670066,0.8549817052274744,draftkings,DraftKings,2026-03-07T00:10:00Z,Boston Celtics,Dallas Mavericks,2.5,120,0.45454545454545453,0.0,0.00207555002075549,0.034592500345924836,0.007610350076103464,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T22:13:48.180596+00:00,203114.0,Khris Middleton,DAL,ast,UNDER,2.5,115,0.46511627906976744,0.8500174947015511,0.9999999999999902,0.38490121563178364,0.8275376136083348,bovada,Bovada,2026-03-07T00:10:00Z,Boston Celtics,Dallas Mavericks,2.5,115,0.46511627906976744,0.0,0.0,0.0,0.0,False
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,204456.0,T.J. McConnell,IND,ast,UNDER,3.5,116,0.46296296296296297,0.7691237988272929,0.8755481601934392,0.3061608358643299,0.6613074054669525,fanduel,FanDuel,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,3.5,116,0.46296296296296297,0.0,0.0,0.0,0.0,False
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,1628368.0,De'Aaron Fox,SAS,ast,UNDER,5.5,116,0.46296296296296297,0.7686122982213096,0.8987303150167842,0.30564933525834664,0.6602025641580287,fanduel,FanDuel,2026-03-07T02:40:00Z,San Antonio Spurs,Los Angeles Clippers,5.5,110,0.47619047619047616,0.0,-0.013227513227513199,0.22045855379188667,0.04850088183421507,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,204456.0,T.J. McConnell,IND,ast,UNDER,3.5,117,0.4608294930875576,0.7643664709886504,0.8755481601934392,0.3035369779010928,0.6586752420453713,betonlineag,BetOnline.ag,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,3.5,119,0.45662100456621,0.0,0.0042084885213475864,0.07014147535579311,0.015431124578274485,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,204456.0,T.J. McConnell,IND,ast,UNDER,3.5,117,0.4608294930875576,0.7642779625637455,0.8755481601934392,0.30344846947618787,0.6584831787633276,williamhill_us,Caesars,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,3.5,115,0.46511627906976744,0.0,-0.004286785982209829,0.07144643303683049,0.015718215268102707,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,204456.0,T.J. McConnell,IND,ast,UNDER,3.5,115,0.46511627906976744,0.7691237988272929,0.8755481601934392,0.30400751975752544,0.6536161674786796,bovada,Bovada,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,3.5,115,0.46511627906976744,0.0,0.0,0.0,0.0,False
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,1629614.0,Andrew Nembhard,IND,ast,UNDER,5.5,140,0.4166666666666667,0.6872252588357928,0.9736817844886323,0.2705585921691261,0.6493406212059026,bovada,Bovada,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,6.5,-105,0.5121951219512195,-1.0,-0.09552845528455284,2.2588075880758804,0.35,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,204456.0,T.J. McConnell,IND,ast,UNDER,3.5,117,0.4608294930875576,0.7596952486312503,0.8755481601934392,0.29886575554369266,0.648538689529813,draftkings,DraftKings,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,3.5,121,0.45248868778280543,0.0,0.008340805304752175,0.1390134217458696,0.03058295278409131,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,1628368.0,De'Aaron Fox,SAS,ast,UNDER,5.5,130,0.43478260869565216,0.7162617381963844,0.8987303150167842,0.28147912950073223,0.6474019978516842,bovada,Bovada,2026-03-07T02:40:00Z,San Antonio Spurs,Los Angeles Clippers,5.5,105,0.4878048780487805,0.0,-0.053022269353128315,0.8837044892188053,0.19441498762813716,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,204456.0,T.J. McConnell,IND,ast,UNDER,3.5,120,0.45454545454545453,0.7441572635668295,0.8755481601934392,0.289611809021375,0.6371459798470249,betrivers,BetRivers,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,3.5,110,0.47619047619047616,0.0,-0.021645021645021634,0.3607503607503606,0.07936507936507933,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,1630559.0,Austin Reaves,LAL,ast,UNDER,4.5,170,0.37037037037037035,0.6060403546773452,0.8198801266075816,0.23566998430697483,0.6363089576288319,bovada,Bovada,2026-03-07T03:40:00Z,Los Angeles Lakers,Indiana Pacers,5.5,-125,0.5555555555555556,-1.0,-0.18518518518518523,3.753086419753087,0.35,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,203999.0,Nikola Jokic,DEN,ast,UNDER,9.5,100,0.5,0.807974610260787,0.9353186393218915,0.307974610260787,0.615949220521574,betmgm,BetMGM,2026-03-07T02:10:00Z,Denver Nuggets,New York Knicks,9.5,100,0.5,0.0,0.0,0.0,0.0,False
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,203999.0,Nikola Jokic,DEN,ast,UNDER,8.5,150,0.4,0.6300269819619797,0.8521079536235915,0.23002698196197968,0.5750674549049493,bovada,Bovada,2026-03-07T02:10:00Z,Denver Nuggets,New York Knicks,9.5,100,0.5,-1.0,-0.09999999999999998,2.333333333333333,0.35,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,1631221.0,Collin Gillespie,PHX,ast,UNDER,3.5,185,0.3508771929824561,0.5451165224779871,0.7065858172789002,0.19423932949553102,0.5535820890622635,bovada,Bovada,2026-03-07T02:10:00Z,Phoenix Suns,New Orleans Pelicans,4.5,-120,0.5454545454545454,-1.0,-0.1945773524720893,3.909622541201488,0.35,True
2026-03-06,2026-03-06T22:13:48.180596+00:00,2026-03-06T16:34:07.654959+00:00,1642264.0,Stephon Castle,SAS,ast,UNDER,5.5,165,0.37735849056603776,0.584119568168988,0.7622076329345858,0.20676107760295026,0.5479168556478182,bovada,Bovada,2026-03-07T02:40:00Z,San Antonio Spurs,Los Angeles Clippers,6.5,-120,0.5454545454545454,-1.0,-0.16809605488850765,3.4682675814751276,0.35,True
