target,count,mae,rmse,bias,r2,corr,start,end
t_stl,52707,0.7084392755389727,0.9218191128188685,-4.7453097878375786e-17,0.08407030475062349,0.28994879677405483,,
t_blk,52707,0.5685185346266869,0.7903922416344871,9.167075726504413e-17,0.10986886257663275,0.331464722976641,,
t_tov,52707,0.8928279644069764,1.1765752451284635,5.60809338562623e-17,0.2856818996462499,0.5344921885739973,,
