market,side,home,away,ev,price,date,edge,line,pred_margin
ML,Indiana Pacers,Indiana Pacers,Oklahoma City Thunder,0.04747517737825302,183.25,2025-10-23,,,
ATS,Indiana Pacers,Indiana Pacers,Oklahoma City Thunder,,,2025-10-23,3.6849005222320557,5.5,-1.8150994777679443
