date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,total,bookmaker
2025-11-24,2025-11-25T03:10:00Z,Sacramento Kings,Minnesota Timberwolves,321.3636363636364,-415.1818181818182,9.5,-9.5,238.0,oddsapi_consensus
2025-11-24,2025-11-25T00:10:00Z,Indiana Pacers,Detroit Pistons,351.6363636363636,-462.1818181818182,10.5,-10.5,235.5,oddsapi_consensus
2025-11-24,2025-11-25T00:10:00Z,Toronto Raptors,Cleveland Cavaliers,111.0,-132.1818181818182,2.0,-2.0,236.0,oddsapi_consensus
2025-11-24,2025-11-25T00:40:00Z,Miami Heat,Dallas Mavericks,-349.3636363636364,275.72727272727275,-8.5,8.5,241.5,oddsapi_consensus
2025-11-24,2025-11-25T01:10:00Z,New Orleans Pelicans,Chicago Bulls,179.45454545454547,-217.1818181818182,5.5,-5.5,244.0,oddsapi_consensus
2025-11-24,2025-11-25T01:10:00Z,Memphis Grizzlies,Denver Nuggets,265.90909090909093,-337.0,8.0,-8.0,232.5,oddsapi_consensus
2025-11-24,2025-11-25T02:40:00Z,Phoenix Suns,Houston Rockets,196.63636363636363,-239.8181818181818,6.5,-6.5,224.5,oddsapi_consensus
2025-11-24,2025-11-25T03:10:00Z,Golden State Warriors,Utah Jazz,-918.4545454545455,605.6363636363636,-14.5,14.5,239.5,oddsapi_consensus
2025-11-24,2025-11-25T00:40:00Z,Brooklyn Nets,New York Knicks,583.6363636363636,-876.1818181818181,14.0,-14.0,229.5,oddsapi_consensus
2025-11-24,2025-11-25T01:10:00Z,Milwaukee Bucks,Portland Trail Blazers,-125.9090909090909,105.54545454545455,-1.5,1.5,232.5,oddsapi_consensus
