date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,124,0.44642857142857145,0.7482939457211668,0.30186537429259536,0.6761784384154137,fanduel,FanDuel,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,120,0.45454545454545453,0.7482939457211668,0.2937484911757123,0.646246680586567,fanatics,Fanatics,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,119,0.45662100456621,0.7482939457211668,0.2916729411549568,0.6387637411293553,draftkings,DraftKings,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,118,0.45871559633027525,0.7482939457211668,0.28957834939089155,0.6312808016721436,betonlineag,BetOnline.ag,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,117,0.4608294930875576,0.7482939457211668,0.2874644526336092,0.6237978622149319,williamhill_us,Caesars,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,117,0.4608294930875576,0.7482939457211668,0.2874644526336092,0.6237978622149319,betrivers,BetRivers,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,115,0.46511627906976744,0.7482939457211668,0.2831776666513994,0.6088319833005086,betmgm,BetMGM,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1627783.0,Pascal Siakam,IND,ast,UNDER,3.5,115,0.46511627906976744,0.7482939457211668,0.2831776666513994,0.6088319833005086,bovada,Bovada,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1629614.0,Andrew Nembhard,IND,ast,UNDER,6.5,100,0.5,0.7771910896272227,0.2771910896272227,0.5543821792544454,betrivers,BetRivers,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1629614.0,Andrew Nembhard,IND,ast,UNDER,6.5,-105,0.5121951219512195,0.7771910896272227,0.2649959676760032,0.5173730797483872,draftkings,DraftKings,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1631109.0,Mark Williams,PHX,ast,OVER,1.5,160,0.38461538461538464,0.6387394438084286,0.254124059193044,0.6607225539019144,betmgm,BetMGM,2025-12-02T03:10:00Z,Los Angeles Lakers,Phoenix Suns
2025-12-01,1629614.0,Andrew Nembhard,IND,ast,UNDER,6.5,-113,0.5305164319248826,0.7771910896272227,0.2466746577023401,0.4649708149610482,fanduel,FanDuel,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1629614.0,Andrew Nembhard,IND,ast,UNDER,6.5,-115,0.5348837209302325,0.7771910896272227,0.2423073686969902,0.45300942843350334,fanatics,Fanatics,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1629614.0,Andrew Nembhard,IND,ast,UNDER,5.5,150,0.4,0.6416008486069714,0.2416008486069714,0.6040021215174286,bovada,Bovada,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1629614.0,Andrew Nembhard,IND,ast,UNDER,6.5,-116,0.5370370370370371,0.7771910896272227,0.24015405259018563,0.44718340827138015,betonlineag,BetOnline.ag,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1631109.0,Mark Williams,PHX,ast,OVER,1.5,150,0.4,0.6387394438084286,0.2387394438084286,0.5968486095210715,fanatics,Fanatics,2025-12-02T03:10:00Z,Los Angeles Lakers,Phoenix Suns
2025-12-01,1626164.0,Devin Booker,PHX,ast,UNDER,7.5,-141,0.5850622406639004,0.8236654125627324,0.23860317189883196,0.4078252796285001,draftkings,DraftKings,2025-12-02T03:10:00Z,Los Angeles Lakers,Phoenix Suns
2025-12-01,1629614.0,Andrew Nembhard,IND,ast,UNDER,6.5,-117,0.5391705069124424,0.7771910896272227,0.23802058271478033,0.4414569781974985,williamhill_us,Caesars,2025-12-02T00:10:00Z,Indiana Pacers,Cleveland Cavaliers
2025-12-01,1626164.0,Devin Booker,PHX,ast,UNDER,6.5,115,0.46511627906976744,0.7017444707144886,0.2366281916447212,0.5087506120361506,bovada,Bovada,2025-12-02T03:10:00Z,Los Angeles Lakers,Phoenix Suns
2025-12-01,1631221.0,Collin Gillespie,PHX,ast,UNDER,3.5,165,0.37735849056603776,0.6138616794814964,0.23650318891545863,0.6267334506259654,bovada,Bovada,2025-12-02T03:10:00Z,Los Angeles Lakers,Phoenix Suns
2025-12-01,1641796.0,Pelle Larsson,MIA,ast,OVER,2.5,100,0.5,0.7323860070202782,0.23238600702027823,0.46477201404055646,betonlineag,BetOnline.ag,2025-12-02T00:30:00Z,Miami Heat,Los Angeles Clippers
2025-12-01,1626164.0,Devin Booker,PHX,ast,UNDER,7.5,-145,0.5918367346938775,0.8236654125627324,0.23182867786885486,0.3917105246749617,fanatics,Fanatics,2025-12-02T03:10:00Z,Los Angeles Lakers,Phoenix Suns
