date,game_id,home,away,side,team,n_sims,player_id,player_name,split_type,split,n,pts_p10,pts_p50,pts_p90,reb_p10,reb_p50,reb_p90,ast_p10,ast_p50,ast_p90,threes_p10,threes_p50,threes_p90,pra_p10,pra_p50,pra_p90
2026-05-20,,CHI,DAL,home,CHI,150,4433630,Rickea Jackson,scenario,close,4,9.8,17.5,23.1,4.3,5.5,7.4,0.30000000000000004,1.0,2.4000000000000004,0.30000000000000004,1.5,4.800000000000001,16.6,26.0,29.1
2026-05-20,,CHI,DAL,home,CHI,150,4433630,Rickea Jackson,scenario,medium,11,8.0,13.0,20.0,2.0,4.0,5.0,0.0,1.0,3.0,1.0,2.0,3.0,12.0,19.0,27.0
2026-05-20,,CHI,DAL,home,CHI,150,4433630,Rickea Jackson,scenario,blowout,135,6.0,11.0,18.0,2.0,4.0,7.0,0.0,1.0,3.0,0.0,1.0,3.0,10.0,16.0,24.0
2026-05-20,,CHI,DAL,home,CHI,150,2566186,Rachel Banham,scenario,close,4,9.5,13.5,18.900000000000002,0.6000000000000001,2.0,2.7,0.0,1.0,2.0,1.3,2.0,3.4000000000000004,13.2,16.0,20.900000000000002
2026-05-20,,CHI,DAL,home,CHI,150,2566186,Rachel Banham,scenario,medium,11,6.0,11.0,16.0,1.0,2.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0,10.0,13.0,19.0
2026-05-20,,CHI,DAL,home,CHI,150,2566186,Rachel Banham,scenario,blowout,135,3.4000000000000004,11.0,17.60000000000001,0.0,2.0,4.0,0.0,1.0,3.0,0.0,1.0,3.0,7.0,14.0,22.0
2026-05-20,,CHI,DAL,home,CHI,150,2529137,Natasha Cloud,scenario,close,4,10.0,13.0,18.1,4.6,6.0,8.8,2.3,4.0,5.0,1.0,1.5,2.7,20.2,25.0,27.0
2026-05-20,,CHI,DAL,home,CHI,150,2529137,Natasha Cloud,scenario,medium,11,4.0,13.0,21.0,2.0,3.0,6.0,2.0,3.0,5.0,0.0,2.0,3.0,9.0,22.0,29.0
2026-05-20,,CHI,DAL,home,CHI,150,2529137,Natasha Cloud,scenario,blowout,135,4.0,9.0,16.0,2.0,4.0,6.0,1.0,3.0,5.0,0.0,1.0,3.0,10.0,16.0,22.60000000000001
2026-05-20,,CHI,DAL,home,CHI,150,2491205,Skylar Diggins,scenario,close,4,2.3,5.0,8.4,4.0,4.0,4.7,1.6,3.0,3.0,0.30000000000000004,1.0,1.0,8.3,12.0,15.7
2026-05-20,,CHI,DAL,home,CHI,150,2491205,Skylar Diggins,scenario,medium,11,6.0,12.0,18.0,1.0,3.0,5.0,1.0,2.0,5.0,0.0,1.0,3.0,11.0,21.0,23.0
2026-05-20,,CHI,DAL,home,CHI,150,2491205,Skylar Diggins,scenario,blowout,135,3.0,9.0,15.0,1.0,2.0,4.0,1.0,2.0,4.0,0.0,1.0,2.0,7.0,14.0,20.60000000000001
2026-05-20,,CHI,DAL,home,CHI,150,4433424,Maddy Westbeld,scenario,close,4,2.5,7.5,10.4,1.3,2.5,3.0,1.0,1.5,3.4000000000000004,0.0,0.5,2.4000000000000004,6.9,11.0,15.100000000000001
2026-05-20,,CHI,DAL,home,CHI,150,4433424,Maddy Westbeld,scenario,medium,11,4.0,7.0,11.0,2.0,4.0,6.0,1.0,2.0,2.0,0.0,1.0,2.0,8.0,14.0,17.0
2026-05-20,,CHI,DAL,home,CHI,150,4433424,Maddy Westbeld,scenario,blowout,135,2.0,7.0,13.0,1.0,3.0,6.0,0.0,1.0,3.0,0.0,1.0,2.0,6.4,12.0,19.0
2026-05-20,,CHI,DAL,home,CHI,150,4858656,Gabriela Jaquez,scenario,close,4,7.9,10.0,12.8,3.0,3.5,6.800000000000001,0.0,0.5,1.7000000000000002,0.0,0.5,1.0,11.6,15.5,19.4
2026-05-20,,CHI,DAL,home,CHI,150,4858656,Gabriela Jaquez,scenario,medium,11,4.0,6.0,11.0,2.0,4.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,8.0,12.0,16.0
2026-05-20,,CHI,DAL,home,CHI,150,4858656,Gabriela Jaquez,scenario,blowout,135,2.0,6.0,12.600000000000009,1.0,4.0,6.0,0.0,1.0,2.0,0.0,0.0,2.0,6.0,11.0,18.0
