market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ML,Boston Celtics,Detroit Pistons,Boston Celtics,2026-01-19,0.19826675828333917,118.36363636363636,0.45795170691090753,,,,,,High
ATS,Boston Celtics,Detroit Pistons,Boston Celtics,2026-01-19,,,,-4.945288419723511,2.5,-2.4452884197235107,2.5,,High
ML,Utah Jazz,San Antonio Spurs,Utah Jazz,2026-01-19,2.9652326902912054,917.8571428571428,0.09824561403508773,,,,,,High
ATS,Utah Jazz,San Antonio Spurs,Utah Jazz,2026-01-19,,,,-9.673869609832764,14.5,4.826130390167236,14.5,,High
TOTAL,Under,San Antonio Spurs,Utah Jazz,2026-01-19,,,,-6.1658477783203125,240.5,,,234.3341522216797,High
ML,Brooklyn Nets,Brooklyn Nets,Phoenix Suns,2026-01-19,0.760347378614418,304.45454545454544,0.24724657226343,,,,,,High
ATS,Brooklyn Nets,Brooklyn Nets,Phoenix Suns,2026-01-19,,,,6.102339029312134,9.0,-2.897660970687866,-9.0,,High
TOTAL,Over,Brooklyn Nets,Phoenix Suns,2026-01-19,,,,7.363739013671875,215.0,,,222.36373901367188,High
ML,Miami Heat,Golden State Warriors,Miami Heat,2026-01-19,0.05154359151605059,167.72727272727272,0.37351443123938877,,,,,,High
TOTAL,Under,Golden State Warriors,Miami Heat,2026-01-19,,,,-12.390701293945312,239.0,,,226.6092987060547,High
ML,Indiana Pacers,Philadelphia 76ers,Indiana Pacers,2026-01-19,1.0882602200432545,185.54545454545453,0.35020694046482015,,,,,,High
ATS,Indiana Pacers,Philadelphia 76ers,Indiana Pacers,2026-01-19,,,,-16.93173885345459,6.0,-10.93173885345459,6.0,,High
ML,New York Knicks,New York Knicks,Dallas Mavericks,2026-01-19,4.431905425433888,752.8571428571429,0.11725293132328307,,,,,,High
ATS,New York Knicks,New York Knicks,Dallas Mavericks,2026-01-19,,,,19.46232032775879,13.5,5.962320327758789,-13.5,,High
TOTAL,Under,New York Knicks,Dallas Mavericks,2026-01-19,,,,-13.469879150390653,234.5,,,221.03012084960935,High
