date,team,player_id,player_name,injury_status,playing_today,team_on_slate
2026-03-26,NYK,200782,P.J. Tucker,NAN,True,True
2026-03-26,NOP,201599,DeAndre Jordan,DAY-TO-DAY,True,True
2026-03-26,SAC,201942,DeMar DeRozan,DAY-TO-DAY,True,True
2026-03-26,DET,202699,Tobias Harris,DAY-TO-DAY,True,True
2026-03-26,ORL,202709,Cory Joseph,NAN,True,True
2026-03-26,SAC,203109,Jae Crowder,NAN,True,True
2026-03-26,NOP,203901,Elfrid Payton,NAN,True,True
2026-03-26,NYK,203903,Jordan Clarkson,NAN,True,True
2026-03-26,SAC,203926,Doug McDermott,DAY-TO-DAY,True,True
2026-03-26,SAC,203967,Dario Šarić,NAN,True,True
2026-03-26,NYK,1626153,Delon Wright,NAN,True,True
2026-03-26,NYK,1626157,Karl-Anthony Towns,DAY-TO-DAY,True,True
2026-03-26,SAC,1626168,Trey Lyles,NAN,True,True
2026-03-26,NOP,1626172,Kevon Looney,DAY-TO-DAY,True,True
2026-03-26,CHA,1626192,Pat Connaughton,QUESTIONABLE,True,True
2026-03-26,DET,1627736,Malik Beasley,NAN,True,True
2026-03-26,DET,1627747,Caris LeVert,NAN,True,True
2026-03-26,NOP,1627749,Dejounte Murray,NAN,True,True
2026-03-26,SAC,1628370,Malik Monk,NAN,True,True
2026-03-26,NYK,1628384,OG Anunoby,NAN,True,True
2026-03-26,NYK,1628404,Josh Hart,QUESTIONABLE,True,True
2026-03-26,NYK,1628969,Mikal Bridges,NAN,,True
2026-03-26,CHA,1628970,Miles Bridges,DAY-TO-DAY,True,True
2026-03-26,NYK,1628973,Jalen Brunson,NAN,True,True
2026-03-26,ORL,1628975,Jevon Carter,NAN,True,True
2026-03-26,ORL,1628976,Wendell Carter Jr.,QUESTIONABLE,True,True
2026-03-26,DET,1628989,Kevin Huerter,DAY-TO-DAY,True,True
2026-03-26,NYK,1629011,Mitchell Robinson,QUESTIONABLE,True,True
2026-03-26,ORL,1629021,Moritz Wagner,DAY-TO-DAY,True,True
2026-03-26,ORL,1629048,Goga Bitadze,NAN,True,True
2026-03-26,SAC,1629056,Terence Davis,NAN,True,True
2026-03-26,DET,1629130,Duncan Robinson,DAY-TO-DAY,True,True
2026-03-26,CHA,1629610,DaQuan Jeffries,NAN,True,True
2026-03-26,NOP,1629627,Zion Williamson,DAY-TO-DAY,True,True
2026-03-26,CHA,1629632,Coby White,DAY-TO-DAY,True,True
2026-03-26,NOP,1629673,Jordan Poole,DAY-TO-DAY,True,True
2026-03-26,CHA,1629684,Grant Williams,DAY-TO-DAY,True,True
2026-03-26,DET,1629750,Javonte Green,NAN,True,True
2026-03-26,CHA,1630163,LaMelo Ball,DAY-TO-DAY,True,True
2026-03-26,CHA,1630182,Josh Green,DAY-TO-DAY,True,True
2026-03-26,DET,1630194,Paul Reed,DAY-TO-DAY,True,True
2026-03-26,CHA,1630214,Xavier Tillman,DAY-TO-DAY,True,True
2026-03-26,ORL,1630217,Desmond Bane,DAY-TO-DAY,True,True
2026-03-26,SAC,1630222,Mason Jones,NAN,True,True
2026-03-26,ORL,1630243,Trevelin Queen,NAN,True,True
